熱感	R232	ほてり
乳糜胸水	J90	胸水貯留
産生腫瘍	D489	腫瘍
温痛覚低下	R201	知覚鈍麻
脊椎関節炎	M4799	脊椎関節症
口腔内乾燥症状	R682	口内乾燥
腫瘍濃染	C80	癌
月経停止	N926	月経異常
副腎偶発腫	D350	良性副腎皮質腫瘍
左眼瞼腫脹	H028	眼瞼浮腫
口腔乾燥症状	R631	口渇症
黒色嘔吐	R11	嘔吐症
膵癌肺転移	C349	肺癌
化学性肺炎	J704	薬剤性間質性肺炎
口腔潰瘍	D370	口腔腫瘍
感染性大動脈瘤	I712,I714	感染性胸部大動脈瘤，感染性腹部大動脈瘤
左下腹部圧痛	R104	腹部圧痛
急性肺障害	J984	急性肺傷害
口腔内乾燥感	R682	口内乾燥
顎下腺腫脹	K111	顎下腺肥大
四肢関節痛	M2550	多発性関節痛
血管性浮腫	T783	クインケ浮腫
左膝関節腫脹	M1399,M2547	膝関節炎，足関節腫脹
溶骨性変化	M8959	骨溶解症
神経性無食欲症	F500	神経性食欲不振症
肺動脈性肺高血圧	I10	高血圧症
後腹膜出血	R58	出血
ＡＳＤ	Q211	心房中隔欠損症
前胸部絞扼感	R098	胸部不快感
虚血性心不全	I509	心不全
動脈硬化病変	I700	大動脈硬化症
皮膚悪性リンパ腫	C845	皮膚Ｔ細胞リンパ腫
深頸部膿瘍	D487	頚部腫瘍
ＣＭＶ胃炎	A492	ＢＬＮＡＲ感染症，インフルエンザ菌ｂ型感染症，インフルエンザ菌感染症，侵襲性インフルエンザ菌感染症
房室中隔欠損	Q210	心室中隔欠損症
肺門部リンパ節腫脹	R599	リンパ節腫大
髄外腫瘤	R229	腫瘤
左下肢不全麻痺	G832	上肢不全麻痺
静脈洞血栓症	G08	脳静脈洞血栓症
動脈塞栓	I249	急性冠症候群，急性虚血性心疾患
ＳＳ	M350	シェーグレン症候群
重症低血糖	E162	低血糖
家族性大腸腺腫症	D216	背部良性軟部腫瘍
宿便	K564	糞便性イレウス
高度腎機能障害	N289	腎障害
棘徐波	R943	心電図異常
インフルエンザ感染症	J101	鳥インフルエンザ
黄色肉芽腫性胆嚢炎	D763,K819	黄色肉芽腫，胆のう炎
低悪性度リンパ腫	C819	ホジキンリンパ腫
左肺尖部腫瘤	R91	肺腫瘤
性感染症	A64	性行為感染症
偽腫瘍	R229	腫瘤
中分化型管状腺癌	C253	膵管内管状腺癌
下肢動脈閉塞	I749	動脈塞栓症
両膝関節腫脹	M2547	足関節腫脹
過形成骨髄	D469,D471	骨髄異形成症候群，骨髄増殖性疾患
意識減損発作	R402	意識障害
腹部腫瘍	C80	癌
肝内腫瘤	C220	肝癌
血管内リンパ腫	C859	リンパ腫
肝外転移	K769	肝機能障害
腫瘤様	R229	腫瘤
左眼外転障害	H519	眼球運動障害
腫瘤性陰影	R229	腫瘤
高ＣＲＰ血症	R80	無症候性蛋白尿，一過性蛋白尿，機能性蛋白尿
下肢異常感覚	R201,R202	下肢知覚低下，下肢知覚異常
半月体形成	N057	半月体形成性糸球体腎炎
膀胱内腫瘤	C859	リンパ腫
浸潤性膵管癌	C259	膵癌
情動失禁	R32	尿失禁症
アキレス腱肥厚	E780	家族性高コレステロール血症
気管支閉鎖症	Q324	気管支閉鎖
左副腎偶発腫	D441	副腎腫瘍
隅角結節	H218	虹彩結節
左鼠径リンパ節腫大	R599	リンパ節腫大
トキソプラズマ脳症	B589	トキソプラスマ症
右腎萎縮	Q605	先天性腎萎縮
開口時痛	R252	下肢痙縮，牙関緊急，上肢痙縮，四肢痙攣，急性痙攣，痙攣，筋痙直，筋痙縮，下肢痙攣
右副腎褐色細胞腫	D350	褐色細胞腫
心室中隔穿孔	Q210	心室中隔欠損症
続発性副腎不全	E274	続発性副腎皮質機能低下症
乏血性腫瘍	R229	腫瘤
上皮性腫瘍	R229	腫瘤
腸腰筋血腫	K650	腸腰筋膿瘍
低悪性度Ｂ細胞性リンパ腫	C833	びまん性大細胞型Ｂ細胞性リンパ腫
赤褐色尿	R31,R822	血尿，ビリルビン尿
骨髄増殖性腫瘍	R229	腫瘤
ＳＡＨ	I609	くも膜下出血
巨大肝細胞癌	C220	肝癌
ＭＬ	C859	悪性リンパ腫
自己炎症症候群	D898	家族性寒冷自己炎症症候群
難治性浮腫	R601	高度浮腫
悪感	R688	悪寒
ＨＰＳ	K311	機能的幽門狭窄，術後幽門狭窄
腹腔内巨大腫瘤	R229	腫瘤
周期性発熱症候群	R509	発熱
副腎皮質腺腫	C740	副腎皮質癌
左肺炎像	J189	肺炎
腹部大動脈狭窄	Q253	大動脈狭窄症
季節性インフルエンザ	J101	鳥インフルエンザ
肝細胞癌骨転移	C220	肝細胞癌
左房内腫瘍	C80	癌
小隆起性病変	K259	胃潰瘍
胸部灼熱感	R074	胸痛
腸管障害	S369	腸管損傷
転移性大腸癌	C189	大腸癌
頭蓋内腫瘤	L029	よう，膿瘍，せつ
低酸素症	G931	低酸素性脳症
腹腔内多発リンパ節腫脹	R599	リンパ節腫大
両側外転神経麻痺	G522	両側性反回神経麻痺
気管腫瘍	C33	気管癌
肥厚性胃炎	K295	慢性胃炎
上腸間膜動脈閉塞症	K315	上腸間膜動脈症候群
圧痛軽度	R529	圧痛
注視性眼振	H55	眼振
通過症候群	F069	器質性精神障害
多発肺腫瘤	R91	肺腫瘤
両側鼠径リンパ節腫大	R599	リンパ節腫大
ｓｐａｓｍ	R252	痙攣
蝶型紅斑	L539	紅斑症
慢性好酸球性白血病	C929	好中球性白血病
肝細胞癌肺転移	C349	肺癌
嚥下構音障害	R471	構音障害
牽引性気管支拡張像	J47	気管支拡張症
心筋転移	D487	心筋腫瘍
右房内腫瘍	D486	乳房腫瘍
膵管内乳頭状粘液性腫瘍	C259	膵癌
左心機能障害	Q249	先天性心疾患
サルコイド結節	D868	サルコイド関節障害
慢性副腎不全	E274	副腎皮質機能低下症
腹腔内多発リンパ節腫大	R599	リンパ節腫大
異時性重複癌	C97	重複癌
腎細胞癌胃転移	C169	胃癌
顔面筋麻痺	G510	顔面神経麻痺
多発性リンパ節腫大	C859	リンパ腫
頭蓋底転移	D480	頭蓋底腫瘍
ＡＩＰ	J841	急性間質性肺炎
壁心筋梗塞	I219	心筋梗塞
続発性性腺機能低下症	E230	下垂体性男子性腺機能低下症
視床下部性副腎不全	E274	副腎皮質機能低下症
化膿性脊椎椎間板炎	M4639	化膿性椎間板炎
胸苦感	R098	胸部不快感
脳幹萎縮	G310	限局性脳萎縮症
胆汁貯留	K710	肝内胆汁うっ滞
血管内皮細胞障害	D489	血管内皮腫
上腸間膜静脈血栓	I829	静脈血栓症
腸管壁内気腫	T797	皮下気腫
直静脈洞血栓症	G08	脳静脈洞血栓症
高度肝機能障害	K769	肝機能障害
棘波	R943	心電図異常
同時重複癌	C97	重複癌
多発性肝腫瘤	D376	肝腫瘍
発赤調粘膜	R21	発赤
ＭＲ	I340	僧帽弁逆流症，僧帽弁閉鎖不全症
再発大腸癌	A09	大腸炎
ＨＡＭ	B24	ＨＩＶ感染症
多発筋膿瘍	K650	肝下膿瘍，腸腰筋膿瘍，大網膿瘍
転移性膵癌	C259	膵癌
遠位尿細管障害	N258	遠位尿細管性アシドーシス，１型尿細管性アシドーシス
肛門管扁平上皮癌	C80	癌
アレルギー性肉芽種性血管炎	D690	アレルギー性血管炎
両側大腿痛	M7966	下腿痛
腹部皮下腫瘤	R222	腹壁皮下腫瘤
肺炎球菌菌血症	A499	菌血症
起立性頭痛	I951	起立性調節障害
アルコール使用障害	F101	アルコール乱用
好酸球性血管性浮腫	R609	浮腫
Ｃｕｓｈｉｎｇ症候群	E249	クッシング症候群
低Ｃａ尿症	E835	低カルシウム血症
肺動静脈奇形	Q279	末梢血管奇形
大動脈周囲リンパ節腫脹	C772	大動脈周囲リンパ節転移
肝硬変像	K743	単葉性肝硬変，トッド肝硬変
好酸球性筋炎	M354	好酸球性筋膜炎
ＡＫＩ	N289	腎障害
食道転移	C159	食道癌
全身性リンパ節腫大	R591	リンパ節症
心嚢液再貯留	I313	乳び心のう液貯留
左室壁運動障害	I501	左室不全
過敏症症状	K566	回腸狭窄
腸間膜血腫	T140	血腫
爪甲異常	Q846	爪異常
リンパ節腫張	R599	リンパ節腫大
ＩＭ	B279	伝染性単核症
両鼠径リンパ節腫大	R599	リンパ節腫大
異所性副甲状腺腺腫	D351	副甲状腺腺腫
低エコー性腫瘤	C80	癌
両側乳糜胸水	J90	胸水貯留
二次性アミロイドーシス	E859	アミロイドーシス
胆管狭窄像	K820	胆のう管閉塞症
サルモネラ菌血症	A029,A021	サルモネラ感染症，サルモネラ敗血症
肉腫様癌	R80	蛋白尿
慢性非化膿性破壊性胆管炎	K743	原発性胆汁性肝硬変，原発性胆汁性胆管炎，原発性胆汁性胆管炎に伴う食道静脈瘤，原発性胆汁性胆管炎に伴う食道静脈瘤出血，シャルコー肝硬変，症候性原発性胆汁性肝硬変，症候性原発性胆汁性胆管炎，単葉性肝硬変，トッド肝硬変，無症候性原発性胆汁性肝硬変，無症候性原発性胆汁性胆管炎
僧帽弁位感染性心内膜炎	I059,I330	僧帽弁心内膜炎，感染性心内膜炎
偶発腫瘍	C80	癌
糖尿病性糸球体硬化症	E142	糖尿病性腎硬化症
胸痛消失	R074	胸痛
左肺門部腫脹	R590	肺門リンパ節腫脹
脾臓低形成	D730	脾機能低下症
ＬＰＬ	C838	リンパ形質細胞性リンパ腫
紅班	L539	紅斑症
神経Ｓｗｅｅｔ病	M352	神経ベーチェット病
敗血症性ＤＩＣ	D689	血液凝固異常
腎細胞癌膵転移	C259	膵癌
全身性塞栓症	I749	血栓塞栓症
赤芽球低形成	D619	骨髄低形成
胃型腺腫	D131	胃腺腫
新型インフルエンザ感染	J111	インフルエンザ
転移性胃癌	C169	胃癌
心転移	C80	転移性腫瘍，胎児性癌
ａｓｙｎｅｒｇｙ	H519	眼球共同運動障害
難治性足潰瘍	L97,E145	足部皮膚潰瘍，糖尿病足潰瘍
ＡＯＳＤ	M0802	-1
糖尿病合併高血圧	E14	糖尿病合併症
心嚢内出血	J869	膿胸
下垂体転移	D443	下垂体腫瘍
ＮＥＴ	C80	癌
ＭＣＤ	Q043	大脳皮質形成異常
エルシニア感染症	A282	エルシニア敗血症
間質性腎炎像	N059	腎炎
胆管転移	C80	転移性腫瘍
ＭＲＳＡ化膿性脊椎炎	A490	ＭＲＳＡ感染症
左大腿骨頸部病的骨折	T931	陳旧性大腿骨頚部骨折
肉芽腫性間質性腎炎	N059	腎炎
毒素性ショック症候群	A483	毒素ショック症候群
虚血性直腸炎	K628	直腸炎
心筋膿瘍	L029,J869	膿瘍，膿胸
成人型Ｓｔｉｌｌ病	M0820	スチル病
腸蠕動不全	K567,K598	イレウス，腸管運動障害
腹部大動脈狭窄症	I771	大腿動脈狭窄症
大腸菌敗血症	A498	大腸菌感染症
右房浸潤	C509	乳房悪性腫瘍
高Ｃａ血症クリーゼ	E055	甲状腺クリーゼ
安静時胸部圧迫感	I208	安静時狭心症
低レニン高アルドステロン血症	E269	高アルドステロン症
高ＩｇＧ４血症	R771,M359	ＩｇＧ４関連疾患，高ＩｇＧ血症
シェーンライン紫斑病	D692	紫斑病
劇症型溶血性連鎖球菌感染症	A400	劇症型Ａ群連鎖球菌感染症
原発性形質細胞性白血病	C959	白血病
ＮＳ	N049	ネフローゼ症候群
ＲＣＭＤ	D467	多血球系異形成を伴う不応性血球減少症
原発性鎖骨下静脈血栓症	I829	静脈血栓症
内因性細菌性眼内炎	B49	真菌性眼内炎
左室憩室	Q248	心膜憩室
肺多型癌	C80	癌
ＧＢＳ	A491,A401	連鎖球菌感染症，ＧＢＳ敗血症
ａｄｅｎｏｍａ	C80	癌，上皮腫，脊索腫
急性大動脈弁閉鎖不全	I351	大動脈弁閉鎖不全症
高浸透圧性脳症	E146	高血糖高浸透圧症候群
膵管狭細型慢性膵炎	K861,K868	慢性膵炎，膵管狭窄
リンパ腫様肉芽腫	C859	悪性リンパ腫
冠微小循環障害	I678	脳循環不全
急性出血性胆嚢炎	K810	急性胆のう炎
虚血性十二指腸炎	K298	十二指腸炎
腺内分泌細胞癌	C80	癌
右房原発血管肉腫	C499	血管肉腫
糖尿病群	E12	栄養不良関連糖尿病
紅斑熱	A778a	日本紅斑熱
葉機能低下症	E230	下垂体機能低下症
劇症型溶連菌感染症	A400,A491	劇症型Ａ群連鎖球菌感染症，溶連菌感染症
ｗｉｄｅ　ＱＲＳ　ｔａｃｈｙｃａｒｄｉａ	I472	持続性心室頻拍
ｉｎｔｅｒｆａｃｅ　ｈｅｐａｔｉｔｉｓ	K754,K759	自己免疫性肝炎，肝炎
Ｈｅｎｏｃｈ紫斑病	D690	ＩｇＡ血管炎
Ｓｃｈｏｎｌｅｉｎ紫斑病	D692	紫斑病
Ｃｈｉａｒｉ症候群	I820	バッド・キアリ症候群
ｃｌｉｎｉｃａｌｌｙ　ａｍｙｏｐａｔｈｉｃ　ｄｅｒｍａｔｏｍｙｏｓｉｔｉｓ	G719	遺伝性神経筋障害
ｃｒｏｗｎｅｄ　ｄｅｎｓ　ｓｙｎｄｒｏｍｅ	M1130	-1
Ｈａｍｍａｎ症候群	J982	縦隔気腫
ＰＴＴＭ	D381	肺腫瘍
Ｃａｌｃｉｐｈｙｌａｘｉｓ	R02	皮膚壊死
ｉｎｔｒａｖａｓｃｕｌａｒ　ｌａｒｇｅ　Ｂ−ｃｅｌｌ　ｌｙｍｐｈｏｍａ	C833	びまん性大細胞型Ｂ細胞性リンパ腫
多型性心室頻拍	I472,R943	非持続性心室頻拍，心電図異常
ｎａｒｒｏｗ　ＱＲＳ　ｔａｃｈｙｃａｒｄｉａ	R943	心電図異常
ＣＡＥＢＶ	C857	小児ＥＢＶ陽性Ｔ細胞リンパ増殖性疾患
ａｉｒ−ｂｒｏｎｃｈｏｇｒａｍ	R91	胸部異常陰影
Ｍｙｃｏｂａｃｔｅｒｉｕｍ　ｔｕｂｅｒｃｕｌｏｓｉｓ	J157	マイコプラズマ肺炎
ｐａｕｃｉ−ｉｍｍｕｎｅ型半月体形成性腎炎	N057	半月体形成性糸球体腎炎
Ｐｒｅｃｌｉｎｉｃａｌ　Ｃｕｓｈｉｎｇ症候群	E249	クッシング症候群
結核性皮下膿瘍	D481	皮下腫瘍
低血糖性片麻痺	G819	片麻痺
ｂｌｕｅ　ｔｏｅ	I739	下肢血行障害
Ｄｉａｂｅｔｉｃ　ｌｉｐｅｍｉａ	E785	高脂血症
Ｌａｎｇｈａｎｓ型巨細胞	D760	ランゲルハンス細胞組織球症
Ｌａｎｇｈａｎｓ巨細胞	D760	ランゲルハンス細胞組織球症
Ｍｕｌｔｉｃｅｎｔｒｉｃ　Ｃａｓｔｌｅｍａｎ病	D477	メソトレキセート関連リンパ増殖性疾患，移植後リンパ増殖性疾患，Ｔ細胞性移植後リンパ増殖性疾患，リンパ腫様肉芽腫症，Ｂ細胞性移植後リンパ増殖性疾患，キャッスルマン病
Ｍｙｅｌｏｉｄ　ｓａｒｃｏｍａ	C923	顆粒球肉腫
結節性肺アミロイドーシス	E859	アミロイドーシス
ＰＣ肺炎	J189	肺炎
Ｔ１高信号	R943	心電図異常
ＡＣＴＨ依存性Ｃｕｓｈｉｎｇ症候群	E240	ＡＣＴＨ産生下垂体腺腫
偽中皮腫性肺癌	C459	中皮腫
細胞増殖異常症	C833	高齢者ＥＢＶ陽性びまん性大細胞型Ｂ細胞性リンパ腫
視床下部性性腺機能低下症	E230	下垂体性男子性腺機能低下症
静脈硬化性虚血性腸炎	K559,K551	虚血性腸炎，慢性虚血性腸炎
Ｌｅｕｋｏｃｙｔｏｃｌａｓｔｉｃ　ｖａｓｃｕｌｉｔｉｓ	M319	壊死性血管炎
ｍｙｅｌｏｉｄ　ｓａｒｃｏｍａ	C923	顆粒球肉腫
顆粒リンパ球増多症	D728	リンパ球増加症
Ｐｕｌｍｏｎａｒｙ　Ｔｕｍｏｒ　Ｔｈｒｏｍｂｏｔｉｃ　Ｍｉｃｒｏａｎｇｉｏｐａｔｈｙ	C349,M311	肺癌，血栓性微小血管症
ｄｉａｂｅｔｉｃ　ｌｉｐｅｍｉａ	E785	高脂血症
ＦＬＡＩＲ高信号病変	R943	心電図異常
ＰＨＰＴ	E270	周期性ＡＣＴＨ・ＡＤＨ放出症候群，早発アドレナルキ，副腎皮質機能亢進症
Ｐｈ陽性ＡＬＬ	C910	ＢＣＲ−ＡＢＬ１陽性Ｂリンパ芽球性白血病，ＢＣＲ−ＡＢＬ１陽性Ｂリンパ芽球性白血病／リンパ腫，Ｂリンパ芽球性白血病，Ｂリンパ芽球性白血病／リンパ腫，Ｅ２Ａ−ＰＢＸ１陽性Ｂリンパ芽球性白血病，Ｅ２Ａ−ＰＢＸ１陽性Ｂリンパ芽球性白血病／リンパ腫，ＩＬ３−ＩＧＨ陽性Ｂリンパ芽球性白血病，ＩＬ３−ＩＧＨ陽性Ｂリンパ芽球性白血病／リンパ腫，ＭＬＬ再構成型Ｂリンパ芽球性白血病，ＭＬＬ再構成型Ｂリンパ芽球性白血病／リンパ腫，Ｐｈ陽性急性リンパ性白血病，ＴＥＬ−ＡＭＬ１陽性Ｂリンパ芽球性白血病，ＴＥＬ−ＡＭＬ１陽性Ｂリンパ芽球性白血病／リンパ腫，Ｔリンパ芽球性白血病，Ｔリンパ芽球性白血病／リンパ腫，急性リンパ性白血病，高２倍体性Ｂリンパ芽球性白血病，高２倍体性Ｂリンパ芽球性白血病／リンパ腫，小児急性リンパ性白血病，低２倍体性Ｂリンパ芽球性白血病，低２倍体性Ｂリンパ芽球性白血病／リンパ腫
ｐｌａｓｍａｃｙｔｏｍａ	C900	形質細胞性骨髄腫
悪性副腎外褐色細胞腫	D350	褐色細胞腫
急性肝炎様症状	K759	肝炎
狭窄型虚血性小腸炎	K529	小腸炎
結核性筋炎	M6099	筋炎
左室内同期不全	I501	左室不全
ＣＫＤ　ｓｔａｇｅ　４	N180	慢性腎臓病ステージＧ５
ＣＫＤ　ｓｔａｇｅ　５	N188	慢性腎臓病ステージＧ３，慢性腎臓病ステージＧ４
Ｃｌｉｎｉｃａｌｌｙ　Ａｍｙｏｐａｔｈｉｃ　Ｄｅｒｍａｔｏｍｙｏｓｉｔｉｓ	M332	多発性筋炎
Ｂｌｕｅ　ｔｏｅ　ｓｙｎｄｒｏｍｅ	I739	末梢動脈疾患
Ｅｎｔａｍｏｅｂａ　ｈｉｓｔｏｌｙｔｉｃａ	A060	アメーバ赤痢
Ｉｎｔｒａｖａｓｃｕｌａｒ　ｌｙｍｐｈｏｍａｔｏｓｉｓ	D181	血管リンパ管腫
ｌｙｍｐｈｏｍａ　ｃｅｌｌ	C849	-1
ＭＬ発症	C849	-1
ｍｙｏｔｏｎｉｃ　ｄｉｓｃｈａｒｇｅ	R941,G711	筋電図異常，非ジストロフィー性ミオトニー症候群
Ｐａｒｖｉｍｏｎａｓ　ｍｉｃｒａ	A498	嫌気性菌感染
ｓｙｓｔｅｍｉｃ　ｍａｓｔｏｃｙｔｏｓｉｓ	D470	肥満細胞腫症
ＶＺＶ網膜炎	H309	網膜炎
右房腫瘤	D151	右心室粘液腫，右心房粘液腫，左心室粘液腫，左心房粘液腫，心臓横紋筋腫，心臓線維腫，心臓粘液腫，心臓の良性腫瘍，心膜のう腫
Ｓ状結腸静脈瘤	I842	直腸静脈瘤
結核性肝膿瘍	A188	肝結核
左室憩室症	Q248	心膜憩室
耐糖能障害合併高血圧症	E14,I10	糖尿病，高血圧症
認知症合併糖尿病	F03,E12	認知症，糖尿病
