出現形	正解	予測
軽度右気胸	気胸	症候性そう痒症
腸閉塞歴	イレウス	無症候性原発性胆汁性肝硬変
左大腿骨骨折	大腿骨骨折	多尿
紅斑局面多発	紅斑症	多尿
下部進行食道癌	食道癌	抗生物質起因性腸炎
無γグロブリン血症	無ガンマグロブリン血症	傍矢状洞髄膜腫
子宮頸管ポリープ切除	子宮頚管ポリープ	産科的創傷の血腫
手首疼痛	疼痛	症候性そう痒症
ｓｐｌｅｎｉｃ　ｍａｒｇｉｎａｌ　ｚｏｎｅ　ｌｙｍｐｈｏｍａ	脾辺縁帯リンパ腫	胸膜播種
体動時息ぎれ	労作時呼吸困難	内反小趾
一部浮腫	浮腫	内反小趾
ふらつき注意	よろめき歩行	膀胱白板症
左中耳炎	中耳炎	大動脈弁狭窄症兼僧帽弁閉鎖不全症兼三尖弁閉鎖不全症
胃食道逆流症状	胃食道逆流症	気道閉塞
両側卵巣子宮内膜症性嚢胞	卵巣子宮内膜症のう胞	肝門部リンパ節転移
新出肝転移	転移性肝癌	前足部痛
脊椎カリエス	脊椎結核	床形態歯周治療用装置破損
行動障害	素行障害	症候性そう痒症
妊娠性糖尿病	妊娠糖尿病	視路疾患
小豆大紅斑	紅斑症	内反小趾
ＦＳＧＳ	巣状糸球体硬化症	視路疾患
左寛骨臼骨折	寛骨臼骨折	第４趾有棘細胞癌
原発性両眼内悪性リンパ腫	眼窩悪性リンパ腫	正中頚のう胞
腹腔鏡補助下子宮筋腫核	子宮筋腫	前足部痛
両下肢静脈血栓	下肢静脈血栓症	内反小趾
神経根障害	神経根炎	大動脈弁狭窄症兼僧帽弁閉鎖不全症兼三尖弁閉鎖不全症
クモ膜下出血	くも膜下出血	内反小趾
後鼻汁症候群	後鼻漏	気道閉塞
糖尿病性腎症１期	腎性糖尿	眼瞼異物残留
左臀部慢性膿皮症	慢性膿皮症	足底部打撲傷
メサンギウム増殖性腎炎	メサンギウム増殖性糸球体腎炎	化膿性リンパ節炎
左前頭葉心原性脳梗塞	心原性脳塞栓症	産科的創傷の血腫
閉塞性尿路感染	尿路感染症	温熱じんま疹
顔面蝶形紅斑	ＬＥ蝶形皮疹	多尿
上行結腸癌肝転移	転移性肝癌	前足部痛
仙骨部色素沈着	色素異常症	多尿
肥満糖尿病	糖尿病	視路疾患
左肩痛み	肩部筋痛	内反小趾
ＰＳＶＴ発作	発作性上室頻拍	化膿性リンパ節炎
顎変形症術後顎変形症	顎変形症	内反小趾
ＤＭＮ　２期	糖尿病	胸膜播種
労作時胸部絞扼感	胸内苦悶	大動脈弁狭窄症兼僧帽弁閉鎖不全症兼三尖弁閉鎖不全症
右膝変形	変形性膝関節症	多尿
指趾潰瘍	趾皮膚潰瘍	多尿
２型食道癌	食道癌	突発性咽頭出血
骨性腫瘤	腫瘤	第４趾有棘細胞癌
外傷性脊髄損傷	脊髄損傷	産科的創傷の血腫
下肢結節性紅斑	結節性紅斑	多尿
左動眼神経麻痺	動眼神経麻痺	大動脈弁狭窄症兼僧帽弁閉鎖不全症兼三尖弁閉鎖不全症
家族性海綿状血管腫	海綿状血管腫	糖原病
術中直腸損傷	直腸損傷	顎下腺萎縮
下肢動脈瘤	下肢の動脈瘤	内反小趾
精神病様症状	精神病	化膿性リンパ節炎
項頸部痛	頚部痛	内反小趾
頸部白斑	白斑	内反小趾
左大腿骨転子部粉砕骨折	転子下骨折	多尿
最近眠気	非器質性過眠症	症候性そう痒症
ＶＨＤ	心臓弁膜症	胸膜播種
夜頻尿	夜間頻尿症	視路疾患
回盲部炎	回盲部憩室炎	膀胱白板症
重症肺血栓塞栓症	肺塞栓症	子宮線維症
左歯痛	歯痛	症候性そう痒症
腹膜播種切除	腹膜播種	肝腫瘤
右乳突蜂巣	乳様突起炎	内反小趾
右肺尖部気胸	気胸	斜台部脊索腫
骨盤内子宮内膜症	子宮内膜症	急性小腸虚血
左頬部痛	頬部痛	角膜上皮損傷
局麻薬アレルギー	薬物過敏症	化膿性リンパ節炎
肺クリプトコックス症	急性肺クリプトコッカス症	胸膜播種
右肩関節亜脱臼半横指	肩関節亜脱臼	第４趾有棘細胞癌
慢性蕁麻疹	慢性じんま疹	膀胱白板症
マラセチア毛嚢炎	マラセチア毛包炎	ＨＴＬＶ−１感染症
高分化型漿液性腺癌	癌	突発性咽頭出血
腫瘍床	腫瘍	床形態歯周治療用装置破損
左膀胱尿管逆流症	膀胱尿管逆流	眼瞼異物残留
外側疼痛	疼痛	症候性そう痒症
卵巣癌再発卵巣癌	卵巣癌	若年者キーンベック病
錐体路病変	錐体外路系疾患	慢性歯肉炎
リンパ球性白血病	リンパ性白血病	急性小腸虚血
クラミジア感染	クラミジア感染症	先天性限局白皮症
奬液性嚢胞腺腫	膵漿液性のう胞腺腫	突発性咽頭出血
夜間倦怠感	倦怠感	症候性そう痒症
脳血栓塞栓症	脳血管閉塞性脳梗塞	手掌部皮下腫瘤
左リウマチ性肘関節症	関節リウマチ・膝関節	甲状腺出血
右下腿潰瘍感染	下腿皮膚潰瘍	多尿
気分不快時	悪心	症候性そう痒症
問題なし前立腺肥大	前立腺肥大症	視路疾患
急性パルボウイルスＢ１９感染症	パルボウイルス感染症	膀胱白板症
脂肪性腫瘤	脂肪腫	中指屈筋腱癒着
ウィルス性肺炎	肺炎	むちうち損傷
類円形紅斑	紅斑症	内反小趾
書字不能	書痙	症候性そう痒症
肺動脈狭窄	肺動脈狭窄症	顔面メルケル細胞癌
夜間不眠状態	不眠症	躁病発作
熱型	発熱	肺活量減少
骨盤内充実性腫瘍	骨盤腫瘍	床形態歯周治療用装置破損
夢遊病	夢遊症	化膿性リンパ節炎
脊髄小脳変性症６型	脊髄小脳変性症	慢性歯肉炎
左内頚動脈閉塞	内頚動脈閉塞症	産科的創傷の血腫
両側角乾燥性結膜炎	結膜炎	慢性肺気腫
脳虚血症状	脳虚血症	内側半月板断裂
微熱持続	微熱	膀胱白板症
夕方浮腫	浮腫	視路疾患
眼性疲労	眼精疲労	大動脈弁狭窄症兼僧帽弁閉鎖不全症兼三尖弁閉鎖不全症
直腸肛門奇形	鎖肛	胸膜播種
右大腿部腫瘍	大腿悪性軟部腫瘍	床形態歯周治療用装置破損
頚椎症神経根症	頚椎症性神経根症	産科的創傷の血腫
壊死性遊走性紅斑	遊走性紅斑	膀胱白板症
睡眠障害招くリスク	睡眠障害	化膿性リンパ節炎
上大静脈血栓	静脈血栓症	内反小趾
骨盤内ＬＮ転移	骨盤内リンパ節転移	床形態歯周治療用装置破損
ＰＫＤ	多発性のう胞腎	多尿
分水嶺脳梗塞	脳梗塞	産科的創傷の血腫
上皮性腫瘍	腫瘤	足底部打撲傷
大球性正色素貧血	大球性貧血	慢性歯肉炎
挙上空腸穿孔	腸穿孔	胸膜播種
腸管アメーバ感染症	腸アメーバ症	膀胱乳頭腫
放射線性皮膚炎	放射線皮膚炎	足底部打撲傷
肛門周囲びらん	外痔びらん	ヘルペスウイルス性湿疹
髄膜炎徴候	髄膜炎	流産後尿細管壊死
胸部不快	胸内苦悶	症候性そう痒症
下葉肺炎	肺炎	むちうち損傷
右足根部粉砕骨折	粉砕骨折	多尿
蛋白漏出胃腸症	蛋白漏出性胃腸症	胸膜播種
左大脳陳旧性ラクナ梗塞	陳旧性ラクナ梗塞	産科的創傷の血腫
出血多量	急性大量出血	内側半月板断裂
腹水多量	腹水症	膀胱白板症
腸間膜リンパ管腫	リンパ管腫	臍帯卵膜付着による新生児の障害
右卵巣悪性腫瘍	卵巣悪性腫瘍	臍帯卵膜付着による新生児の障害
糖尿病（２型）	２型糖尿病	胸膜播種
化膿性胸鎖関節炎	化膿性関節炎・胸鎖関節	床形態歯周治療用装置破損
右乳腺線維腫症	線維腫	肝門部リンパ節転移
肺野鬱血像	肺野異常陰影	完全大血管転位症１型
児嘔気	嘔気	視路疾患
尿閉歴	尿閉	眼瞼異物残留
陰嚢びらん	陰のうびらん	視路疾患
精神的ショック	ショック	甲状腺出血
右上腕骨外側上顆炎	外側上顆炎	淋菌性腹膜炎
子宮頚上皮内癌	子宮頚部上皮内癌	足底部打撲傷
難治性非定型性抗酸菌症	非結核性抗酸菌症	肺活量減少
軽度腹水	腹水症	総胆管のう腫
湿疹様	湿疹	斜台部脊索腫
大後頭孔狭窄	軟骨形成不全症	第４趾有棘細胞癌
熱型変化	発熱	肺活量減少
右無機能腎	無機能腎	視路疾患
月経痛コントロール不十分	月経痛	内反小趾
左鎖骨下動脈閉塞	鎖骨下動脈閉塞症	産科的創傷の血腫
右ＤＶＴ	深部静脈血栓症	斜台部脊索腫
非特異的胸痛	胸痛	症候性そう痒症
Ａｅｒｏｍｏｎａｓ　ｈｙｄｒｏｐｈｉｌａ敗血症	敗血症	甲状腺出血
重症細菌性敗血症	敗血症	膀胱白板症
逆行性健忘	逆向性健忘	症候性そう痒症
腹直筋膜下血腫	筋肉内血腫	床形態歯周治療用装置破損
関連腎臓病	腎疾患	無機質代謝障害
認知症様症状	認知症	化膿性リンパ節炎
顎骨骨折	下顎骨骨折	多尿
高度大動脈弁狭窄	大動脈弁狭窄症	内反小趾
右顔面骨骨折	顔面骨骨折	多尿
炎症性粉瘤	粉瘤	多尿
左腰部疼痛	腰痛症	内反小趾
ＨＣＶ重複感染症	Ｃ型肝炎ウイルス感染	化膿性リンパ節炎
脂質異常症（＋）	脂質異常症	視路疾患
上腹部圧痛	腹部圧痛	エーテル中毒症
両側椎骨動脈瘤	椎骨動脈瘤	産科的創傷の血腫
非ケトン性高血糖	高血糖高浸透圧症候群	膀胱白板症
Ｙｅｒｓｉｎｉａ腸炎	エルシニア腸炎	胸膜播種
声帯浮腫	声帯炎	内反小趾
誤嚥性肺炎併発	誤嚥性肺炎	肺活量減少
咳嗽持続	咳	症候性そう痒症
左側下顎骨嚢胞	顎骨のう胞	サイトメガロウイルス脊髄炎
右末梢前庭障害	末梢前庭障害	グラム陽性桿菌感染症
胆管閉鎖症	胆管閉塞症	眼瞼異物残留
閉塞性動脈硬化症　症状	閉塞性動脈硬化症	産科的創傷の血腫
洞不全	洞不全症候群	突発性咽頭出血
特発性リンパ浮腫	リンパ浮腫	突発性咽頭出血
シャント吻合部狭窄	透析シャント狭窄	アフラトキシン中毒
無気力	無力症	内側半月板断裂
胸骨炎	胸骨周囲炎	床形態歯周治療用装置破損
ナッツアレルギー	ピーナッツアレルギー	膀胱白板症
甲状腺乳頭癌術後再発	甲状腺乳頭癌	若年者キーンベック病
上肢疼痛	疼痛	症候性そう痒症
Ｔｕｒｎｅｒ症候群	ターナー症候群	肺活量減少
肝臓機能障害用	肝機能障害	視路疾患
左心不全徴候	心不全	症候性そう痒症
ＩＰＭＮ癌化	膵管内乳頭粘液性腺癌	抗生物質起因性腸炎
後発頚部転移	頚部転移性腫瘍	産科的創傷の血腫
下痢治	下痢症	外陰損傷
朝方疼痛	疼痛	症候性そう痒症
蜂窩肺形成	蜂窩織炎	胸膜播種
右ＩＣＡ高度狭窄	内頚動脈狭窄症	化膿性リンパ節炎
膵体部嚢胞	膵のう胞	前足部痛
右気管支狭窄	気管支狭窄症	内反小趾
非ヘルペス性辺縁系脳炎	辺縁系脳炎	肺活量減少
無症候性ＶＴ	心室頻拍	化膿性リンパ節炎
好酸球増多	好酸球増加症	化膿性リンパ節炎
口腔清掃	個人衛生の著しいレベル低下	膀胱白板症
両下腿皮膚潰瘍	下腿皮膚潰瘍	多尿
無石性胆嚢炎	胆のう炎	視路疾患
ｓ型ポリープ	ポリープ	静脈瘤性動脈瘤
時折頭痛	頭痛	内反小趾
関節リウマチ発症	関節リウマチ	多尿
残像腫瘍	腫瘍	若年者キーンベック病
両顎下腺腫大	顎下腺肥大	足底部打撲傷
夜間中途覚醒時	睡眠障害	大動脈弁狭窄症兼僧帽弁閉鎖不全症兼三尖弁閉鎖不全症
今朝頭痛	頭痛	内反小趾
眼球偏移	眼球偏位	慢性歯肉炎
腹腔内癒着高度	腹膜癒着	症候性そう痒症
右母指多指症	多指症	症候性そう痒症
薬剤性骨髄抑制	骨髄機能低下	床形態歯周治療用装置破損
肥満	肥満症	視路疾患
網膜中心動脈閉塞	網膜中心動脈閉塞症	産科的創傷の血腫
中枢神経悪性リンパ腫再発	悪性リンパ腫	急性小腸虚血
旅行者下痢症	下痢症	膀胱白板症
右声帯ポリープ	声帯ポリープ	化膿性リンパ節炎
非Ｂ非Ｃ型肝硬変	肝硬変症	視路疾患
頭部皮下結節	皮下結節	多尿
足がむくみ	下肢浮腫	内反小趾
下肢潰瘍	下肢皮膚潰瘍	多尿
難治性胸腹水	難治性腹水	総胆管のう腫
幻覚症状	幻覚	化膿性リンパ節炎
異常腫瘤	腫瘤	内反小趾
未破裂脳動脈瘤コイル塞栓	未破裂脳動脈瘤	産科的創傷の血腫
左下顎骨慢性骨髄炎	慢性顎骨骨髄炎	流産後尿細管壊死
左側頭葉膠芽腫	側頭葉膠芽腫	前足部痛
脳血管障害性パーキンソニズム	脳血管障害性パーキンソン症候群	慢性歯肉炎
右後角脳室内出血	脳室内出血	内反小趾
難治性浮腫	高度浮腫	視路疾患
Ｇｒａｎｕｌｏｍａｔｏｓｉｓ　ｗｉｔｈ　ｐｏｌｙａｎｇｉｉｔｉｓ	多発血管炎性肉芽腫症	胸膜播種
再発脊索腫	脊索腫	糖原病
Ｃ型肝硬変症	Ｃ型肝硬変	眼瞼異物残留
左踵部悪性黒色腫	踵部悪性黒色腫	若年者キーンベック病
未分化癌	癌	抗生物質起因性腸炎
両側副腎悪性リンパ腫	悪性リンパ腫	前腕血栓性静脈炎
帯状疱疹無	帯状疱疹	斜台部脊索腫
左膝痛み	膝関節痛	内反小趾
右下腿痛	下腿痛	症候性そう痒症
気管支喘息症状	気管支喘息	症候性そう痒症
大腿骨内顆骨壊死	特発性大腿骨内顆骨壊死	多尿
炎症性貧血	貧血	総胆管のう腫
両下肢掻痒感	皮膚そう痒症	角膜上皮損傷
右後頭葉脳挫傷	脳挫傷	産科的創傷の血腫
女性化乳房	女性化乳房症	内反小趾
ｍａｓｓ　ｌｅｓｉｏｎ	腫瘤	化膿性リンパ節炎
右大脳半球多発脳梗塞	多発性脳梗塞	産科的創傷の血腫
大動脈弁膜症	大動脈弁弁膜症	産科的創傷の血腫
鎮静困難	興奮状態	症候性そう痒症
再発腫瘤近傍	腫瘤	第４趾有棘細胞癌
右下腿麻痺	下肢麻痺	内反小趾
切除不能多発性肝転移	転移性肝腫瘍	螺旋状食道
腹腔内膿瘍形成	膿瘍	床形態歯周治療用装置破損
発作性上室性頻拍	発作性上室頻拍	甲状腺出血
筋肉痛生	筋肉痛	内反小趾
腰椎滑り症	腰椎すべり症	総胆管のう腫
淡血性胸水	血性胸水	視路疾患
腎被膜下出血	外傷性腎被膜下血腫	視路疾患
仙骨部褥瘡痕	仙骨部褥瘡	糖原病
左肝腫瘍	肝腫瘍	床形態歯周治療用装置破損
非Ｃｌｏｓｔｒｉｄｉｕｍ性ガス壊疽	ガス壊疽	多尿
リンパ腺腫脹	リンパ節腫大	糖原病
心室二段脈	心室性二段脈	産科的創傷の血腫
鼻腔腫瘍摘出	鼻腔腫瘍	肝腫瘤
疼痛時頓用	疼痛	症候性そう痒症
多房性膿瘍	膿瘍	床形態歯周治療用装置破損
右耳介後部痛	耳痛症	角膜上皮損傷
左胸壁腫瘍切除	胸壁腫瘍	多尿
無呼吸症候群	無呼吸発作	症候性そう痒症
右尿管癌	尿管癌	突発性咽頭出血
出血過多	出血	内側半月板断裂
甲状腺嚢腫	甲状腺のう胞	前足部痛
両側浸出性中耳炎	滲出性中耳炎	大動脈弁狭窄症兼僧帽弁閉鎖不全症兼三尖弁閉鎖不全症
覚醒度	麻酔覚醒遅延	症候性そう痒症
高血糖	高血糖症	膀胱白板症
有意弁膜症	弁膜炎	グラム陽性桿菌感染症
胸痛無	胸痛	総胆管のう腫
右下肺野無気肺	無気肺	化膿性リンパ節炎
小脳性失調	小脳性運動失調症	膀胱白板症
好酸球増多症	好酸球増加症	化膿性リンパ節炎
右腎明細胞肉腫	腎明細胞肉腫	前足部痛
甲状腺左葉濾胞腺腫	濾胞性甲状腺腺腫	前足部痛
下位運動ニューロン徴候	運動ニューロン疾患	症候性そう痒症
主幹動脈狭窄	脳動脈狭窄症	産科的創傷の血腫
創部皮下血腫	外傷性皮下血腫	床形態歯周治療用装置破損
掻痒感軽減	そう痒	総胆管のう腫
両肺小結節影	肺野異常陰影	２型糖尿病・関節合併症あり
造影剤アレルギー歴	薬物過敏症	肺活量減少
左眼鼻涙管閉塞症	鼻涙管閉鎖症	気道閉塞
慢性的な抑うつ気分	うつ状態	症候性そう痒症
鼻部異物肉芽腫	皮膚異物肉芽腫	内反小趾
遠隔ＬＮ転移	リンパ節転移	胸膜播種
子宮がん	子宮癌	食道瘢痕
Ｂｉｃｋｅｒｓｔａｆｆ型脳幹脳炎	ビッカースタッフ脳幹脳炎	慢性歯肉炎
睾丸腫脹	精巣腫脹	第４趾有棘細胞癌
右中皮腫	中皮腫	足底部打撲傷
ジベル薔薇色粃糠疹	ジベルばら色粃糠疹	大動脈弁狭窄症兼三尖弁閉鎖不全症
脳実質外腫瘍	腫瘍	若年者キーンベック病
抑鬱感	気うつ	視路疾患
扁桃腺腫大	扁桃肥大	突発性咽頭出血
口内出血	口腔出血	内反小趾
右上方視野欠損	視野欠損	静脈内膜炎
両側臼蓋形成不全症	臼蓋形成不全	内反小趾
進行肝癌	肝癌	前腕血栓性静脈炎
噴門部狭窄	胃狭窄	胸膜播種
突発性腎出血	腎出血	手掌部皮下腫瘤
前股関節症	股関節症	甲状腺出血
多発肝嚢胞	多発性肝のう胞	前腕血栓性静脈炎
過換気状態	過換気症	内側半月板断裂
傍大動脈ＬＮ	大動脈周囲リンパ節転移	慢性歯肉炎
左椎骨動脈低形成	骨髄低形成	内反小趾
左房拡張	心拡大	内反小趾
サルモネラ菌感染症	サルモネラ感染症	皮下唇裂
両側性多発性嚢胞腎	多発性のう胞腎	前腕血栓性静脈炎
化学物質アレルギー	アレルギー	肺活量減少
右手指腫脹	手指腫脹	多尿
右足背発赤	発赤	完全大血管転位症１型
脊柱管高度狭窄	脊柱管狭窄症	気道閉塞
右急性網膜壊死	急性網膜壊死	産科的創傷の血腫
皮膚硬化がまだかなり	新生児皮膚硬化症	内反小趾
口腔内乾燥軽度	口腔乾燥症	斜台部脊索腫
下肢筋痛	下肢筋肉痛	内反小趾
蠕動不良	異常腸音	症候性そう痒症
四肢腱反射亢進	反射亢進	内反小趾
黒色丘疹	丘疹	腎脂肪腫
胸部陰影	胸部異常陰影	完全大血管転位症１型
クモ膜下嚢胞	くも膜のう胞	突発性咽頭出血
２次性糖尿病	二次性糖尿病	視路疾患
Ｈａｅｍｏｐｈｉｌｕｓ　ｉｎｆｌｕｅｎｚａｅ敗血症	敗血症	甲状腺出血
慢性期疼痛	慢性疼痛	症候性そう痒症
右上葉原発肺小細胞癌	小細胞肺癌	抗生物質起因性腸炎
出血源不詳	出血	内側半月板断裂
一般細菌感染	細菌感染症	化膿性リンパ節炎
急性小脳失調症	急性小脳性失調症	サイトメガロウイルス脊髄炎
浸潤癌化所見	癌	抗生物質起因性腸炎
痔核脱出	痔核	第４趾有棘細胞癌
重症膵炎	膵炎	視路疾患
痛みアリ	疼痛	症候性そう痒症
左心室内血栓症	心室内血栓症	手掌部皮下腫瘤
右足疼痛	疼痛	大動脈弁狭窄症兼僧帽弁閉鎖不全症兼三尖弁閉鎖不全症
増殖前網膜症	網膜症	膀胱内異物
傍神経節腫瘍	傍神経節腫	若年者キーンベック病
小腸膀胱瘻	膀胱皮膚瘻	新生児一過性低血糖症
左小細胞肺癌	小細胞肺癌	抗生物質起因性腸炎
少量左胸水	胸水貯留	総胆管のう腫
多発ＨＣＣ再発	肝細胞癌	第４趾有棘細胞癌
結核性嚢腫	結核	床形態歯周治療用装置破損
右大腿骨外顆骨折	大腿骨外顆骨折	多尿
巨大膵仮性嚢胞	仮性膵のう胞	突発性咽頭出血
大腿腫脹	下腿腫脹	内反小趾
全身性ＣＭＶ感染症	サイトメガロウイルス感染症	視路疾患
多発肝内転移	転移性肝腫瘍	手掌有棘細胞癌
右外耳道炎	外耳炎	大動脈弁狭窄症兼僧帽弁閉鎖不全症兼三尖弁閉鎖不全症
両下肢圧痕性浮腫	クインケ浮腫	内反小趾
下部腸間膜動脈出血	動脈性出血	第４趾有棘細胞癌
ＩｇＭ型Ｍ蛋白	単クローン性免疫グロブリン血症	蚕蝕性角膜潰瘍
喘息発作様症状	気管支喘息発作	内反小趾
分食道癌	食道癌	抗生物質起因性腸炎
多少便秘気味	便秘症	膀胱白板症
ポリープ状病変	ポリープ	胸膜播種
既往高血圧	高血圧症	内側半月板断裂
右リウマチ性膝関節症	関節リウマチ・膝関節	多尿
急性骨髄性白血病（ＡＭＬ）	急性骨髄性白血病	急性小腸虚血
腹水大量	腹水症	膀胱白板症
全身皮膚発赤	発赤	多尿
多発肺嚢胞	肺のう胞	胸膜播種
右小脳橋角部腫瘍	小脳橋角部腫瘍	産科的創傷の血腫
右眼網膜静脈分枝閉塞症	網膜静脈分枝閉塞症	産科的創傷の血腫
右脛骨腓骨開放骨折	脛骨腓骨開放骨折	多尿
左側卵巣腫瘍	卵巣腫瘍	臍帯卵膜付着による新生児の障害
口腔内びらん	口唇びらん	内反小趾
紅斑熱群リケッチア症	リケッチア感染症	膀胱白板症
ＩＴＰ	特発性血小板減少性紫斑病	胸膜播種
気管支喘息小発作	気管支喘息発作	内反小趾
解離性動脈瘤破裂	解離性動脈瘤	産科的創傷の血腫
左眼窩内腫瘍	眼窩腫瘍	若年者キーンベック病
肺外小細胞癌	小細胞肺癌	抗生物質起因性腸炎
高度大動脈弁狭窄症	大動脈弁狭窄症	内反小趾
ｂｒｅａｋｔｈｒｏｕｇｈ　ｈｅｐａｔｉｔｉｓ	肝炎	膀胱白板症
左室圧排	右室肥大	内側半月板断裂
両側声帯外転障害	声帯外転筋麻痺	大動脈弁狭窄症兼僧帽弁閉鎖不全症兼三尖弁閉鎖不全症
一部水疱形成	水疱症	内反小趾
糖尿病潰瘍	糖尿病性潰瘍	床形態歯周治療用装置破損
飲みこみにくさ	嚥下障害	視路疾患
左腎低形成	低形成腎	眼瞼異物残留
左母趾疼痛	母趾痛	症候性そう痒症
副腎ヒストプラズマ感染症	真菌症	化膿性リンパ節炎
右眼糖尿病網膜症	糖尿病網膜症	化膿性リンパ節炎
下肢浮腫左	下肢浮腫	内反小趾
両松葉杖歩行	歩行障害	膀胱白板症
冠動脈狭窄３枝病変	狭心症３枝病変	第４趾有棘細胞癌
遺伝性低尿酸血症	低尿酸血症	顔面メルケル細胞癌
低アルドステロン血症	低アルドステロン症	胸膜播種
小腸皮膚瘻	皮膚瘻	大動脈弁狭窄症兼三尖弁閉鎖不全症
重度僧帽弁狭窄症	僧帽弁狭窄症	外耳道母斑細胞母斑
非細菌性血栓性疣贅	疣贅	床形態歯周治療用装置破損
特発性腸間膜血腫	血腫	前足部痛
脳原発性悪性リンパ腫	脳悪性リンパ腫	産科的創傷の血腫
抜管後両側反回神経麻痺	両側性反回神経麻痺	アフラトキシン中毒
肝骨転移	骨転移癌	床形態歯周治療用装置破損
乳腺線維腫症	線維腫	糖原病
術後左反回神経麻痺	反回神経麻痺	大動脈弁狭窄症兼僧帽弁閉鎖不全症兼三尖弁閉鎖不全症
無症候性髄膜腫	髄膜腫	若年者キーンベック病
左肺下葉肺癌	下葉肺癌	ＨＴＬＶ−１感染症
アルコール離脱症候群	アルコール離脱状態	胸膜播種
左腸骨骨肉腫	腸骨軟骨肉腫	床形態歯周治療用装置破損
脳梁低形成	脳梁形成不全	内反小趾
表皮内水疱形成	先天性表皮水疱症	内反小趾
後頚部圧痛	圧痛	内反小趾
不定愁訴様	不定愁訴症	気道閉塞
良性胆道狭窄	胆管狭窄症	眼瞼異物残留
左下葉非小細胞肺癌	下葉非小細胞肺癌	抗生物質起因性腸炎
