出現形	正解	予測
会陰部発赤	発赤	黄斑障害
嚥下時痛軽度	嚥下痛	強膜化角膜
左顔面血管腫	顔面血管腫	足蹠青色母斑
鼻汁多く	鼻汁	慢性子宮留膿症
口腔内出血痕	口腔出血	陰茎腫瘤
ＳＩＡＤ	抗利尿ホルモン不適合分泌症候群	足どり不安定
夜両足痛	足痛	下腿筋腱移行部損傷
左後頭葉梗塞	脳梗塞	副卵管捻転
左内眼角基底細胞癌	眼角基底細胞癌	侏小骨盤による分娩停止
難治性イレウス	イレウス	母指切断
副鼻腔腫瘍	鼻副鼻腔腫瘍	ぶどう球菌性扁桃炎
大腸菌菌血症	菌血症	副甲状腺先天奇形
右前頭葉出血	脳出血	特発性じんま疹
左膝部痛	膝窩部痛	脳脊髄炎
仙椎陳旧性骨折	陳旧性骨折	ピンタ性角化症
乳癌既往	乳癌	先天性白内障
軽度咽頭発赤	咽頭発赤	後縦隔脂肪肉腫
痙攣起	痙攣	腹痛症
下肢浮腫圧痕	下肢浮腫	恥骨部打撲
左側頬部腫脹	頬部腫脹	心超音波検査異常
心室中隔穿孔	心室中隔欠損症	鼻背基底細胞癌
四肢浮腫軽度	四肢浮腫	出血性外痔核
大腸ポリープ　ポリペク後	大腸ポリープ	肝線維症
腰椎椎体椎間板炎	腰椎椎間板炎	息切れ
左下葉肺炎悪化	大葉性肺炎	開放性矢状洞部硬膜外血腫
ぼんやり感持続	反応性低下	鎖骨下静脈狭窄
右鼠径部痛	鼡径部痛	顎下腺膿瘍
皮疹不変	発疹	斑状歯
創部痛	術創部痛	大転子開放骨折
軽度右気胸	気胸	臍帯卵膜付着
腸閉塞歴	イレウス	テント上下髄膜腫
左大腿骨骨折	大腿骨骨折	小腸出血
紅斑局面多発	紅斑症	大腸腫瘤
下部進行食道癌	食道癌	単純型統合失調症
無γグロブリン血症	無ガンマグロブリン血症	低カリウム血性ミオパチー
子宮頸管ポリープ切除	子宮頚管ポリープ	眼瞼蜂巣炎
手首疼痛	疼痛	下腿筋腱移行部損傷
ｓｐｌｅｎｉｃ　ｍａｒｇｉｎａｌ　ｚｏｎｅ　ｌｙｍｐｈｏｍａ	脾辺縁帯リンパ腫	瞳孔不同症
体動時息ぎれ	労作時呼吸困難	肺扁平上皮癌
一部浮腫	浮腫	片頭痛
ふらつき注意	よろめき歩行	脂腺腫
左中耳炎	中耳炎	新生児クラミジア感染症
胃食道逆流症状	胃食道逆流症	腋窩多汗症
両側卵巣子宮内膜症性嚢胞	卵巣子宮内膜症のう胞	未破裂椎骨動脈解離
新出肝転移	転移性肝癌	小脳橋角部髄膜腫
脊椎カリエス	脊椎結核	趾節間関節捻挫
行動障害	素行障害	耳小骨融合
妊娠性糖尿病	妊娠糖尿病	既往子宮術後分娩
小豆大紅斑	紅斑症	大腸腫瘤
ＦＳＧＳ	巣状糸球体硬化症	急性腎前性腎不全
左寛骨臼骨折	寛骨臼骨折	橈側手根屈筋腱不全断裂
原発性両眼内悪性リンパ腫	眼窩悪性リンパ腫	新生児気胸
腹腔鏡補助下子宮筋腫核	子宮筋腫	心因性頻脈
両下肢静脈血栓	下肢静脈血栓症	小指ＰＩＰ関節捻挫
神経根障害	神経根炎	先天性僧帽弁狭窄兼閉鎖不全症
クモ膜下出血	くも膜下出血	顎骨インプラント予後不良
後鼻汁症候群	後鼻漏	肝脾腫
糖尿病性腎症１期	腎性糖尿	鼻部第３度熱傷
左臀部慢性膿皮症	慢性膿皮症	鎮静薬による急性精神・行動障害
メサンギウム増殖性腎炎	メサンギウム増殖性糸球体腎炎	漿膜下子宮平滑筋腫
左前頭葉心原性脳梗塞	心原性脳塞栓症	開放性脾損傷
閉塞性尿路感染	尿路感染症	心室中隔欠損を伴う肺動脈閉鎖症
顔面蝶形紅斑	ＬＥ蝶形皮疹	大腸腫瘤
上行結腸癌肝転移	転移性肝癌	ヘモジデリン沈着症
仙骨部色素沈着	色素異常症	足関節ガングリオン
肥満糖尿病	糖尿病	下腿多発性開放創
左肩痛み	肩部筋痛	肩甲腓骨型脊髄性筋萎縮症
ＰＳＶＴ発作	発作性上室頻拍	急性腎前性腎不全
顎変形症術後顎変形症	顎変形症	地方病性クレチン病
ＤＭＮ　２期	糖尿病	瞳孔不同症
労作時胸部絞扼感	胸内苦悶	尿道瘻開口部に対する手当て
右膝変形	変形性膝関節症	腸回転異常
指趾潰瘍	趾皮膚潰瘍	慢性化膿性中耳炎
２型食道癌	食道癌	皮膚萎縮症
骨性腫瘤	腫瘤	総腸骨動脈損傷
外傷性脊髄損傷	脊髄損傷	ＭＲＳＡ保菌者
下肢結節性紅斑	結節性紅斑	胸壁蜂巣炎
左動眼神経麻痺	動眼神経麻痺	肺好酸球性肉芽腫症
家族性海綿状血管腫	海綿状血管腫	閉経後骨粗鬆症・骨盤部病的骨折あり
術中直腸損傷	直腸損傷	妊娠中の麻酔による脳無酸素症
下肢動脈瘤	下肢の動脈瘤	オロプーシェウイルス病
精神病様症状	精神病	骨腫瘤
項頸部痛	頚部痛	下肢静止不能症候群
頸部白斑	白斑	胸部交感神経損傷
左大腿骨転子部粉砕骨折	転子下骨折	股関節部開放創
最近眠気	非器質性過眠症	水痘髄膜炎
ＶＨＤ	心臓弁膜症	急性腎前性腎不全
夜頻尿	夜間頻尿症	ウイルス性扁桃炎
回盲部炎	回盲部憩室炎	手青色母斑
重症肺血栓塞栓症	肺塞栓症	コンポジットレジン粗造
左歯痛	歯痛	大動脈石灰化症
腹膜播種切除	腹膜播種	外耳部割創
右乳突蜂巣	乳様突起炎	上咽頭後壁癌
右肺尖部気胸	気胸	上肢脱出
骨盤内子宮内膜症	子宮内膜症	幻肢
左頬部痛	頬部痛	老人性眼瞼外反症
局麻薬アレルギー	薬物過敏症	急性出血性膀胱炎
肺クリプトコックス症	急性肺クリプトコッカス症	多発胃潰瘍
右肩関節亜脱臼半横指	肩関節亜脱臼	示指痛
慢性蕁麻疹	慢性じんま疹	多源性心室期外収縮
マラセチア毛嚢炎	マラセチア毛包炎	頭部基底細胞癌
高分化型漿液性腺癌	癌	随意性脱臼
腫瘍床	腫瘍	中毒性好中球減少症
左膀胱尿管逆流症	膀胱尿管逆流	ハッサル・ヘンレ疣
外側疼痛	疼痛	膀胱外反症
卵巣癌再発卵巣癌	卵巣癌	胸椎軟骨肉腫
錐体路病変	錐体外路系疾患	胸椎結核
リンパ球性白血病	リンパ性白血病	心房粗動
クラミジア感染	クラミジア感染症	滲出型加齢黄斑変性
奬液性嚢胞腺腫	膵漿液性のう胞腺腫	多乳頭症
夜間倦怠感	倦怠感	全部性歯髄炎
脳血栓塞栓症	脳血管閉塞性脳梗塞	ベルナール・スーリエ症候群
左リウマチ性肘関節症	関節リウマチ・膝関節	健忘性失語症
右下腿潰瘍感染	下腿皮膚潰瘍	急性側壁心筋梗塞
気分不快時	悪心	角結膜擦過傷
問題なし前立腺肥大	前立腺肥大症	示指屈筋腱損傷
急性パルボウイルスＢ１９感染症	パルボウイルス感染症	外傷性血管攣縮性症候群
脂肪性腫瘤	脂肪腫	急性脛骨骨髄炎
ウィルス性肺炎	肺炎	記憶障害
類円形紅斑	紅斑症	大腸腫瘤
書字不能	書痙	耳介後部腫脹
肺動脈狭窄	肺動脈狭窄症	足底角化症
夜間不眠状態	不眠症	遊走性紅斑
熱型	発熱	シトリン欠損症
骨盤内充実性腫瘍	骨盤腫瘍	急性間欠性ポルフィリン症
夢遊病	夢遊症	新生児皮膚硬化症
脊髄小脳変性症６型	脊髄小脳変性症	一絨毛膜二羊膜性双胎
左内頚動脈閉塞	内頚動脈閉塞症	回腸憩室症
両側角乾燥性結膜炎	結膜炎	環指屈筋腱癒着
脳虚血症状	脳虚血症	多発性期外収縮
微熱持続	微熱	尺骨遠位部骨髄炎
夕方浮腫	浮腫	切歯破折
眼性疲労	眼精疲労	腸動静脈奇形
直腸肛門奇形	鎖肛	テント下脳腫瘍
右大腿部腫瘍	大腿悪性軟部腫瘍	肛門結核
頚椎症神経根症	頚椎症性神経根症	肘関節外側側副靱帯損傷
壊死性遊走性紅斑	遊走性紅斑	左室肥大
睡眠障害招くリスク	睡眠障害	眼窩筋炎
上大静脈血栓	静脈血栓症	上行結腸神経内分泌腫瘍
骨盤内ＬＮ転移	骨盤内リンパ節転移	前眼部形成異常
ＰＫＤ	多発性のう胞腎	急性腎前性腎不全
分水嶺脳梗塞	脳梗塞	角膜軟化
上皮性腫瘍	腫瘤	若年性骨粗鬆症
大球性正色素貧血	大球性貧血	麻痺性股関節脱臼
挙上空腸穿孔	腸穿孔	肝疾患に伴う貧血
腸管アメーバ感染症	腸アメーバ症	頚動脈小体良性腫瘍
放射線性皮膚炎	放射線皮膚炎	翼状頚
肛門周囲びらん	外痔びらん	急性熱性皮膚リンパ節症候群
髄膜炎徴候	髄膜炎	ワンサン気管支炎
胸部不快	胸内苦悶	貧血母斑
下葉肺炎	肺炎	先天性尿道奇形
右足根部粉砕骨折	粉砕骨折	声帯不全麻痺
蛋白漏出胃腸症	蛋白漏出性胃腸症	セクショナルアーチ破損
左大脳陳旧性ラクナ梗塞	陳旧性ラクナ梗塞	晩発閉経
出血多量	急性大量出血	クロム親和性芽細胞腫
腹水多量	腹水症	胎児発育過度
腸間膜リンパ管腫	リンパ管腫	飛び込み自殺
右卵巣悪性腫瘍	卵巣悪性腫瘍	ゴナドトロピン単独欠損症
糖尿病（２型）	２型糖尿病	硬膜下血腫・頭蓋内に達する開放創合併なし
化膿性胸鎖関節炎	化膿性関節炎・胸鎖関節	上斜筋腱鞘症候群
右乳腺線維腫症	線維腫	子宮体部筋腫
肺野鬱血像	肺野異常陰影	外傷性脳圧迫・頭蓋内に達する開放創合併なし
児嘔気	嘔気	三尖弁閉鎖症
尿閉歴	尿閉	晩期梅毒性聴神経炎
陰嚢びらん	陰のうびらん	上腕神経根炎
精神的ショック	ショック	巨赤芽球性貧血
右上腕骨外側上顆炎	外側上顆炎	間欠性外斜視
子宮頚上皮内癌	子宮頚部上皮内癌	フェナセチン中毒
難治性非定型性抗酸菌症	非結核性抗酸菌症	大脳石灰沈着症
軽度腹水	腹水症	胎児発育過度
湿疹様	湿疹	悪性虫垂粘液瘤
大後頭孔狭窄	軟骨形成不全症	ベネズエラ出血熱
熱型変化	発熱	前胸部摩擦音
右無機能腎	無機能腎	薬物誘発性筋強直症
月経痛コントロール不十分	月経痛	反応性てんかん
左鎖骨下動脈閉塞	鎖骨下動脈閉塞症	肥大性歯肉炎
右ＤＶＴ	深部静脈血栓症	急性腎前性腎不全
非特異的胸痛	胸痛	急性本態性浮腫
Ａｅｒｏｍｏｎａｓ　ｈｙｄｒｏｐｈｉｌａ敗血症	敗血症	赤外線白内障
重症細菌性敗血症	敗血症	後発白内障
逆行性健忘	逆向性健忘	陳旧性尺骨茎状突起骨折
腹直筋膜下血腫	筋肉内血腫	尿道下裂
関連腎臓病	腎疾患	コフィン・ローリー症候群
認知症様症状	認知症	ＭＬＬ再構成型Ｂリンパ芽球性白血病／リンパ腫
顎骨骨折	下顎骨骨折	ネラトン症候群
高度大動脈弁狭窄	大動脈弁狭窄症	骨盤ストレイン
右顔面骨骨折	顔面骨骨折	外耳道皮膚良性腫瘍
炎症性粉瘤	粉瘤	喉頭狭窄症
左腰部疼痛	腰痛症	手指多発骨折
ＨＣＶ重複感染症	Ｃ型肝炎ウイルス感染	外耳道異物
脂質異常症（＋）	脂質異常症	若年性パーキンソン病Ｙａｈｒ４
上腹部圧痛	腹部圧痛	スティフ・マン症候群
両側椎骨動脈瘤	椎骨動脈瘤	舌咬傷
非ケトン性高血糖	高血糖高浸透圧症候群	頚腕捻挫
Ｙｅｒｓｉｎｉａ腸炎	エルシニア腸炎	バベシア症
声帯浮腫	声帯炎	インフルエンザ菌性先天性肺炎
誤嚥性肺炎併発	誤嚥性肺炎	塩素ガス中毒
咳嗽持続	咳	マーデルング変形
左側下顎骨嚢胞	顎骨のう胞	筋無力症
右末梢前庭障害	末梢前庭障害	絶対緑内障
胆管閉鎖症	胆管閉塞症	鎖骨骨幹部骨折
閉塞性動脈硬化症　症状	閉塞性動脈硬化症	前胸部第２度熱傷
洞不全	洞不全症候群	ジュベール症候群
特発性リンパ浮腫	リンパ浮腫	結膜熱傷
シャント吻合部狭窄	透析シャント狭窄	食道リンパ管腫
無気力	無力症	小指ＰＩＰ関節側副靱帯損傷
胸骨炎	胸骨周囲炎	人工肘関節置換術後
ナッツアレルギー	ピーナッツアレルギー	背部蜂巣炎
甲状腺乳頭癌術後再発	甲状腺乳頭癌	乳児内斜視
上肢疼痛	疼痛	上腕骨変形治癒骨折
Ｔｕｒｎｅｒ症候群	ターナー症候群	唾液瘻
肝臓機能障害用	肝機能障害	耳部丹毒
左心不全徴候	心不全	半椎症
ＩＰＭＮ癌化	膵管内乳頭粘液性腺癌	嗄声
後発頚部転移	頚部転移性腫瘍	解離性健忘
下痢治	下痢症	片側感覚消失
朝方疼痛	疼痛	甲状腺悪性リンパ腫
蜂窩肺形成	蜂窩織炎	頚部リンパ節転移
右ＩＣＡ高度狭窄	内頚動脈狭窄症	外傷性小脳血腫・頭蓋内に達する開放創合併あり
膵体部嚢胞	膵のう胞	ベーチェット病
右気管支狭窄	気管支狭窄症	視神経膠腫
非ヘルペス性辺縁系脳炎	辺縁系脳炎	小指ＰＩＰ関節橈側側副靱帯損傷
無症候性ＶＴ	心室頻拍	陰部神経症
好酸球増多	好酸球増加症	心血管梅毒
口腔清掃	個人衛生の著しいレベル低下	多発性海綿状血管腫
両下腿皮膚潰瘍	下腿皮膚潰瘍	リステリア性脳動脈炎
無石性胆嚢炎	胆のう炎	踵骨腫瘍
ｓ型ポリープ	ポリープ	下咽頭異物
時折頭痛	頭痛	先天性巨爪
関節リウマチ発症	関節リウマチ	腸間膜リンパ節陳旧性結核
残像腫瘍	腫瘍	脳底動脈先端症候群
両顎下腺腫大	顎下腺肥大	先天性直腸瘻
夜間中途覚醒時	睡眠障害	肺コクシジオイデス症
今朝頭痛	頭痛	先天性巨爪
眼球偏移	眼球偏位	薬物誘発性ミエロパチー
腹腔内癒着高度	腹膜癒着	殿部せつ
右母指多指症	多指症	精管狭窄症
薬剤性骨髄抑制	骨髄機能低下	膀胱肉腫
肥満	肥満症	直腸切断術後後遺症
網膜中心動脈閉塞	網膜中心動脈閉塞症	前腕第２度熱傷
中枢神経悪性リンパ腫再発	悪性リンパ腫	白色水腫
旅行者下痢症	下痢症	前腕多発性損傷
右声帯ポリープ	声帯ポリープ	関節内骨折
非Ｂ非Ｃ型肝硬変	肝硬変症	術後冠動脈攣縮症
頭部皮下結節	皮下結節	前胸壁痛
足がむくみ	下肢浮腫	頬部皮下血腫
下肢潰瘍	下肢皮膚潰瘍	大腿骨頚部基部骨折
難治性胸腹水	難治性腹水	肘関節外側側副靱帯捻挫
幻覚症状	幻覚	副腎梗塞
異常腫瘤	腫瘤	胃結核
未破裂脳動脈瘤コイル塞栓	未破裂脳動脈瘤	唾液腺萎縮
左下顎骨慢性骨髄炎	慢性顎骨骨髄炎	小児型筋ジストロフィー
左側頭葉膠芽腫	側頭葉膠芽腫	胃平滑筋肉腫
脳血管障害性パーキンソニズム	脳血管障害性パーキンソン症候群	食道拡張症
右後角脳室内出血	脳室内出血	子宮損傷・骨盤腔に達する開放創合併なし
難治性浮腫	高度浮腫	急性膀胱炎
Ｇｒａｎｕｌｏｍａｔｏｓｉｓ　ｗｉｔｈ　ｐｏｌｙａｎｇｉｉｔｉｓ	多発血管炎性肉芽腫症	足どり不安定
再発脊索腫	脊索腫	小脳のう腫
Ｃ型肝硬変症	Ｃ型肝硬変	家族性地中海熱
左踵部悪性黒色腫	踵部悪性黒色腫	心臓横紋筋肉腫
未分化癌	癌	陳旧性後壁心筋梗塞
両側副腎悪性リンパ腫	悪性リンパ腫	ウィリス動脈輪周囲炎
帯状疱疹無	帯状疱疹	卵巣損傷
左膝痛み	膝関節痛	脳脊髄炎
右下腿痛	下腿痛	髄膜炎菌性球後視神経炎
気管支喘息症状	気管支喘息	乳房よう
大腿骨内顆骨壊死	特発性大腿骨内顆骨壊死	後腹膜膿瘍
炎症性貧血	貧血	関節脱臼後遺症
両下肢掻痒感	皮膚そう痒症	精巣萎縮
右後頭葉脳挫傷	脳挫傷	糸球体腎炎
女性化乳房	女性化乳房症	虫刺性皮膚炎
ｍａｓｓ　ｌｅｓｉｏｎ	腫瘤	足どり不安定
右大脳半球多発脳梗塞	多発性脳梗塞	腋窩神経損傷
大動脈弁膜症	大動脈弁弁膜症	腰椎椎間板断裂
鎮静困難	興奮状態	涙道閉塞症
再発腫瘤近傍	腫瘤	耳介外傷性皮下異物
右下腿麻痺	下肢麻痺	人工歯根上部構造不適合
切除不能多発性肝転移	転移性肝腫瘍	頭皮損傷
腹腔内膿瘍形成	膿瘍	陳旧性塞栓性脳梗塞
発作性上室性頻拍	発作性上室頻拍	薬物禁断症候群
筋肉痛生	筋肉痛	膵頭十二指腸切除後膵液瘻
腰椎滑り症	腰椎すべり症	ムチランス変形
淡血性胸水	血性胸水	エルシニア腸炎
腎被膜下出血	外傷性腎被膜下血腫	萎縮性喉頭気管炎
仙骨部褥瘡痕	仙骨部褥瘡	精巣胎児性癌
左肝腫瘍	肝腫瘍	カプスラーツム肺ヒストプラスマ症
非Ｃｌｏｓｔｒｉｄｉｕｍ性ガス壊疽	ガス壊疽	肘部ガングリオン
リンパ腺腫脹	リンパ節腫大	低カリウム血症
心室二段脈	心室性二段脈	成長ホルモン産生下垂体腺腫
鼻腔腫瘍摘出	鼻腔腫瘍	両側性唇裂
疼痛時頓用	疼痛	月経中間期出血
多房性膿瘍	膿瘍	網膜前出血
右耳介後部痛	耳痛症	外傷性肝破裂・腹腔に達する開放創合併あり
左胸壁腫瘍切除	胸壁腫瘍	高ＬＤＬ血症
無呼吸症候群	無呼吸発作	内因性うつ病
右尿管癌	尿管癌	一過性滑膜炎
出血過多	出血	クロム親和性芽細胞腫
甲状腺嚢腫	甲状腺のう胞	手指中節骨骨折
両側浸出性中耳炎	滲出性中耳炎	輪状軟骨欠損
覚醒度	麻酔覚醒遅延	突発性発熱
高血糖	高血糖症	口唇虫刺傷
有意弁膜症	弁膜炎	下肢弛緩性麻痺
胸痛無	胸痛	ループスアンチコアグラント
右下肺野無気肺	無気肺	喉頭挫滅損傷
小脳性失調	小脳性運動失調症	特発性巨大結腸症
好酸球増多症	好酸球増加症	心血管梅毒
右腎明細胞肉腫	腎明細胞肉腫	下大静脈拡張
甲状腺左葉濾胞腺腫	濾胞性甲状腺腺腫	急性甲状腺炎
下位運動ニューロン徴候	運動ニューロン疾患	ショパール関節離断術後
主幹動脈狭窄	脳動脈狭窄症	転座トリソミー２１
創部皮下血腫	外傷性皮下血腫	新生児吸引症候群
掻痒感軽減	そう痒	股関節後方脱臼
両肺小結節影	肺野異常陰影	外傷性脳圧迫・頭蓋内に達する開放創合併なし
造影剤アレルギー歴	薬物過敏症	初期う蝕小窩裂溝填塞材破損
左眼鼻涙管閉塞症	鼻涙管閉鎖症	妊娠性肝斑
慢性的な抑うつ気分	うつ状態	先天性卵巣奇形
鼻部異物肉芽腫	皮膚異物肉芽腫	尺側手根屈筋腱不全断裂
遠隔ＬＮ転移	リンパ節転移	急性腎前性腎不全
子宮がん	子宮癌	家族性パーキンソン病Ｙａｈｒ１
Ｂｉｃｋｅｒｓｔａｆｆ型脳幹脳炎	ビッカースタッフ脳幹脳炎	新生児一過性頻呼吸
睾丸腫脹	精巣腫脹	尿管結石症
右中皮腫	中皮腫	良性移動性舌炎
ジベル薔薇色粃糠疹	ジベルばら色粃糠疹	金属の毒作用
脳実質外腫瘍	腫瘍	硬膜下水腫
抑鬱感	気うつ	全部性歯髄炎
扁桃腺腫大	扁桃肥大	ＴＥＬ−ＡＭＬ１陽性Ｂリンパ芽球性リンパ腫
口内出血	口腔出血	陰茎腫瘤
右上方視野欠損	視野欠損	烏口肩峰靱帯捻挫
両側臼蓋形成不全症	臼蓋形成不全	筋ジストロフィー
進行肝癌	肝癌	胎児敗血症
噴門部狭窄	胃狭窄	転移性蝶形骨洞癌
突発性腎出血	腎出血	発作性上室頻拍
前股関節症	股関節症	新生児るいそう
多発肝嚢胞	多発性肝のう胞	発音障害
過換気状態	過換気症	左室右房交通症
傍大動脈ＬＮ	大動脈周囲リンパ節転移	機能的幽門狭窄
左椎骨動脈低形成	骨髄低形成	本態性自律神経症
左房拡張	心拡大	第５趾ボーエン病
サルモネラ菌感染症	サルモネラ感染症	口蓋挫傷
両側性多発性嚢胞腎	多発性のう胞腎	全身型若年性特発性関節炎・股関節
化学物質アレルギー	アレルギー	急性出血性膀胱炎
右手指腫脹	手指腫脹	眼瞼挫傷
右足背発赤	発赤	手背皮膚癌
脊柱管高度狭窄	脊柱管狭窄症	クロード症候群
右急性網膜壊死	急性網膜壊死	閉塞性肝硬変
皮膚硬化がまだかなり	新生児皮膚硬化症	陰唇挫傷
口腔内乾燥軽度	口腔乾燥症	溶連菌敗血症
下肢筋痛	下肢筋肉痛	慢性大腸炎
蠕動不良	異常腸音	耳小骨融合
四肢腱反射亢進	反射亢進	運動失調性脳性麻痺
黒色丘疹	丘疹	広汎型若年性歯周炎
胸部陰影	胸部異常陰影	腰椎炎
クモ膜下嚢胞	くも膜のう胞	マリー失調症
２次性糖尿病	二次性糖尿病	片側感覚異常
Ｈａｅｍｏｐｈｉｌｕｓ　ｉｎｆｌｕｅｎｚａｅ敗血症	敗血症	赤外線白内障
慢性期疼痛	慢性疼痛	月経中間期出血
右上葉原発肺小細胞癌	小細胞肺癌	化学性食道炎
出血源不詳	出血	産褥血栓症
一般細菌感染	細菌感染症	脳幹性前兆を伴う片頭痛
急性小脳失調症	急性小脳性失調症	特発性巨大結腸症
浸潤癌化所見	癌	嗄声
痔核脱出	痔核	先天性無トランスフェリン血症
重症膵炎	膵炎	腎破裂
痛みアリ	疼痛	過酸症
左心室内血栓症	心室内血栓症	気管気管支ジスキネジア
右足疼痛	疼痛	下腿筋腱移行部損傷
増殖前網膜症	網膜症	インフルエンザＢ型
傍神経節腫瘍	傍神経節腫	中指不全切断
小腸膀胱瘻	膀胱皮膚瘻	下腿部第１度熱傷
左小細胞肺癌	小細胞肺癌	感応性妄想性障害
少量左胸水	胸水貯留	エルシニア腸炎
多発ＨＣＣ再発	肝細胞癌	披裂軟骨脱臼
結核性嚢腫	結核	軟口蓋多形腺腫
右大腿骨外顆骨折	大腿骨外顆骨折	散在性表層角膜炎
巨大膵仮性嚢胞	仮性膵のう胞	分娩前出血
大腿腫脹	下腿腫脹	透析シャント静脈高血圧症
全身性ＣＭＶ感染症	サイトメガロウイルス感染症	進行性血管性白質脳症
多発肝内転移	転移性肝腫瘍	ヘモジデリン沈着症
右外耳道炎	外耳炎	歯根近接
両下肢圧痕性浮腫	クインケ浮腫	恥骨部打撲
下部腸間膜動脈出血	動脈性出血	気管支喘息
ＩｇＭ型Ｍ蛋白	単クローン性免疫グロブリン血症	全失語症
喘息発作様症状	気管支喘息発作	正中神経上腕部損傷
分食道癌	食道癌	皮膚萎縮症
多少便秘気味	便秘症	胸水結核菌陽性
ポリープ状病変	ポリープ	下咽頭異物
既往高血圧	高血圧症	母指ＭＰ関節橈側側副靱帯損傷
右リウマチ性膝関節症	関節リウマチ・膝関節	高血圧性眼底
急性骨髄性白血病（ＡＭＬ）	急性骨髄性白血病	先天性肝のう胞
腹水大量	腹水症	胎児発育過度
全身皮膚発赤	発赤	黄斑障害
多発肺嚢胞	肺のう胞	手掌刺創
右小脳橋角部腫瘍	小脳橋角部腫瘍	両側下肢多発骨折
右眼網膜静脈分枝閉塞症	網膜静脈分枝閉塞症	外耳道奇形
右脛骨腓骨開放骨折	脛骨腓骨開放骨折	感染性膵壊死
左側卵巣腫瘍	卵巣腫瘍	足関節第３度熱傷
口腔内びらん	口唇びらん	若年性パーキンソン病Ｙａｈｒ５
紅斑熱群リケッチア症	リケッチア感染症	孔脳症
ＩＴＰ	特発性血小板減少性紫斑病	足どり不安定
気管支喘息小発作	気管支喘息発作	大腿骨骨折後骨癒合不全
解離性動脈瘤破裂	解離性動脈瘤	閉鎖性耳硬化症
左眼窩内腫瘍	眼窩腫瘍	一過性虚血性難聴
肺外小細胞癌	小細胞肺癌	食道異物
高度大動脈弁狭窄症	大動脈弁狭窄症	橈骨動脈断裂
ｂｒｅａｋｔｈｒｏｕｇｈ　ｈｅｐａｔｉｔｉｓ	肝炎	上顎石灰化上皮性歯原性腫瘍
左室圧排	右室肥大	頬部切創
両側声帯外転障害	声帯外転筋麻痺	浮腫性声帯炎
一部水疱形成	水疱症	関節奇形
糖尿病潰瘍	糖尿病性潰瘍	心膜中皮腫
飲みこみにくさ	嚥下障害	亜鉛欠乏性味覚障害
左腎低形成	低形成腎	下腿開放創
左母趾疼痛	母趾痛	迷路機能低下症
副腎ヒストプラズマ感染症	真菌症	足挫創
右眼糖尿病網膜症	糖尿病網膜症	冠状動脈血栓塞栓症
下肢浮腫左	下肢浮腫	関節血症
両松葉杖歩行	歩行障害	胸部皮膚良性腫瘍
冠動脈狭窄３枝病変	狭心症３枝病変	下腿損傷
遺伝性低尿酸血症	低尿酸血症	腸管組織侵襲性大腸菌感染症
低アルドステロン血症	低アルドステロン症	遺伝性ニューロパチー
小腸皮膚瘻	皮膚瘻	大腿切断
重度僧帽弁狭窄症	僧帽弁狭窄症	ノルウェー疥癬
非細菌性血栓性疣贅	疣贅	習慣および衝動の障害
特発性腸間膜血腫	血腫	心臓血管神経症
