出現形	正解	予測
左中耳炎	中耳炎	中耳炎
胃食道逆流症状	胃食道逆流症	胃食道逆流症
両側卵巣子宮内膜症性嚢胞	卵巣子宮内膜症のう胞	卵巣子宮内膜症のう胞
新出肝転移	転移性肝癌	腎癌骨転移
脊椎カリエス	脊椎結核	肋骨カリエス
行動障害	素行障害	発動性障害
妊娠性糖尿病	妊娠糖尿病	妊娠糖尿病
小豆大紅斑	紅斑症	麻疹様紅斑
ＦＳＧＳ	巣状糸球体硬化症	ＨＤＬＳ
左寛骨臼骨折	寛骨臼骨折	寛骨臼骨折
原発性両眼内悪性リンパ腫	眼窩悪性リンパ腫	原発性滲出性リンパ腫
腹腔鏡補助下子宮筋腫核	子宮筋腫	有茎性漿膜下子宮筋腫
両下肢静脈血栓	下肢静脈血栓症	下肢静脈血栓症
神経根障害	神経根炎	頚髄神経根障害
クモ膜下出血	くも膜下出血	くも膜下出血
後鼻汁症候群	後鼻漏	濃縮胆汁症候群
糖尿病性腎症１期	腎性糖尿	糖尿病性腎症
左臀部慢性膿皮症	慢性膿皮症	潰瘍性慢性膿皮症
メサンギウム増殖性腎炎	メサンギウム増殖性糸球体腎炎	メサンギウム増殖性糸球体腎炎
左前頭葉心原性脳梗塞	心原性脳塞栓症	心原性小脳梗塞
閉塞性尿路感染	尿路感染症	急性尿路感染
顔面蝶形紅斑	ＬＥ蝶形皮疹	顔面表皮母斑
上行結腸癌肝転移	転移性肝癌	上行結腸癌
仙骨部色素沈着	色素異常症	外傷性色素沈着
肥満糖尿病	糖尿病	２型糖尿病
左肩痛み	肩部筋痛	腰筋痛症
ＰＳＶＴ発作	発作性上室頻拍	四肢痙攣発作
顎変形症術後顎変形症	顎変形症	鼓室形成術後後遺症
ＤＭＮ　２期	糖尿病	ＭＮＧＩＥ
労作時胸部絞扼感	胸内苦悶	労作時呼吸困難
右膝変形	変形性膝関節症	内反変形
指趾潰瘍	趾皮膚潰瘍	外陰潰瘍
２型食道癌	食道癌	下部食道癌
骨性腫瘤	腫瘤	骨腫瘤
外傷性脊髄損傷	脊髄損傷	多発性脊髄損傷
下肢結節性紅斑	結節性紅斑	結節性紅斑
左動眼神経麻痺	動眼神経麻痺	動眼神経麻痺
家族性海綿状血管腫	海綿状血管腫	多発性海綿状血管腫
術中直腸損傷	直腸損傷	直腸損傷
下肢動脈瘤	下肢の動脈瘤	下肢の動脈瘤
精神病様症状	精神病	精神神経症
項頸部痛	頚部痛	項部痛
頸部白斑	白斑	黄斑部白斑
左大腿骨転子部粉砕骨折	転子下骨折	大腿骨骨幹部粉砕骨折
最近眠気	非器質性過眠症	湿性脚気
ＶＨＤ	心臓弁膜症	輸血後ＧＶＨＤ
夜頻尿	夜間頻尿症	夜間頻尿症
回盲部炎	回盲部憩室炎	回盲部癌
重症肺血栓塞栓症	肺塞栓症	慢性肺血栓塞栓症
左歯痛	歯痛	歯痛
腹膜播種切除	腹膜播種	腹膜播種
右乳突蜂巣	乳様突起炎	大腿部蜂巣炎
右肺尖部気胸	気胸	外傷性血気胸
骨盤内子宮内膜症	子宮内膜症	骨盤子宮内膜症
左頬部痛	頬部痛	頬部痛
局麻薬アレルギー	薬物過敏症	ダニアレルギー
肺クリプトコックス症	急性肺クリプトコッカス症	骨クリプトコッカス症
右肩関節亜脱臼半横指	肩関節亜脱臼	肩関節亜脱臼
慢性蕁麻疹	慢性じんま疹	慢性湿疹
マラセチア毛嚢炎	マラセチア毛包炎	マラセチア毛包炎
高分化型漿液性腺癌	癌	卵巣漿液性腺癌
腫瘍床	腫瘍	腫瘍
左膀胱尿管逆流症	膀胱尿管逆流	膀胱尿管逆流
外側疼痛	疼痛	急性疼痛
卵巣癌再発卵巣癌	卵巣癌	再発卵巣癌
錐体路病変	錐体外路系疾患	錐体路障害
リンパ球性白血病	リンパ性白血病	前リンパ球性白血病
クラミジア感染	クラミジア感染症	クラミジア感染症
奬液性嚢胞腺腫	膵漿液性のう胞腺腫	膵漿液性のう胞腺腫
夜間倦怠感	倦怠感	下肢倦怠感
脳血栓塞栓症	脳血管閉塞性脳梗塞	肺血栓塞栓症
左リウマチ性肘関節症	関節リウマチ・膝関節	関節リウマチ・肘関節
右下腿潰瘍感染	下腿皮膚潰瘍	妊娠中風疹感染
気分不快時	悪心	腹部不快感
問題なし前立腺肥大	前立腺肥大症	前立腺肥大症
急性パルボウイルスＢ１９感染症	パルボウイルス感染症	パルボウイルス感染症
脂肪性腫瘤	脂肪腫	化膿性腫瘤
ウィルス性肺炎	肺炎	ウイルス性肺炎
類円形紅斑	紅斑症	多形紅斑
書字不能	書痙	書字障害
肺動脈狭窄	肺動脈狭窄症	肺動脈狭窄症
夜間不眠状態	不眠症	不穏状態
熱型	発熱	熱傷
骨盤内充実性腫瘍	骨盤腫瘍	骨盤骨悪性腫瘍
夢遊病	夢遊症	夢遊症
脊髄小脳変性症６型	脊髄小脳変性症	脊髄小脳失調症６型
左内頚動脈閉塞	内頚動脈閉塞症	内頚動脈閉塞症
両側角乾燥性結膜炎	結膜炎	慢性カタル性結膜炎
脳虚血症状	脳虚血症	脳虚血症
微熱持続	微熱	癌性持続痛
夕方浮腫	浮腫	眼瞼浮腫
眼性疲労	眼精疲労	眼精疲労
直腸肛門奇形	鎖肛	仙腸関節奇形
右大腿部腫瘍	大腿悪性軟部腫瘍	大腿軟部腫瘍
頚椎症神経根症	頚椎症性神経根症	頚椎症性神経根症
壊死性遊走性紅斑	遊走性紅斑	慢性遊走性紅斑
睡眠障害招くリスク	睡眠障害	睡眠障害
上大静脈血栓	静脈血栓症	上肢静脈血栓症
骨盤内ＬＮ転移	骨盤内リンパ節転移	骨盤内リンパ節転移
ＰＫＤ	多発性のう胞腎	ＡＩＤＳ
分水嶺脳梗塞	脳梗塞	分水界梗塞
上皮性腫瘍	腫瘤	上肢悪性腫瘍
大球性正色素貧血	大球性貧血	正球性正色素性貧血
挙上空腸穿孔	腸穿孔	挙上空腸狭窄
腸管アメーバ感染症	腸アメーバ症	腸管アメーバ肉芽腫
放射線性皮膚炎	放射線皮膚炎	放射線皮膚炎
肛門周囲びらん	外痔びらん	肛門部びらん
髄膜炎徴候	髄膜炎	髄膜炎
胸部不快	胸内苦悶	胸部不快感
下葉肺炎	肺炎	下葉肺癌
右足根部粉砕骨折	粉砕骨折	上腕骨顆粉砕骨折
蛋白漏出胃腸症	蛋白漏出性胃腸症	蛋白漏出性胃腸症
左大脳陳旧性ラクナ梗塞	陳旧性ラクナ梗塞	陳旧性ラクナ梗塞
出血多量	急性大量出血	出血傾向
腹水多量	腹水症	腹水症
腸間膜リンパ管腫	リンパ管腫	腸間膜リンパ節腫脹
右卵巣悪性腫瘍	卵巣悪性腫瘍	卵巣悪性腫瘍
糖尿病（２型）	２型糖尿病	糖原病１２型
化膿性胸鎖関節炎	化膿性関節炎・胸鎖関節	化膿性顎関節炎
右乳腺線維腫症	線維腫	乳腺線維腫
肺野鬱血像	肺野異常陰影	肺野兎病
児嘔気	嘔気	嘔気
尿閉歴	尿閉	尿閉
陰嚢びらん	陰のうびらん	陰茎びらん
精神的ショック	ショック	疼痛性ショック
右上腕骨外側上顆炎	外側上顆炎	上腕骨外上顆骨折
子宮頚上皮内癌	子宮頚部上皮内癌	子宮頚部上皮内癌
難治性非定型性抗酸菌症	非結核性抗酸菌症	ＨＩＶ非結核性抗酸菌症
軽度腹水	腹水症	異常腹水
湿疹様	湿疹	湿疹
大後頭孔狭窄	軟骨形成不全症	後鼻孔狭窄
熱型変化	発熱	性格変化
右無機能腎	無機能腎	無機能腎
月経痛コントロール不十分	月経痛	アクチバトール不適合
左鎖骨下動脈閉塞	鎖骨下動脈閉塞症	鎖骨下動脈閉塞症
右ＤＶＴ	深部静脈血栓症	右心不全
非特異的胸痛	胸痛	非特異骨髄炎
Ａｅｒｏｍｏｎａｓ　ｈｙｄｒｏｐｈｉｌａ敗血症	敗血症	新生児コアグラーゼ陰性ぶどう球菌敗血症
重症細菌性敗血症	敗血症	髄膜炎菌性敗血症
逆行性健忘	逆向性健忘	逆向性健忘
腹直筋膜下血腫	筋肉内血腫	慢性硬膜下血腫
関連腎臓病	腎疾患	慢性腎臓病
認知症様症状	認知症	認知症
顎骨骨折	下顎骨骨折	上顎骨骨折
高度大動脈弁狭窄	大動脈弁狭窄症	大動脈弁狭窄症
右顔面骨骨折	顔面骨骨折	顔面骨骨折
炎症性粉瘤	粉瘤	炎症性斜頚
左腰部疼痛	腰痛症	陰茎部疼痛
ＨＣＶ重複感染症	Ｃ型肝炎ウイルス感染	ＨＩＶ−２感染症
脂質異常症（＋）	脂質異常症	脂質異常症
上腹部圧痛	腹部圧痛	上腹部痛
両側椎骨動脈瘤	椎骨動脈瘤	椎骨動脈瘤
非ケトン性高血糖	高血糖高浸透圧症候群	ケトン性低血糖症
Ｙｅｒｓｉｎｉａ腸炎	エルシニア腸炎	ロタウイルス性胃腸炎
声帯浮腫	声帯炎	声門浮腫
誤嚥性肺炎併発	誤嚥性肺炎	誤嚥性肺炎
咳嗽持続	咳	癌性持続痛
左側下顎骨嚢胞	顎骨のう胞	上下顎骨骨折
右末梢前庭障害	末梢前庭障害	末梢前庭障害
胆管閉鎖症	胆管閉塞症	気管閉鎖症
閉塞性動脈硬化症　症状	閉塞性動脈硬化症	閉塞性動脈硬化症
洞不全	洞不全症候群	肝不全
特発性リンパ浮腫	リンパ浮腫	遅発性内リンパ水腫
シャント吻合部狭窄	透析シャント狭窄	吻合部狭窄
無気力	無力症	無気肺
胸骨炎	胸骨周囲炎	胸膜炎
ナッツアレルギー	ピーナッツアレルギー	ピーナッツアレルギー
甲状腺乳頭癌術後再発	甲状腺乳頭癌	甲状腺乳頭癌
上肢疼痛	疼痛	上肢痛
Ｔｕｒｎｅｒ症候群	ターナー症候群	ＴｒｉｐｌｅＡ症候群
肝臓機能障害用	肝機能障害	肝機能障害
左心不全徴候	心不全	左心不全
ＩＰＭＮ癌化	膵管内乳頭粘液性腺癌	ＩＰ関節捻挫
後発頚部転移	頚部転移性腫瘍	多発性癌転移
下痢治	下痢症	下痢症
朝方疼痛	疼痛	術後疼痛
蜂窩肺形成	蜂窩織炎	骨髄低形成
右ＩＣＡ高度狭窄	内頚動脈狭窄症	右室流出路狭窄
膵体部嚢胞	膵のう胞	膵体部癌
右気管支狭窄	気管支狭窄症	気管支狭窄症
非ヘルペス性辺縁系脳炎	辺縁系脳炎	自己免疫性辺縁系脳炎
無症候性ＶＴ	心室頻拍	無症候性血尿
好酸球増多	好酸球増加症	好酸球増加症
口腔清掃	個人衛生の著しいレベル低下	口腔底癌
両下腿皮膚潰瘍	下腿皮膚潰瘍	下腿皮膚潰瘍
無石性胆嚢炎	胆のう炎	胆石性胆のう炎
ｓ型ポリープ	ポリープ	鼻腔ポリープ
時折頭痛	頭痛	眼性頭痛
関節リウマチ発症	関節リウマチ	関節リウマチ
残像腫瘍	腫瘍	耳介腫瘍
両顎下腺腫大	顎下腺肥大	顎下腺腫瘍
夜間中途覚醒時	睡眠障害	夜間異常知覚症
今朝頭痛	頭痛	群発頭痛
眼球偏移	眼球偏位	眼球偏位
腹腔内癒着高度	腹膜癒着	腹腔内遺残膿瘍
右母指多指症	多指症	母指三指節症
薬剤性骨髄抑制	骨髄機能低下	薬剤性骨軟化症
肥満	肥満症	肥満症
網膜中心動脈閉塞	網膜中心動脈閉塞症	網膜中心動脈閉塞症
中枢神経悪性リンパ腫再発	悪性リンパ腫	十二指腸悪性リンパ腫
旅行者下痢症	下痢症	細菌性下痢症
右声帯ポリープ	声帯ポリープ	声帯ポリープ
非Ｂ非Ｃ型肝硬変	肝硬変症	Ｂ型肝硬変
頭部皮下結節	皮下結節	頭部皮下異物
足がむくみ	下肢浮腫	足部打撲傷
下肢潰瘍	下肢皮膚潰瘍	下肢皮膚潰瘍
難治性胸腹水	難治性腹水	難治性腹水
幻覚症状	幻覚	幻覚妄想状態
異常腫瘤	腫瘤	陰茎腫瘤
未破裂脳動脈瘤コイル塞栓	未破裂脳動脈瘤	未破裂脳動脈瘤
左下顎骨慢性骨髄炎	慢性顎骨骨髄炎	下腿骨慢性骨髄炎
左側頭葉膠芽腫	側頭葉膠芽腫	側頭葉膠芽腫
脳血管障害性パーキンソニズム	脳血管障害性パーキンソン症候群	脳血管障害性パーキンソン症候群
右後角脳室内出血	脳室内出血	外傷性脳室内出血
難治性浮腫	高度浮腫	一過性浮腫
Ｇｒａｎｕｌｏｍａｔｏｓｉｓ　ｗｉｔｈ　ｐｏｌｙａｎｇｉｉｔｉｓ	多発血管炎性肉芽腫症	ＨＨＶ８多中心性キャッスルマン病随伴大細胞型Ｂ細胞性リンパ腫
再発脊索腫	脊索腫	胸椎脊索腫
Ｃ型肝硬変症	Ｃ型肝硬変	Ｃ型肝硬変
左踵部悪性黒色腫	踵部悪性黒色腫	踵部悪性黒色腫
未分化癌	癌	肺未分化癌
両側副腎悪性リンパ腫	悪性リンパ腫	十二指腸悪性リンパ腫
帯状疱疹無	帯状疱疹	帯状疱疹
左膝痛み	膝関節痛	左旋転位
右下腿痛	下腿痛	下腿痛
気管支喘息症状	気管支喘息	気管支喘息発作
大腿骨内顆骨壊死	特発性大腿骨内顆骨壊死	大腿骨内顆骨折
炎症性貧血	貧血	先天性貧血
両下肢掻痒感	皮膚そう痒症	下肢倦怠感
右後頭葉脳挫傷	脳挫傷	後頭部挫傷
女性化乳房	女性化乳房症	女性化乳房症
ｍａｓｓ　ｌｅｓｉｏｎ	腫瘤	ＴｒｉｐｌｅＡ症候群
右大脳半球多発脳梗塞	多発性脳梗塞	無症候性多発性脳梗塞
大動脈弁膜症	大動脈弁弁膜症	大動脈弁弁膜症
鎮静困難	興奮状態	生歯困難
再発腫瘤近傍	腫瘤	再発性脳梗塞
右下腿麻痺	下肢麻痺	下肢麻痺
切除不能多発性肝転移	転移性肝腫瘍	多発性癌転移
腹腔内膿瘍形成	膿瘍	腹腔内膿瘍
発作性上室性頻拍	発作性上室頻拍	発作性上室頻拍
筋肉痛生	筋肉痛	筋肉痛
腰椎滑り症	腰椎すべり症	腰椎すべり症
淡血性胸水	血性胸水	血性胸水
腎被膜下出血	外傷性腎被膜下血腫	くも膜下出血
仙骨部褥瘡痕	仙骨部褥瘡	仙骨部褥瘡
左肝腫瘍	肝腫瘍	肝腫瘍
非Ｃｌｏｓｔｒｉｄｉｕｍ性ガス壊疽	ガス壊疽	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
リンパ腺腫脹	リンパ節腫大	肘リンパ節腫脹
心室二段脈	心室性二段脈	心室性二段脈
鼻腔腫瘍摘出	鼻腔腫瘍	鼻腔腫瘍
疼痛時頓用	疼痛	疼痛性側弯症
多房性膿瘍	膿瘍	多発性肝膿瘍
右耳介後部痛	耳痛症	耳介後部腫瘤
左胸壁腫瘍切除	胸壁腫瘍	胸壁腫瘍
無呼吸症候群	無呼吸発作	無脾症候群
右尿管癌	尿管癌	尿管癌
出血過多	出血	帯下過多
甲状腺嚢腫	甲状腺のう胞	甲状腺腺腫
両側浸出性中耳炎	滲出性中耳炎	急性滲出性中耳炎
覚醒度	麻酔覚醒遅延	覚醒剤中毒
高血糖	高血糖症	高血糖症
有意弁膜症	弁膜炎	心臓弁膜症
胸痛無	胸痛	胸痛
右下肺野無気肺	無気肺	下葉無気肺
小脳性失調	小脳性運動失調症	小脳性歩行失調
好酸球増多症	好酸球増加症	好酸球増加症
右腎明細胞肉腫	腎明細胞肉腫	腎明細胞肉腫
甲状腺左葉濾胞腺腫	濾胞性甲状腺腺腫	甲状腺濾胞癌
下位運動ニューロン徴候	運動ニューロン疾患	運動ニューロン疾患
主幹動脈狭窄	脳動脈狭窄症	腕頭動脈狭窄
創部皮下血腫	外傷性皮下血腫	頭部皮下血腫
掻痒感軽減	そう痒	術後感染症
両肺小結節影	肺野異常陰影	乳房小結節
造影剤アレルギー歴	薬物過敏症	ダニアレルギー
左眼鼻涙管閉塞症	鼻涙管閉鎖症	先天性涙管閉塞症
慢性的な抑うつ気分	うつ状態	混合性不安抑うつ障害
鼻部異物肉芽腫	皮膚異物肉芽腫	皮膚異物肉芽腫
遠隔ＬＮ転移	リンパ節転移	横隔膜転移
子宮がん	子宮癌	子宮萎縮
Ｂｉｃｋｅｒｓｔａｆｆ型脳幹脳炎	ビッカースタッフ脳幹脳炎	ビッカースタッフ脳幹脳炎
睾丸腫脹	精巣腫脹	殿部腫脹
右中皮腫	中皮腫	中皮腫
ジベル薔薇色粃糠疹	ジベルばら色粃糠疹	ジベルばら色粃糠疹
脳実質外腫瘍	腫瘍	脳室悪性腫瘍
抑鬱感	気うつ	蟻走感
扁桃腺腫大	扁桃肥大	扁桃肥大
口内出血	口腔出血	口腔出血
右上方視野欠損	視野欠損	視野欠損
両側臼蓋形成不全症	臼蓋形成不全	臼蓋形成不全
進行肝癌	肝癌	進行乳癌
噴門部狭窄	胃狭窄	噴門狭窄
突発性腎出血	腎出血	特発性腎出血
前股関節症	股関節症	股関節症
多発肝嚢胞	多発性肝のう胞	多発性肝のう胞
過換気状態	過換気症	過換気症
傍大動脈ＬＮ	大動脈周囲リンパ節転移	上大動脈損傷
左椎骨動脈低形成	骨髄低形成	椎骨動脈塞栓症
左房拡張	心拡大	腎盂拡張
サルモネラ菌感染症	サルモネラ感染症	サルモネラ感染症
両側性多発性嚢胞腎	多発性のう胞腎	両側性続発性膝関節症
化学物質アレルギー	アレルギー	食物アレルギー
右手指腫脹	手指腫脹	手指腫脹
右足背発赤	発赤	足背膿瘍
脊柱管高度狭窄	脊柱管狭窄症	脊柱管狭窄症
右急性網膜壊死	急性網膜壊死	急性網膜壊死
皮膚硬化がまだかなり	新生児皮膚硬化症	皮膚ブラストミセス症
口腔内乾燥軽度	口腔乾燥症	口腔乾燥症
下肢筋痛	下肢筋肉痛	下肢筋肉痛
蠕動不良	異常腸音	蠕動亢進
四肢腱反射亢進	反射亢進	反射亢進
黒色丘疹	丘疹	紅色丘疹
胸部陰影	胸部異常陰影	胸部異常陰影
クモ膜下嚢胞	くも膜のう胞	頬粘膜のう胞
２次性糖尿病	二次性糖尿病	二次性糖尿病
Ｈａｅｍｏｐｈｉｌｕｓ　ｉｎｆｌｕｅｎｚａｅ敗血症	敗血症	大動脈弁閉鎖不全症兼僧帽弁狭窄症兼三尖弁閉鎖不全症
慢性期疼痛	慢性疼痛	慢性疼痛
右上葉原発肺小細胞癌	小細胞肺癌	上葉肺大細胞癌
出血源不詳	出血	出血性鼻茸
一般細菌感染	細菌感染症	肛門淋菌感染
急性小脳失調症	急性小脳性失調症	急性小脳性失調症
浸潤癌化所見	癌	浸潤性乳管癌
痔核脱出	痔核	臍帯脱出
重症膵炎	膵炎	重症急性膵炎
痛みアリ	疼痛	痛風発作
左心室内血栓症	心室内血栓症	心室内血栓症
右足疼痛	疼痛	術後疼痛
増殖前網膜症	網膜症	増殖性網膜症
傍神経節腫瘍	傍神経節腫	傍神経節腫
小腸膀胱瘻	膀胱皮膚瘻	直腸膀胱瘻
左小細胞肺癌	小細胞肺癌	非小細胞肺癌
少量左胸水	胸水貯留	漏出性胸水
多発ＨＣＣ再発	肝細胞癌	多発性表在損傷
結核性嚢腫	結核	結核性空洞
右大腿骨外顆骨折	大腿骨外顆骨折	大腿骨外顆骨折
巨大膵仮性嚢胞	仮性膵のう胞	巨大気腫性肺のう胞
大腿腫脹	下腿腫脹	大腿部腫脹
全身性ＣＭＶ感染症	サイトメガロウイルス感染症	新生児ＨＩＶ感染症
多発肝内転移	転移性肝腫瘍	多発性癌転移
右外耳道炎	外耳炎	外耳道痛
両下肢圧痕性浮腫	クインケ浮腫	上下肢リンパ浮腫
下部腸間膜動脈出血	動脈性出血	下腸間膜動脈瘤
ＩｇＭ型Ｍ蛋白	単クローン性免疫グロブリン血症	ＩｇＭ欠損症
喘息発作様症状	気管支喘息発作	部分発作重延状態
分食道癌	食道癌	食道癌
多少便秘気味	便秘症	重症便秘症
ポリープ状病変	ポリープ	ポリープ様声帯
既往高血圧	高血圧症	白衣高血圧
右リウマチ性膝関節症	関節リウマチ・膝関節	関節リウマチ・膝関節
急性骨髄性白血病（ＡＭＬ）	急性骨髄性白血病	急性骨髄性白血病
腹水大量	腹水症	腹水症
全身皮膚発赤	発赤	全身痙攣発作
多発肺嚢胞	肺のう胞	多発性拘縮
右小脳橋角部腫瘍	小脳橋角部腫瘍	小脳橋角部腫瘍
右眼網膜静脈分枝閉塞症	網膜静脈分枝閉塞症	網膜静脈分枝閉塞症
右脛骨腓骨開放骨折	脛骨腓骨開放骨折	脛骨腓骨開放骨折
左側卵巣腫瘍	卵巣腫瘍	卵巣腫瘍
口腔内びらん	口唇びらん	鼻腔内びらん
紅斑熱群リケッチア症	リケッチア感染症	腺熱リケッチア症
ＩＴＰ	特発性血小板減少性紫斑病	Ｉ細胞病
気管支喘息小発作	気管支喘息発作	気管支喘息発作
解離性動脈瘤破裂	解離性動脈瘤	解離性動脈瘤
左眼窩内腫瘍	眼窩腫瘍	眼窩偽腫瘍
肺外小細胞癌	小細胞肺癌	肺門部小細胞癌
高度大動脈弁狭窄症	大動脈弁狭窄症	大動脈弁狭窄症
ｂｒｅａｋｔｈｒｏｕｇｈ　ｈｅｐａｔｉｔｉｓ	肝炎	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
左室圧排	右室肥大	左室不全
両側声帯外転障害	声帯外転筋麻痺	外側膝窩神経障害
一部水疱形成	水疱症	中隔部肉芽形成
糖尿病潰瘍	糖尿病性潰瘍	糖尿病足潰瘍
飲みこみにくさ	嚥下障害	閉じこめ症候群
左腎低形成	低形成腎	骨髄低形成
左母趾疼痛	母趾痛	母趾痛
副腎ヒストプラズマ感染症	真菌症	マイコプラズマ感染症
右眼糖尿病網膜症	糖尿病網膜症	糖尿病網膜症
下肢浮腫左	下肢浮腫	下肢浮腫
両松葉杖歩行	歩行障害	よろめき歩行
冠動脈狭窄３枝病変	狭心症３枝病変	狭心症３枝病変
遺伝性低尿酸血症	低尿酸血症	腎性低尿酸血症
低アルドステロン血症	低アルドステロン症	低アルドステロン症
小腸皮膚瘻	皮膚瘻	直腸皮膚瘻
重度僧帽弁狭窄症	僧帽弁狭窄症	僧帽弁狭窄症
非細菌性血栓性疣贅	疣贅	大腸菌性先天性肺炎
特発性腸間膜血腫	血腫	多発性腸間膜膿瘍
脳原発性悪性リンパ腫	脳悪性リンパ腫	原発性滲出性リンパ腫
抜管後両側反回神経麻痺	両側性反回神経麻痺	両側性反回神経麻痺
肝骨転移	骨転移癌	肝癌骨転移
乳腺線維腫症	線維腫	乳腺線維腫
術後左反回神経麻痺	反回神経麻痺	術後性反回神経麻痺
無症候性髄膜腫	髄膜腫	無症候性骨髄腫
左肺下葉肺癌	下葉肺癌	下葉肺癌
アルコール離脱症候群	アルコール離脱状態	アルコール性脳症候群
左腸骨骨肉腫	腸骨軟骨肉腫	頭蓋骨骨肉腫
脳梁低形成	脳梁形成不全	乳頭低形成
表皮内水疱形成	先天性表皮水疱症	副甲状腺過形成
後頚部圧痛	圧痛	後頚部腫瘤
不定愁訴様	不定愁訴症	不定愁訴症
良性胆道狭窄	胆管狭窄症	腐食性食道狭窄
