出現形	正解	予測
一部浮腫	浮腫	四肢浮腫
ふらつき注意	よろめき歩行	腹部不快感
左中耳炎	中耳炎	中耳炎
胃食道逆流症状	胃食道逆流症	胃食道逆流症
両側卵巣子宮内膜症性嚢胞	卵巣子宮内膜症のう胞	母斑様限局性体幹被角血管腫
新出肝転移	転移性肝癌	軟産道伸展不良
脊椎カリエス	脊椎結核	陳旧性腰椎カリエス
行動障害	素行障害	歩行障害
妊娠性糖尿病	妊娠糖尿病	妊娠糖尿病
小豆大紅斑	紅斑症	水疱性多形紅斑
ＦＳＧＳ	巣状糸球体硬化症	ＨＤＬＳ
左寛骨臼骨折	寛骨臼骨折	寛骨臼骨折
原発性両眼内悪性リンパ腫	眼窩悪性リンパ腫	原発性皮膚濾胞中心リンパ腫
腹腔鏡補助下子宮筋腫核	子宮筋腫	壁内子宮平滑筋腫
両下肢静脈血栓	下肢静脈血栓症	下肢血栓性静脈瘤
神経根障害	神経根炎	末梢神経障害
クモ膜下出血	くも膜下出血	くも膜下出血
後鼻汁症候群	後鼻漏	濃縮胆汁症候群
糖尿病性腎症１期	腎性糖尿	１型糖尿病性腎症
左臀部慢性膿皮症	慢性膿皮症	大腿皮膚線維腫
メサンギウム増殖性腎炎	メサンギウム増殖性糸球体腎炎	メサンギウム増殖性糸球体腎炎
左前頭葉心原性脳梗塞	心原性脳塞栓症	再発性側壁心筋梗塞
閉塞性尿路感染	尿路感染症	急性尿路感染
顔面蝶形紅斑	ＬＥ蝶形皮疹	顔面扁平母斑
上行結腸癌肝転移	転移性肝癌	下行結腸癌
仙骨部色素沈着	色素異常症	鼻部外傷性色素沈着
肥満糖尿病	糖尿病	膵性糖尿病
左肩痛み	肩部筋痛	腓腹部痛
ＰＳＶＴ発作	発作性上室頻拍	パニック発作
顎変形症術後顎変形症	顎変形症	包茎術後変形
ＤＭＮ　２期	糖尿病	ＧＭ２ガングリオシドーシス１型
労作時胸部絞扼感	胸内苦悶	閉経後骨粗鬆症・大腿部病的骨折あり
右膝変形	変形性膝関節症	股関節変形
指趾潰瘍	趾皮膚潰瘍	指骨腫瘍
２型食道癌	食道癌	早期食道癌
骨性腫瘤	腫瘤	胸骨良性腫瘍
外傷性脊髄損傷	脊髄損傷	多発性脊髄損傷
下肢結節性紅斑	結節性紅斑	結節性紅斑性関節障害
左動眼神経麻痺	動眼神経麻痺	動眼神経麻痺
家族性海綿状血管腫	海綿状血管腫	多発性海綿状血管腫
術中直腸損傷	直腸損傷	術後頚髄損傷
下肢動脈瘤	下肢の動脈瘤	上肢動脈瘤
精神病様症状	精神病	症状精神病
項頸部痛	頚部痛	項背部筋痛
頸部白斑	白斑	側頭部青色母斑
左大腿骨転子部粉砕骨折	転子下骨折	大腿骨転子部開放骨折
最近眠気	非器質性過眠症	脚気心
ＶＨＤ	心臓弁膜症	ＡＶＭ
夜頻尿	夜間頻尿症	夜間頻尿症
回盲部炎	回盲部憩室炎	回盲部憩室炎
重症肺血栓塞栓症	肺塞栓症	肺血栓塞栓症
左歯痛	歯痛	母趾痛
腹膜播種切除	腹膜播種	胸膜播種
右乳突蜂巣	乳様突起炎	鼡径部蜂巣炎
右肺尖部気胸	気胸	左肺動脈右肺動脈起始症
骨盤内子宮内膜症	子宮内膜症	骨盤子宮内膜症
左頬部痛	頬部痛	頬部痛
局麻薬アレルギー	薬物過敏症	抗アレルギー薬中毒
肺クリプトコックス症	急性肺クリプトコッカス症	脳クリプトコッカス症
右肩関節亜脱臼半横指	肩関節亜脱臼	肩関節前方亜脱臼
慢性蕁麻疹	慢性じんま疹	慢性腟炎
マラセチア毛嚢炎	マラセチア毛包炎	マラセチア毛包炎
高分化型漿液性腺癌	癌	卵巣漿液性腺癌
腫瘍床	腫瘍	腫瘍
左膀胱尿管逆流症	膀胱尿管逆流	膀胱尿管逆流
外側疼痛	疼痛	陰茎部疼痛
卵巣癌再発卵巣癌	卵巣癌	再発卵巣癌
錐体路病変	錐体外路系疾患	錐体路障害
リンパ球性白血病	リンパ性白血病	リンパ性白血病
クラミジア感染	クラミジア感染症	クラミジア感染症
奬液性嚢胞腺腫	膵漿液性のう胞腺腫	卵巣粘液性腺腫
夜間倦怠感	倦怠感	倦怠感
脳血栓塞栓症	脳血管閉塞性脳梗塞	血栓塞栓症
左リウマチ性肘関節症	関節リウマチ・膝関節	非リウマチ性三尖弁狭窄症
右下腿潰瘍感染	下腿皮膚潰瘍	下腿皮膚潰瘍
気分不快時	悪心	気分異常
問題なし前立腺肥大	前立腺肥大症	前立腺肥大症
急性パルボウイルスＢ１９感染症	パルボウイルス感染症	パルボウイルス感染症
脂肪性腫瘤	脂肪腫	脊髄脂肪腫
ウィルス性肺炎	肺炎	ウイルス性肺炎
類円形紅斑	紅斑症	環状紅斑
書字不能	書痙	嚥下不能
肺動脈狭窄	肺動脈狭窄症	肺動脈狭窄症
夜間不眠状態	不眠症	退行期妄想状態
熱型	発熱	発熱
骨盤内充実性腫瘍	骨盤腫瘍	骨盤骨良性腫瘍
夢遊病	夢遊症	夢遊症
脊髄小脳変性症６型	脊髄小脳変性症	脊髄小脳失調症６型
左内頚動脈閉塞	内頚動脈閉塞症	内頚動脈閉塞症
両側角乾燥性結膜炎	結膜炎	前房蓄膿性角膜炎
脳虚血症状	脳虚血症	脳虚血症
微熱持続	微熱	持続熱
夕方浮腫	浮腫	月経前浮腫
眼性疲労	眼精疲労	眼精疲労
直腸肛門奇形	鎖肛	仙腸関節奇形
右大腿部腫瘍	大腿悪性軟部腫瘍	大腿軟部腫瘍
頚椎症神経根症	頚椎症性神経根症	頚椎症性神経根症
壊死性遊走性紅斑	遊走性紅斑	慢性遊走性紅斑
睡眠障害招くリスク	睡眠障害	睡眠リズム障害
上大静脈血栓	静脈血栓症	上大静脈欠損
骨盤内ＬＮ転移	骨盤内リンパ節転移	骨盤転移
ＰＫＤ	多発性のう胞腎	ＰＣＷＨ
分水嶺脳梗塞	脳梗塞	出血性脳梗塞
上皮性腫瘍	腫瘤	頭皮良性腫瘍
大球性正色素貧血	大球性貧血	正球性正色素性貧血
挙上空腸穿孔	腸穿孔	挙上空腸狭窄
腸管アメーバ感染症	腸アメーバ症	腸管アメーバ肉芽腫
放射線性皮膚炎	放射線皮膚炎	放射線皮膚炎
肛門周囲びらん	外痔びらん	肛門部びらん
髄膜炎徴候	髄膜炎	麻疹髄膜炎
胸部不快	胸内苦悶	胸部不快感
下葉肺炎	肺炎	大葉性肺炎
右足根部粉砕骨折	粉砕骨折	上腕骨粉砕骨折
蛋白漏出胃腸症	蛋白漏出性胃腸症	蛋白漏出性胃腸症
左大脳陳旧性ラクナ梗塞	陳旧性ラクナ梗塞	陳旧性ラクナ梗塞
出血多量	急性大量出血	多量出血
腹水多量	腹水症	異常腹水
腸間膜リンパ管腫	リンパ管腫	腸間膜リンパ節腫脹
右卵巣悪性腫瘍	卵巣悪性腫瘍	卵巣悪性腫瘍
糖尿病（２型）	２型糖尿病	１型糖尿病
化膿性胸鎖関節炎	化膿性関節炎・胸鎖関節	化膿性顎関節炎
右乳腺線維腫症	線維腫	乳腺線維腫
肺野鬱血像	肺野異常陰影	肺腫瘤陰影
児嘔気	嘔気	嘔気
尿閉歴	尿閉	流産後乏尿
陰嚢びらん	陰のうびらん	陰茎びらん
精神的ショック	ショック	心原性ショック
右上腕骨外側上顆炎	外側上顆炎	上腕骨外上顆開放骨折
子宮頚上皮内癌	子宮頚部上皮内癌	子宮頚部上皮内癌
難治性非定型性抗酸菌症	非結核性抗酸菌症	非結核性抗酸菌症
軽度腹水	腹水症	板状無気肺
湿疹様	湿疹	湿疹
大後頭孔狭窄	軟骨形成不全症	後鼻孔狭窄
熱型変化	発熱	熱性虚脱
右無機能腎	無機能腎	無機能腎
月経痛コントロール不十分	月経痛	維持療法の必要な術後難治性逆流性食道炎
左鎖骨下動脈閉塞	鎖骨下動脈閉塞症	鎖骨下静脈狭窄
右ＤＶＴ	深部静脈血栓症	ＩＵＤ挿入
非特異的胸痛	胸痛	非特異的反応性肝炎
Ａｅｒｏｍｏｎａｓ　ｈｙｄｒｏｐｈｉｌａ敗血症	敗血症	アミロイドーシス関節炎
重症細菌性敗血症	敗血症	連鎖球菌性敗血症
逆行性健忘	逆向性健忘	逆向性健忘
腹直筋膜下血腫	筋肉内血腫	腹壁下血腫
関連腎臓病	腎疾患	ＩｇＧ４関連腎臓病
認知症様症状	認知症	皮質認知症
顎骨骨折	下顎骨骨折	下顎骨骨折
高度大動脈弁狭窄	大動脈弁狭窄症	大動脈弁上狭窄症
右顔面骨骨折	顔面骨骨折	顔面骨骨折
炎症性粉瘤	粉瘤	炎症性斜頚
左腰部疼痛	腰痛症	腓腹部痛
ＨＣＶ重複感染症	Ｃ型肝炎ウイルス感染	ＨＴＬＶ−１感染症
脂質異常症（＋）	脂質異常症	間質性膀胱炎（ハンナ型）
上腹部圧痛	腹部圧痛	腹部圧痛
両側椎骨動脈瘤	椎骨動脈瘤	橈骨動脈瘤
非ケトン性高血糖	高血糖高浸透圧症候群	非ケトン性高グリシン血症
Ｙｅｒｓｉｎｉａ腸炎	エルシニア腸炎	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
声帯浮腫	声帯炎	声門浮腫
誤嚥性肺炎併発	誤嚥性肺炎	誤嚥性肺炎
咳嗽持続	咳	持続熱
左側下顎骨嚢胞	顎骨のう胞	下顎骨骨肉腫
右末梢前庭障害	末梢前庭障害	末梢前庭障害
胆管閉鎖症	胆管閉塞症	胆管閉塞症
閉塞性動脈硬化症　症状	閉塞性動脈硬化症	閉塞性動脈硬化症
洞不全	洞不全症候群	左心不全
特発性リンパ浮腫	リンパ浮腫	頚部悪性リンパ腫
シャント吻合部狭窄	透析シャント狭窄	透析シャント狭窄
無気力	無力症	無気肺
胸骨炎	胸骨周囲炎	胸椎炎
ナッツアレルギー	ピーナッツアレルギー	ピーナッツアレルギー
甲状腺乳頭癌術後再発	甲状腺乳頭癌	直腸癌術後再発
上肢疼痛	疼痛	上肢痛
Ｔｕｒｎｅｒ症候群	ターナー症候群	ＶＡＴＥＲ症候群
肝臓機能障害用	肝機能障害	肝機能障害
左心不全徴候	心不全	左心不全
ＩＰＭＮ癌化	膵管内乳頭粘液性腺癌	ＭＲＳＡ肺化膿症
後発頚部転移	頚部転移性腫瘍	陳旧性顎関節脱臼
下痢治	下痢症	乳児下痢
朝方疼痛	疼痛	急性疼痛
蜂窩肺形成	蜂窩織炎	異型乳管過形成
右ＩＣＡ高度狭窄	内頚動脈狭窄症	右室漏斗部狭窄
膵体部嚢胞	膵のう胞	胃底部癌
右気管支狭窄	気管支狭窄症	気管支狭窄症
非ヘルペス性辺縁系脳炎	辺縁系脳炎	自己免疫性辺縁系脳炎
無症候性ＶＴ	心室頻拍	無症候性細菌尿
好酸球増多	好酸球増加症	好酸球増加症
口腔清掃	個人衛生の著しいレベル低下	口腔乾燥症
両下腿皮膚潰瘍	下腿皮膚潰瘍	下腿皮膚潰瘍
無石性胆嚢炎	胆のう炎	無症候性原発性胆汁性胆管炎
ｓ型ポリープ	ポリープ	腟ポリープ
時折頭痛	頭痛	片頭痛
関節リウマチ発症	関節リウマチ	関節リウマチ性心膜炎
残像腫瘍	腫瘍	坐骨腫瘍
両顎下腺腫大	顎下腺肥大	顎下腺腫瘤
夜間中途覚醒時	睡眠障害	中枢性睡眠時無呼吸
今朝頭痛	頭痛	先天梅毒
眼球偏移	眼球偏位	眼球偏位
腹腔内癒着高度	腹膜癒着	腹膜癒着
右母指多指症	多指症	母指三指節症
薬剤性骨髄抑制	骨髄機能低下	薬剤性骨軟化症
肥満	肥満症	肥満症
網膜中心動脈閉塞	網膜中心動脈閉塞症	網膜中心動脈閉塞症
中枢神経悪性リンパ腫再発	悪性リンパ腫	悪性リンパ腫骨髄浸潤
旅行者下痢症	下痢症	習慣性下痢
右声帯ポリープ	声帯ポリープ	声帯ポリープ
非Ｂ非Ｃ型肝硬変	肝硬変症	Ｂ型非代償性肝硬変
頭部皮下結節	皮下結節	皮下結節
足がむくみ	下肢浮腫	くしゃみ
下肢潰瘍	下肢皮膚潰瘍	下肢皮膚潰瘍
難治性胸腹水	難治性腹水	難治性腹水
幻覚症状	幻覚	器質性幻覚症
異常腫瘤	腫瘤	多発性皮下腫瘤
未破裂脳動脈瘤コイル塞栓	未破裂脳動脈瘤	未破裂先天性脳動静脈瘤
左下顎骨慢性骨髄炎	慢性顎骨骨髄炎	下腿骨慢性骨髄炎
左側頭葉膠芽腫	側頭葉膠芽腫	側頭葉膠芽腫
脳血管障害性パーキンソニズム	脳血管障害性パーキンソン症候群	脳血管障害性パーキンソン症候群
右後角脳室内出血	脳室内出血	視神経鞘内出血
難治性浮腫	高度浮腫	難治性胃潰瘍
Ｇｒａｎｕｌｏｍａｔｏｓｉｓ　ｗｉｔｈ　ｐｏｌｙａｎｇｉｉｔｉｓ	多発血管炎性肉芽腫症	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
再発脊索腫	脊索腫	脊索腫
Ｃ型肝硬変症	Ｃ型肝硬変	Ｃ型肝硬変
左踵部悪性黒色腫	踵部悪性黒色腫	踵部悪性黒色腫
未分化癌	癌	食道未分化癌
両側副腎悪性リンパ腫	悪性リンパ腫	縦隔悪性リンパ腫
帯状疱疹無	帯状疱疹	湿疹状白癬
左膝痛み	膝関節痛	腓腹部痛
右下腿痛	下腿痛	下腿痛
気管支喘息症状	気管支喘息	気管支狭窄症
大腿骨内顆骨壊死	特発性大腿骨内顆骨壊死	大腿骨内顆軟骨損傷
炎症性貧血	貧血	症候性貧血
両下肢掻痒感	皮膚そう痒症	下肢脱力感
右後頭葉脳挫傷	脳挫傷	前頭部挫傷
女性化乳房	女性化乳房症	女性化乳房症
ｍａｓｓ　ｌｅｓｉｏｎ	腫瘤	急性大動脈解離ＳｔａｎｆｏｒｄＡ
右大脳半球多発脳梗塞	多発性脳梗塞	前大脳動脈閉塞症
大動脈弁膜症	大動脈弁弁膜症	大動脈弁弁膜症
鎮静困難	興奮状態	排尿困難
再発腫瘤近傍	腫瘤	多発性皮下腫瘤
右下腿麻痺	下肢麻痺	下肢麻痺
切除不能多発性肝転移	転移性肝腫瘍	急性出血性十二指腸潰瘍穿孔
腹腔内膿瘍形成	膿瘍	腹腔内膿瘍
発作性上室性頻拍	発作性上室頻拍	発作性上室頻拍
筋肉痛生	筋肉痛	筋肉痛
腰椎滑り症	腰椎すべり症	腰椎変性すべり症
淡血性胸水	血性胸水	漏出性胸水
腎被膜下出血	外傷性腎被膜下血腫	結膜下出血
仙骨部褥瘡痕	仙骨部褥瘡	腹壁瘢痕部潰瘍
左肝腫瘍	肝腫瘍	肝左葉腫瘍
非Ｃｌｏｓｔｒｉｄｉｕｍ性ガス壊疽	ガス壊疽	急性大動脈解離ＤｅＢａｋｅｙＩＩＩａ
リンパ腺腫脹	リンパ節腫大	リンパ節腫大
心室二段脈	心室性二段脈	心室性二段脈
鼻腔腫瘍摘出	鼻腔腫瘍	鼻腔腫瘍
疼痛時頓用	疼痛	睡眠時無呼吸症候群治療用咬合床不適合
多房性膿瘍	膿瘍	多発性汗腺膿瘍
右耳介後部痛	耳痛症	耳後部挫創
左胸壁腫瘍切除	胸壁腫瘍	開放性胃腸管穿孔破裂
無呼吸症候群	無呼吸発作	睡眠時無呼吸症候群
右尿管癌	尿管癌	尿管癌
出血過多	出血	多量出血
甲状腺嚢腫	甲状腺のう胞	甲状腺腺腫
両側浸出性中耳炎	滲出性中耳炎	穿孔性中耳炎
覚醒度	麻酔覚醒遅延	温度感覚過敏
高血糖	高血糖症	低血糖
有意弁膜症	弁膜炎	先天性喉頭狭窄症
胸痛無	胸痛	胸痛
右下肺野無気肺	無気肺	下葉無気肺
小脳性失調	小脳性運動失調症	急性小脳性失調症
好酸球増多症	好酸球増加症	好酸球増加症
右腎明細胞肉腫	腎明細胞肉腫	腎明細胞肉腫
甲状腺左葉濾胞腺腫	濾胞性甲状腺腺腫	濾胞性甲状腺腺腫
下位運動ニューロン徴候	運動ニューロン疾患	運動ニューロン疾患
主幹動脈狭窄	脳動脈狭窄症	動脈狭窄
創部皮下血腫	外傷性皮下血腫	頭部皮下血腫
掻痒感軽減	そう痒	汗疹湿疹化
両肺小結節影	肺野異常陰影	尺側手根伸筋腱損傷
造影剤アレルギー歴	薬物過敏症	アレルギー性咳嗽
左眼鼻涙管閉塞症	鼻涙管閉鎖症	鼻涙管閉鎖症
慢性的な抑うつ気分	うつ状態	神経症性抑うつ状態
鼻部異物肉芽腫	皮膚異物肉芽腫	皮膚異物肉芽腫
遠隔ＬＮ転移	リンパ節転移	非特異的ＳＴ−Ｔ変化
子宮がん	子宮癌	子宮頚部びらん
Ｂｉｃｋｅｒｓｔａｆｆ型脳幹脳炎	ビッカースタッフ脳幹脳炎	ＶＡＴＥＲ症候群
睾丸腫脹	精巣腫脹	鼡径部腫脹
右中皮腫	中皮腫	右心房粘液腫
ジベル薔薇色粃糠疹	ジベルばら色粃糠疹	ジベルばら色粃糠疹
脳実質外腫瘍	腫瘍	脳髄膜腫瘍
抑鬱感	気うつ	疲労感
扁桃腺腫大	扁桃肥大	扁桃腫瘍
口内出血	口腔出血	眼球内出血
右上方視野欠損	視野欠損	視野欠損
両側臼蓋形成不全症	臼蓋形成不全	頭蓋顔面骨形成不全症
進行肝癌	肝癌	進行乳癌
噴門部狭窄	胃狭窄	噴門狭窄
突発性腎出血	腎出血	特発性腎出血
前股関節症	股関節症	股関節症
多発肝嚢胞	多発性肝のう胞	多発脂肪腫
過換気状態	過換気症	過換気症
傍大動脈ＬＮ	大動脈周囲リンパ節転移	奇静脈肺葉
左椎骨動脈低形成	骨髄低形成	腎動脈過形成
左房拡張	心拡大	心房期外収縮
サルモネラ菌感染症	サルモネラ感染症	サルモネラ感染症
両側性多発性嚢胞腎	多発性のう胞腎	多発性神経膠腫
化学物質アレルギー	アレルギー	金属アレルギー
右手指腫脹	手指腫脹	手指腫脹
右足背発赤	発赤	足背膿瘍
脊柱管高度狭窄	脊柱管狭窄症	広範脊柱管狭窄症
右急性網膜壊死	急性網膜壊死	急性網膜壊死
皮膚硬化がまだかなり	新生児皮膚硬化症	皮膚はえ幼虫症
口腔内乾燥軽度	口腔乾燥症	口腔乾燥症
下肢筋痛	下肢筋肉痛	下肢筋肉痛
蠕動不良	異常腸音	振動病
四肢腱反射亢進	反射亢進	先天性筋緊張亢進
黒色丘疹	丘疹	紅色丘疹
胸部陰影	胸部異常陰影	胸部異常陰影
クモ膜下嚢胞	くも膜のう胞	下葉小細胞肺癌
２次性糖尿病	二次性糖尿病	二次性糖尿病
Ｈａｅｍｏｐｈｉｌｕｓ　ｉｎｆｌｕｅｎｚａｅ敗血症	敗血症	ＴＥＬ−ＡＭＬ１陽性Ｂリンパ芽球性白血病
慢性期疼痛	慢性疼痛	慢性疼痛
右上葉原発肺小細胞癌	小細胞肺癌	下葉非小細胞肺癌
出血源不詳	出血	原因不明の羊水過少症
一般細菌感染	細菌感染症	細菌感染症
急性小脳失調症	急性小脳性失調症	急性小脳性失調症
浸潤癌化所見	癌	非浸潤性乳管癌
痔核脱出	痔核	脱出性内痔核
重症膵炎	膵炎	重症急性膵炎
痛みアリ	疼痛	虹彩癒着
左心室内血栓症	心室内血栓症	心室瘤内血栓症
右足疼痛	疼痛	前足部痛
増殖前網膜症	網膜症	増殖性網膜症
傍神経節腫瘍	傍神経節腫	傍神経節腫
小腸膀胱瘻	膀胱皮膚瘻	直腸膀胱瘻
左小細胞肺癌	小細胞肺癌	小細胞肺癌
少量左胸水	胸水貯留	胎児胸水
多発ＨＣＣ再発	肝細胞癌	再発第２期梅毒
結核性嚢腫	結核	結核性膿瘍
右大腿骨外顆骨折	大腿骨外顆骨折	大腿骨外顆骨折
巨大膵仮性嚢胞	仮性膵のう胞	大腿胞巣状軟部肉腫
大腿腫脹	下腿腫脹	大腿部腫脹
全身性ＣＭＶ感染症	サイトメガロウイルス感染症	全身型若年性特発性関節炎
多発肝内転移	転移性肝腫瘍	多発性癌転移
右外耳道炎	外耳炎	外耳道痛
両下肢圧痕性浮腫	クインケ浮腫	下肢浮腫
下部腸間膜動脈出血	動脈性出血	腸間膜動脈損傷
ＩｇＭ型Ｍ蛋白	単クローン性免疫グロブリン血症	高ＩｇＭ血症
喘息発作様症状	気管支喘息発作	症候性痙攣発作
分食道癌	食道癌	食道癌
多少便秘気味	便秘症	老人性弱質
ポリープ状病変	ポリープ	Ｓ状結腸ポリープ
既往高血圧	高血圧症	術中異常高血圧症
右リウマチ性膝関節症	関節リウマチ・膝関節	非リウマチ性三尖弁狭窄症
急性骨髄性白血病（ＡＭＬ）	急性骨髄性白血病	急性骨髄性白血病
腹水大量	腹水症	濾出性腹水
全身皮膚発赤	発赤	全身毛孔性紅色粃糠疹
多発肺嚢胞	肺のう胞	多発性汗腺膿瘍
右小脳橋角部腫瘍	小脳橋角部腫瘍	小脳橋角部腫瘍
右眼網膜静脈分枝閉塞症	網膜静脈分枝閉塞症	網膜静脈分枝閉塞症
右脛骨腓骨開放骨折	脛骨腓骨開放骨折	脛骨腓骨開放骨折
左側卵巣腫瘍	卵巣腫瘍	卵管卵巣膿瘍
口腔内びらん	口唇びらん	鼻腔内びらん
紅斑熱群リケッチア症	リケッチア感染症	腺熱リケッチア症
ＩＴＰ	特発性血小板減少性紫斑病	ＰＣＷＨ
気管支喘息小発作	気管支喘息発作	気管支喘息発作
解離性動脈瘤破裂	解離性動脈瘤	解離性動脈瘤
左眼窩内腫瘍	眼窩腫瘍	眼窩偽腫瘍
肺外小細胞癌	小細胞肺癌	肺門部小細胞癌
高度大動脈弁狭窄症	大動脈弁狭窄症	大動脈弁上狭窄症
ｂｒｅａｋｔｈｒｏｕｇｈ　ｈｅｐａｔｉｔｉｓ	肝炎	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
左室圧排	右室肥大	両室肥大
両側声帯外転障害	声帯外転筋麻痺	声帯外転筋麻痺
一部水疱形成	水疱症	膝部淡明細胞肉腫
糖尿病潰瘍	糖尿病性潰瘍	糖尿病性潰瘍
飲みこみにくさ	嚥下障害	会陰部せつ
左腎低形成	低形成腎	左心低形成症候群
左母趾疼痛	母趾痛	前胸壁痛
副腎ヒストプラズマ感染症	真菌症	マイコプラズマ感染症
右眼糖尿病網膜症	糖尿病網膜症	糖尿病性眼筋麻痺
下肢浮腫左	下肢浮腫	下肢浮腫
両松葉杖歩行	歩行障害	内反歩行
冠動脈狭窄３枝病変	狭心症３枝病変	冠状動脈狭窄症
遺伝性低尿酸血症	低尿酸血症	続発性高尿酸血症
低アルドステロン血症	低アルドステロン症	低アルドステロン症
小腸皮膚瘻	皮膚瘻	直腸皮膚瘻
重度僧帽弁狭窄症	僧帽弁狭窄症	僧帽弁狭窄症
非細菌性血栓性疣贅	疣贅	常染色体劣性先天性魚鱗癬
特発性腸間膜血腫	血腫	多発性腸間膜膿瘍
脳原発性悪性リンパ腫	脳悪性リンパ腫	脳悪性リンパ腫
抜管後両側反回神経麻痺	両側性反回神経麻痺	両側性反回神経麻痺
肝骨転移	骨転移癌	肝癌骨転移
乳腺線維腫症	線維腫	乳腺線維腫
