出現形	正解	予測
疼痛時頓用	疼痛	咽頭発赤
多房性膿瘍	膿瘍	疼痛
右耳介後部痛	耳痛症	アミロイドーシス
左胸壁腫瘍切除	胸壁腫瘍	気管閉鎖症
無呼吸症候群	無呼吸発作	皮膚腫瘤
右尿管癌	尿管癌	多発性肝血管腫
出血過多	出血	縫合不全
甲状腺嚢腫	甲状腺のう胞	よろめき歩行
両側浸出性中耳炎	滲出性中耳炎	足湿疹
覚醒度	麻酔覚醒遅延	悪性膵内分泌腫瘍
高血糖	高血糖症	大葉性肺炎
有意弁膜症	弁膜炎	新生児低酸素性虚血性脳症
胸痛無	胸痛	肺炎
右下肺野無気肺	無気肺	呼吸困難
小脳性失調	小脳性運動失調症	血液凝固異常
好酸球増多症	好酸球増加症	クラミジア感染症
右腎明細胞肉腫	腎明細胞肉腫	下腿発赤
甲状腺左葉濾胞腺腫	濾胞性甲状腺腺腫	嘔気
下位運動ニューロン徴候	運動ニューロン疾患	ＨＤＬＳ
主幹動脈狭窄	脳動脈狭窄症	足関節腫脹
創部皮下血腫	外傷性皮下血腫	起立性眩暈
掻痒感軽減	そう痒	くしゃみ
両肺小結節影	肺野異常陰影	恥骨骨炎
造影剤アレルギー歴	薬物過敏症	冠攣縮性狭心症
左眼鼻涙管閉塞症	鼻涙管閉鎖症	潰瘍性慢性膿皮症
慢性的な抑うつ気分	うつ状態	尿管結石症
鼻部異物肉芽腫	皮膚異物肉芽腫	神経性食欲異常
遠隔ＬＮ転移	リンパ節転移	異所性ＡＣＴＨ産生腫瘍
子宮がん	子宮癌	レム睡眠行動障害
Ｂｉｃｋｅｒｓｔａｆｆ型脳幹脳炎	ビッカースタッフ脳幹脳炎	熱傷
睾丸腫脹	精巣腫脹	横隔膜弛緩症
右中皮腫	中皮腫	穿通性十二指腸潰瘍
ジベル薔薇色粃糠疹	ジベルばら色粃糠疹	先天性下大静脈狭窄症
脳実質外腫瘍	腫瘍	全膿胸
抑鬱感	気うつ	人工膝関節感染
扁桃腺腫大	扁桃肥大	ノカルジア症
口内出血	口腔出血	軽度認知障害
右上方視野欠損	視野欠損	門脈圧亢進症
両側臼蓋形成不全症	臼蓋形成不全	進行性前立腺癌
進行肝癌	肝癌	慢性咳嗽
噴門部狭窄	胃狭窄	下葉肺扁平上皮癌
突発性腎出血	腎出血	大腸ポリープ
前股関節症	股関節症	術後創部感染
多発肝嚢胞	多発性肝のう胞	嚥下痛
過換気状態	過換気症	肺動脈瘻
傍大動脈ＬＮ	大動脈周囲リンパ節転移	ＨＤＬＳ
左椎骨動脈低形成	骨髄低形成	腎障害
左房拡張	心拡大	放線菌症
サルモネラ菌感染症	サルモネラ感染症	肺門部異常陰影
両側性多発性嚢胞腎	多発性のう胞腎	子宮肉腫
化学物質アレルギー	アレルギー	ペースメーカ植え込み後感染症
右手指腫脹	手指腫脹	卵巣門細胞腫
右足背発赤	発赤	鼡径部横紋筋肉腫
脊柱管高度狭窄	脊柱管狭窄症	粘液性鼻漏
右急性網膜壊死	急性網膜壊死	急性疼痛
皮膚硬化がまだかなり	新生児皮膚硬化症	顎痛
口腔内乾燥軽度	口腔乾燥症	顔面神経障害
下肢筋痛	下肢筋肉痛	中枢性顔面神経麻痺
蠕動不良	異常腸音	副腎腫瘍
四肢腱反射亢進	反射亢進	子宮体癌
黒色丘疹	丘疹	幻聴
胸部陰影	胸部異常陰影	失認
クモ膜下嚢胞	くも膜のう胞	腎血管腫
２次性糖尿病	二次性糖尿病	症候性てんかん
Ｈａｅｍｏｐｈｉｌｕｓ　ｉｎｆｌｕｅｎｚａｅ敗血症	敗血症	頚部食道癌
慢性期疼痛	慢性疼痛	手関節痛
右上葉原発肺小細胞癌	小細胞肺癌	慢性腸アメーバ症
出血源不詳	出血	ＡＩＤＳ
一般細菌感染	細菌感染症	心肺停止
急性小脳失調症	急性小脳性失調症	下腿皮膚潰瘍
浸潤癌化所見	癌	喀痰
痔核脱出	痔核	腎盂腫瘍
重症膵炎	膵炎	下気道感染を伴う慢性閉塞性肺疾患
痛みアリ	疼痛	層間白内障
左心室内血栓症	心室内血栓症	房室ブロック
右足疼痛	疼痛	睡眠時頭痛
増殖前網膜症	網膜症	冠攣縮性狭心症
傍神経節腫瘍	傍神経節腫	頚部腫瘤
小腸膀胱瘻	膀胱皮膚瘻	術後房室ブロック
左小細胞肺癌	小細胞肺癌	下肢痛
少量左胸水	胸水貯留	感染後咳嗽
多発ＨＣＣ再発	肝細胞癌	錐体路障害
結核性嚢腫	結核	多発性皮下腫瘤
右大腿骨外顆骨折	大腿骨外顆骨折	発熱
巨大膵仮性嚢胞	仮性膵のう胞	多発性癌転移
大腿腫脹	下腿腫脹	転移性副鼻腔癌
全身性ＣＭＶ感染症	サイトメガロウイルス感染症	出血
多発肝内転移	転移性肝腫瘍	緑膿菌性腸炎
右外耳道炎	外耳炎	音声障害
両下肢圧痕性浮腫	クインケ浮腫	ＭＥＬＡＳ症候群
下部腸間膜動脈出血	動脈性出血	微熱
ＩｇＭ型Ｍ蛋白	単クローン性免疫グロブリン血症	内分泌機能異常
喘息発作様症状	気管支喘息発作	気胸
分食道癌	食道癌	ＣＨＩＬＤ症候群
多少便秘気味	便秘症	サイトメガロウイルス網膜炎
ポリープ状病変	ポリープ	努力性呼吸
既往高血圧	高血圧症	大腿骨頭壊死
右リウマチ性膝関節症	関節リウマチ・膝関節	呼吸促迫
急性骨髄性白血病（ＡＭＬ）	急性骨髄性白血病	多発性筋炎
腹水大量	腹水症	大動脈弁閉鎖症
全身皮膚発赤	発赤	ＨＣＡＨＣ
多発肺嚢胞	肺のう胞	失語症
右小脳橋角部腫瘍	小脳橋角部腫瘍	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
右眼網膜静脈分枝閉塞症	網膜静脈分枝閉塞症	群発頭痛
右脛骨腓骨開放骨折	脛骨腓骨開放骨折	全失語症
左側卵巣腫瘍	卵巣腫瘍	未破裂脳動脈瘤
口腔内びらん	口唇びらん	下肺野陰影
紅斑熱群リケッチア症	リケッチア感染症	扁桃潰瘍
ＩＴＰ	特発性血小板減少性紫斑病	低血糖
気管支喘息小発作	気管支喘息発作	卵巣小細胞癌
解離性動脈瘤破裂	解離性動脈瘤	機能性構音障害
左眼窩内腫瘍	眼窩腫瘍	尿失禁症
肺外小細胞癌	小細胞肺癌	顔面痙攣
高度大動脈弁狭窄症	大動脈弁狭窄症	脳室内出血
ｂｒｅａｋｔｈｒｏｕｇｈ　ｈｅｐａｔｉｔｉｓ	肝炎	歩行困難
左室圧排	右室肥大	末梢動脈塞栓症
両側声帯外転障害	声帯外転筋麻痺	Ｂ群溶連菌感染症
一部水疱形成	水疱症	急性疼痛
糖尿病潰瘍	糖尿病性潰瘍	家族性ＬＣＡＴ欠損症
飲みこみにくさ	嚥下障害	縦隔リンパ節転移
左腎低形成	低形成腎	爪囲炎
左母趾疼痛	母趾痛	せん妄
副腎ヒストプラズマ感染症	真菌症	易疲労感
右眼糖尿病網膜症	糖尿病網膜症	辺縁系脳炎
下肢浮腫左	下肢浮腫	脳炎
両松葉杖歩行	歩行障害	上腕骨近位端骨折
冠動脈狭窄３枝病変	狭心症３枝病変	下肢静脈血栓症
遺伝性低尿酸血症	低尿酸血症	肺動脈血栓塞栓症
低アルドステロン血症	低アルドステロン症	心因性発熱
小腸皮膚瘻	皮膚瘻	皮膚壊死
重度僧帽弁狭窄症	僧帽弁狭窄症	アルコール性肝硬変
非細菌性血栓性疣贅	疣贅	尋常性疣贅
特発性腸間膜血腫	血腫	肺膿瘍
脳原発性悪性リンパ腫	脳悪性リンパ腫	顔面痛
抜管後両側反回神経麻痺	両側性反回神経麻痺	ＭＲＣＮＳ感染症
肝骨転移	骨転移癌	排便障害
乳腺線維腫症	線維腫	結膜浮腫
術後左反回神経麻痺	反回神経麻痺	インフルエンザ
無症候性髄膜腫	髄膜腫	活動性慢性肝炎
左肺下葉肺癌	下葉肺癌	顔面形成異常
アルコール離脱症候群	アルコール離脱状態	大動脈瘤
左腸骨骨肉腫	腸骨軟骨肉腫	アレルギー
脳梁低形成	脳梁形成不全	原発性甲状腺機能低下症
表皮内水疱形成	先天性表皮水疱症	急性大動脈解離ＤｅＢａｋｅｙＩＩＩｂ
後頚部圧痛	圧痛	頬部皮膚良性腫瘍
不定愁訴様	不定愁訴症	前立腺小細胞癌
良性胆道狭窄	胆管狭窄症	カンジダ性口内炎
左下葉非小細胞肺癌	下葉非小細胞肺癌	不安障害
ＣＫＤ　腎硬化症	腎硬化症	血性腹水
前頭葉出血	出血	腰椎骨折
有茎性乳頭状腫瘍	腫瘍	慢性咳嗽
理解困難	言語理解障害	肝細胞癌
スメア異常	腟スメア細胞診陽性	広範脊柱管狭窄症
腹腔内敗血症	敗血症	術中不整脈
膵尾部腫大	膵腫大	白斑
過呼吸状態	過換気症	心房粗動
右肺門部原発肺小細胞癌	小細胞肺癌	風疹
