出現形	正解	予測
ｓｐｌｅｎｉｃ　ｍａｒｇｉｎａｌ　ｚｏｎｅ　ｌｙｍｐｈｏｍａ	脾辺縁帯リンパ腫	ＭＮＧＩＥ
体動時息ぎれ	労作時呼吸困難	関節あつれき音
一部浮腫	浮腫	足部浮腫
ふらつき注意	よろめき歩行	よろめき感
新出肝転移	転移性肝癌	肝移植後
脊椎カリエス	脊椎結核	脊椎カリエス後遺症
行動障害	素行障害	発動性障害
小豆大紅斑	紅斑症	多形紅斑
ＦＳＧＳ	巣状糸球体硬化症	ＨＤＬＳ
腹腔鏡補助下子宮筋腫核	子宮筋腫	壁内子宮平滑筋腫
後鼻汁症候群	後鼻漏	膿性鼻閉
糖尿病性腎症１期	腎性糖尿	１型糖尿病性腎症第１期
左前頭葉心原性脳梗塞	心原性脳塞栓症	心原性小脳梗塞
閉塞性尿路感染	尿路感染症	急性尿路感染
顔面蝶形紅斑	ＬＥ蝶形皮疹	多形紅斑
仙骨部色素沈着	色素異常症	歯の色素沈着
左肩痛み	肩部筋痛	肩部痛
ＰＳＶＴ発作	発作性上室頻拍	ＨＤＬＳ
ＤＭＮ　２期	糖尿病	ＭＮＧＩＥ
労作時胸部絞扼感	胸内苦悶	咽頭絞扼感
右膝変形	変形性膝関節症	足部変形
指趾潰瘍	趾皮膚潰瘍	趾難治性皮膚潰瘍
骨性腫瘤	腫瘤	骨腫瘤
下肢動脈瘤	下肢の動脈瘤	上肢動脈瘤
精神病様症状	精神病	症状精神病
項頸部痛	頚部痛	項部痛
頸部白斑	白斑	黄斑部白斑
左大腿骨転子部粉砕骨折	転子下骨折	大腿骨骨幹部粉砕骨折
最近眠気	非器質性過眠症	過眠
ＶＨＤ	心臓弁膜症	ＨＤＬＳ
重症肺血栓塞栓症	肺塞栓症	慢性肺血栓塞栓症
右乳突蜂巣	乳様突起炎	足蜂巣炎
右肺尖部気胸	気胸	部分無気肺
骨盤内子宮内膜症	子宮内膜症	骨盤子宮内膜症
局麻薬アレルギー	薬物過敏症	食物アレルギー
右肩関節亜脱臼半横指	肩関節亜脱臼	肩関節後方亜脱臼
慢性蕁麻疹	慢性じんま疹	非定型麻疹
高分化型漿液性腺癌	癌	卵巣漿液性腺癌
外側疼痛	疼痛	側胸部痛
卵巣癌再発卵巣癌	卵巣癌	再発卵巣癌
錐体路病変	錐体外路系疾患	錐体路障害
奬液性嚢胞腺腫	膵漿液性のう胞腺腫	卵巣漿液性腺腫
脳血栓塞栓症	脳血管閉塞性脳梗塞	血栓塞栓症
左リウマチ性肘関節症	関節リウマチ・膝関節	関節リウマチ・肘関節
右下腿潰瘍感染	下腿皮膚潰瘍	下腿難治性皮膚潰瘍
気分不快時	悪心	腹部不快感
脂肪性腫瘤	脂肪腫	皮下腫瘤
ウィルス性肺炎	肺炎	ウイルス性肺炎
類円形紅斑	紅斑症	多形紅斑
書字不能	書痙	書字障害
熱型	発熱	熱中症
骨盤内充実性腫瘍	骨盤腫瘍	骨盤内良性軟部腫瘍
両側角乾燥性結膜炎	結膜炎	乾性角結膜炎
微熱持続	微熱	持続熱
夕方浮腫	浮腫	顔面浮腫
眼性疲労	眼精疲労	疲労眼振
直腸肛門奇形	鎖肛	胃腸奇形
右大腿部腫瘍	大腿悪性軟部腫瘍	大腿軟部腫瘍
壊死性遊走性紅斑	遊走性紅斑	慢性遊走性紅斑
睡眠障害招くリスク	睡眠障害	睡眠リズム障害
上大静脈血栓	静脈血栓症	下大静脈血栓症
骨盤内ＬＮ転移	骨盤内リンパ節転移	骨盤転移
ＰＫＤ	多発性のう胞腎	ＨＤＬＳ
分水嶺脳梗塞	脳梗塞	脳幹梗塞
上皮性腫瘍	腫瘤	皮下腫瘍
大球性正色素貧血	大球性貧血	正球性正色素性貧血
肛門周囲びらん	外痔びらん	肛門部びらん
胸部不快	胸内苦悶	胸部不快感
下葉肺炎	肺炎	大葉性肺炎
右足根部粉砕骨折	粉砕骨折	上腕骨粉砕骨折
左大脳陳旧性ラクナ梗塞	陳旧性ラクナ梗塞	多発性ラクナ梗塞
出血多量	急性大量出血	多量出血
腸間膜リンパ管腫	リンパ管腫	腸間膜リンパ節腫脹
右乳腺線維腫症	線維腫	乳腺線維腫
肺野鬱血像	肺野異常陰影	肺野円形陰影
子宮頚上皮内癌	子宮頚部上皮内癌	子宮頚管上皮内癌
難治性非定型性抗酸菌症	非結核性抗酸菌症	ＨＩＶ非結核性抗酸菌症
湿疹様	湿疹	湿疹様発疹
大後頭孔狭窄	軟骨形成不全症	後鼻孔狭窄
熱型変化	発熱	不明熱
月経痛コントロール不十分	月経痛	スルーダー神経痛
右ＤＶＴ	深部静脈血栓症	ＨＤＬＳ
非特異的胸痛	胸痛	反復性胸痛
Ａｅｒｏｍｏｎａｓ　ｈｙｄｒｏｐｈｉｌａ敗血症	敗血症	ＭＲＳＡ敗血症
重症細菌性敗血症	敗血症	連鎖球菌性敗血症
腹直筋膜下血腫	筋肉内血腫	殿部筋肉内血腫
関連腎臓病	腎疾患	慢性腎臓病
高度大動脈弁狭窄	大動脈弁狭窄症	大動脈弁上狭窄症
左腰部疼痛	腰痛症	腰殿部痛
ＨＣＶ重複感染症	Ｃ型肝炎ウイルス感染	ＨＩＶ感染症
非ケトン性高血糖	高血糖高浸透圧症候群	ケトン性低血糖症
Ｙｅｒｓｉｎｉａ腸炎	エルシニア腸炎	ＭＲＳＡ腸炎
声帯浮腫	声帯炎	声門浮腫
咳嗽持続	咳	慢性咳嗽
左側下顎骨嚢胞	顎骨のう胞	上皮性顎骨のう胞
胆管閉鎖症	胆管閉塞症	胆道閉鎖症
シャント吻合部狭窄	透析シャント狭窄	吻合部狭窄
胸骨炎	胸骨周囲炎	胸骨骨髄炎
上肢疼痛	疼痛	上肢痛
Ｔｕｒｎｅｒ症候群	ターナー症候群	ＭＥＲＲＦ症候群
左心不全徴候	心不全	左心不全
ＩＰＭＮ癌化	膵管内乳頭粘液性腺癌	殿部基底細胞癌
後発頚部転移	頚部転移性腫瘍	頚椎転移
蜂窩肺形成	蜂窩織炎	先天性蜂巣状肺
右ＩＣＡ高度狭窄	内頚動脈狭窄症	右室流出路狭窄
膵体部嚢胞	膵のう胞	膵管内管状腫瘍
無症候性ＶＴ	心室頻拍	低Ｔ３症候群
口腔清掃	個人衛生の著しいレベル低下	口腔乾燥症
無石性胆嚢炎	胆のう炎	無症候性原発性胆汁性胆管炎
残像腫瘍	腫瘍	松果体腫瘍
夜間中途覚醒時	睡眠障害	夜間異常知覚症
右母指多指症	多指症	重複母指
薬剤性骨髄抑制	骨髄機能低下	薬剤性骨軟化症
中枢神経悪性リンパ腫再発	悪性リンパ腫	中枢神経系原発びまん性大細胞型Ｂ細胞性リンパ腫
旅行者下痢症	下痢症	習慣性下痢
非Ｂ非Ｃ型肝硬変	肝硬変症	Ｂ型肝硬変
足がむくみ	下肢浮腫	ざんごう足
難治性浮腫	高度浮腫	特発性浮腫
Ｇｒａｎｕｌｏｍａｔｏｓｉｓ　ｗｉｔｈ　ｐｏｌｙａｎｇｉｉｔｉｓ	多発血管炎性肉芽腫症	ＡＩＤＳ
未分化癌	癌	食道未分化癌
両側副腎悪性リンパ腫	悪性リンパ腫	ＮＳＡＩＤ腎症
左膝痛み	膝関節痛	膝窩部痛
炎症性貧血	貧血	症候性貧血
両下肢掻痒感	皮膚そう痒症	老年性そう痒症
右後頭葉脳挫傷	脳挫傷	脳幹挫傷
ｍａｓｓ　ｌｅｓｉｏｎ	腫瘤	ＡＩＤＳ
右大脳半球多発脳梗塞	多発性脳梗塞	多発性小脳梗塞
鎮静困難	興奮状態	鎮静薬による急性精神・行動障害
再発腫瘤近傍	腫瘤	化膿性腫瘤
切除不能多発性肝転移	転移性肝腫瘍	肝移植不全
腹腔内膿瘍形成	膿瘍	腹腔内膿瘍
リンパ腺腫脹	リンパ節腫大	皮膚良性リンパ腺腫症
疼痛時頓用	疼痛	慢性疼痛
多房性膿瘍	膿瘍	水晶体膿瘍
右耳介後部痛	耳痛症	耳下部痛
無呼吸症候群	無呼吸発作	重症急性呼吸器症候群
出血過多	出血	多量出血
甲状腺嚢腫	甲状腺のう胞	甲状腺腫
覚醒度	麻酔覚醒遅延	温度感覚異常
有意弁膜症	弁膜炎	連合弁膜症
右下肺野無気肺	無気肺	上葉無気肺
小脳性失調	小脳性運動失調症	急性小脳性失調症
主幹動脈狭窄	脳動脈狭窄症	動脈狭窄
創部皮下血腫	外傷性皮下血腫	頭部皮下血腫
掻痒感軽減	そう痒	症候性そう痒症
両肺小結節影	肺野異常陰影	肺野円形陰影
造影剤アレルギー歴	薬物過敏症	刺虫アレルギー
慢性的な抑うつ気分	うつ状態	気うつ
鼻部異物肉芽腫	皮膚異物肉芽腫	異物肉芽腫
遠隔ＬＮ転移	リンパ節転移	ＨＤＬＳ
睾丸腫脹	精巣腫脹	鼡径部腫脹
脳実質外腫瘍	腫瘍	脳室内腫瘍
抑鬱感	気うつ	倦怠感
扁桃腺腫大	扁桃肥大	扁桃腫瘍
噴門部狭窄	胃狭窄	噴門狭窄
突発性腎出血	腎出血	特発性腎出血
傍大動脈ＬＮ	大動脈周囲リンパ節転移	解離性大動脈瘤ＳｔａｎｆｏｒｄＡ
左椎骨動脈低形成	骨髄低形成	椎骨動脈血行不全
左房拡張	心拡大	胃拡張
化学物質アレルギー	アレルギー	食物アレルギー
皮膚硬化がまだかなり	新生児皮膚硬化症	皮膚形成異常
口腔内乾燥軽度	口腔乾燥症	口内乾燥
蠕動不良	異常腸音	発動性障害
黒色丘疹	丘疹	紅色丘疹
クモ膜下嚢胞	くも膜のう胞	口腔類表皮のう胞
Ｈａｅｍｏｐｈｉｌｕｓ　ｉｎｆｌｕｅｎｚａｅ敗血症	敗血症	ＭＲＳＡ敗血症
右上葉原発肺小細胞癌	小細胞肺癌	上葉肺大細胞癌
出血源不詳	出血	不正性器出血
浸潤癌化所見	癌	殿部基底細胞癌
痔核脱出	痔核	脱出性内痔核
重症膵炎	膵炎	重症急性膵炎
痛みアリ	疼痛	鈍痛
右足疼痛	疼痛	足痛
増殖前網膜症	網膜症	増殖性網膜症
小腸膀胱瘻	膀胱皮膚瘻	回腸膀胱瘻
少量左胸水	胸水貯留	血性胸水
多発ＨＣＣ再発	肝細胞癌	ＬＨ単独欠損症
結核性嚢腫	結核	結核腫
大腿腫脹	下腿腫脹	大腿部腫脹
全身性ＣＭＶ感染症	サイトメガロウイルス感染症	ＭＲＣＮＳ感染症
多発肝内転移	転移性肝腫瘍	転移性肝癌
両下肢圧痕性浮腫	クインケ浮腫	上肢浮腫
下部腸間膜動脈出血	動脈性出血	腸間膜動脈血栓症
ＩｇＭ型Ｍ蛋白	単クローン性免疫グロブリン血症	ＨＨＶ８多中心性キャッスルマン病随伴大細胞型Ｂ細胞性リンパ腫
喘息発作様症状	気管支喘息発作	運動誘発性喘息
多少便秘気味	便秘症	習慣性便秘
全身皮膚発赤	発赤	下腿発赤
多発肺嚢胞	肺のう胞	肺胞蛋白症
口腔内びらん	口唇びらん	鼻腔内びらん
紅斑熱群リケッチア症	リケッチア感染症	ロッキー山紅斑熱
ＩＴＰ	特発性血小板減少性紫斑病	ＡＩＤＳ
解離性動脈瘤破裂	解離性動脈瘤	大動脈破裂
左眼窩内腫瘍	眼窩腫瘍	眼内腫瘍
肺外小細胞癌	小細胞肺癌	肺門部小細胞癌
ｂｒｅａｋｔｈｒｏｕｇｈ　ｈｅｐａｔｉｔｉｓ	肝炎	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
左室圧排	右室肥大	門脈圧亢進症
飲みこみにくさ	嚥下障害	しゅさ
副腎ヒストプラズマ感染症	真菌症	ＨＢウイルス腎症
両松葉杖歩行	歩行障害	単眼症
冠動脈狭窄３枝病変	狭心症３枝病変	冠状動脈狭窄症
遺伝性低尿酸血症	低尿酸血症	無症候性高尿酸血症
小腸皮膚瘻	皮膚瘻	直腸皮膚瘻
重度僧帽弁狭窄症	僧帽弁狭窄症	先天性僧帽弁狭窄症
非細菌性血栓性疣贅	疣贅	化膿性疣贅
特発性腸間膜血腫	血腫	大腸血管腫
肝骨転移	骨転移癌	肝癌骨転移
乳腺線維腫症	線維腫	乳腺線維腫
術後左反回神経麻痺	反回神経麻痺	術後性反回神経麻痺
無症候性髄膜腫	髄膜腫	多発性髄膜腫
表皮内水疱形成	先天性表皮水疱症	栄養障害型表皮水疱症
後頚部圧痛	圧痛	頚背部痛
良性胆道狭窄	胆管狭窄症	術後胆管狭窄
ＣＫＤ　腎硬化症	腎硬化症	ＩｇＡ腎症
前頭葉出血	出血	前房出血
有茎性乳頭状腫瘍	腫瘍	乳房葉状腫瘍
理解困難	言語理解障害	特殊学習困難
スメア異常	腟スメア細胞診陽性	ＣＡＰＤカテーテル位置異常
腹腔内敗血症	敗血症	院内感染敗血症
過呼吸状態	過換気症	呼吸停止
右肺門部原発肺小細胞癌	小細胞肺癌	肺門部小細胞癌
胃癌骨髄癌腫症	骨髄転移	胃体部癌
眼乾燥感	ドライアイ	口唇乾燥
内側縦束症候群	核間性眼筋麻痺	延髄外側症候群
夜低血糖	低血糖	夜間低血糖症
左上下肢軽度麻痺	四肢麻痺	下肢麻痺
下肢痙性	痙性対麻痺	下肢痙攣
皮疹状況	発疹	ＬＥ皮疹
髄外形質細胞腫	骨外性形質細胞腫	形質細胞腫
ｍａｌｉｇｎａｎｔ　ｌｙｍｐｈｏｍａ	悪性リンパ腫	ＣＡＤＡＳＩＬ
重症ＡＧＨＤ	重症成人成長ホルモン分泌不全	高ＩｇＤ血症
湿疹性病変	湿疹	急性湿疹
手内筋萎縮	筋萎縮症	全身性筋萎縮
尾てい骨骨折	尾骨骨折	上腕骨らせん骨折
腓腹筋痙攣	痙攣	四肢筋痙攣
破壊性脊椎症	脊椎症	破壊性脊椎関節症
独歩不可	歩行障害	歩行困難
骨破壊進行	関節リウマチ	骨壊死
下肢白癬	白癬	四肢白癬
左鼓膜発赤	発赤	青色鼓膜
熱苦症状	発熱	熱疲労
シャイドレジャー症候群	シャイ・ドレーガー症候群	グッドパスチャー症候群
肺動脈弁閉鎖症	肺動脈弁閉鎖	肺動脈弁閉鎖不全症
脾摘施行Ｃ型肝炎	Ｃ型肝炎	Ｄ型肝炎
右肺上葉すりガラス影	胸部異常陰影	下肺野陰影
Ｆｏｌｌｉｃｕｌａｒ　ｌｙｍｐｈｏｍａ	濾胞性リンパ腫	ＣＡＤＡＳＩＬ
腫瘍性ＤＩＣ	線溶亢進	ＣＲＨ産生腫瘍
左肘関節亜脱臼	亜脱臼	手関節亜脱臼
左肺感染性嚢胞	肺のう胞	侵襲性肺炎球菌感染症
右足趾壊疽	下肢壊疽	足壊疽
残遺癌	癌	残胃癌
不安大きく	不安障害	不安うつ病
ＭＳ再発	多発性硬化症	ＨＤＬＳ
強直間代性痙攣発作	間代性痙攣	間代強直性痙攣
一過性意識消失発作	一過性脳虚血発作	部分的意識喪失
乳児白血病	白血病	乳児偽白血病
筋委縮	筋萎縮症	非定型筋萎縮症
左鼠経ヘルニア	鼡径ヘルニア	会陰ヘルニア
体幹掻痒感	そう痒	症候性そう痒症
糖尿病神経症	糖尿病性神経痛	糖尿病
古典的肝細胞癌再発	肝細胞癌	原発性肝癌
左室低形成	左心低形成症候群	右室低形成
劇症肝炎亜急性型	劇症肝炎	Ｅ型劇症肝炎
分岐部動脈瘤	内頚動脈後交通動脈分岐部動脈瘤	大動脈瘤
腫瘍感染	腫瘍	付属器腫瘍
悪性腫瘍スクリーニング	悪性腫瘍	悪性グロームス腫瘍
右踵骨折	骨折	踵骨骨折
ＰＰＨ	肺高血圧症	ＰＣＷＨ
子宮間質肉腫	肉腫	子宮内膜間質肉腫
右主気管支膜様部壊死	壊死	気管支損傷
右下肺野スリガラス影	胸部異常陰影	下肺野陰影
胆嚢腺扁平上皮癌	癌	上部胆管癌
突発性血小板減少性紫斑病	血小板減少性紫斑病	続発性血小板減少性紫斑病
意識変動	意識障害	意識消失
左閉鎖リンパ節転移	リンパ節転移	鎖骨上リンパ節転移
両側小脳梗塞	小脳梗塞	多発性小脳梗塞
左前腕浮腫	浮腫	上腕浮腫
赤紫斑	紫斑病	色素性紫斑
偽腔閉塞型大動脈解離	解離性大動脈瘤	腹腔動脈解離
高度感音性難聴	感音難聴	高度難聴
胆嚢腫瘍	胆のう腫瘍	胆管腫瘍
胃がん	胃癌	胃びらん
左中大脳動脈梗塞	中大脳動脈塞栓症	脳外主幹動脈閉塞脳梗塞
Ｓｏｔｏｓ症候群	ソトス症候群	ＳＡＰＨＯ症候群
挿入部出血	出血	口腔出血
多発性腎梗塞	腎梗塞	外傷性腎梗塞
変動一過性徐脈	徐脈	徐脈発作
四肢色素沈着	皮膚色素沈着	角膜色素沈着
三角圧痛	肩部筋痛	圧痛
乳癌局所再発	乳癌	乳癌再発
痛みきつい	疼痛	鈍痛
両側顎下腺腫大	顎下腺肥大	上口唇皮下腫瘍
日中下痢便	下痢症	食事性下痢
胸郭低形成	胸郭異常	胸郭変形
肺スリガラス陰影	胸部異常陰影	肺門部異常陰影
口蓋腫瘤	腫瘤	口腔内腫瘤
パーキンソン病関連疾患	パーキンソン病	若年性パーキンソン病
グラム陰性桿菌菌血症	グラム陰性桿菌敗血症	グラム陰性桿菌感染症
開腹子宮筋腫核	子宮筋腫	子宮有茎筋腫
白内障手術	白内障	白内障術後
直腸癌Ｒａ	直腸癌	ＫＲＡＳ遺伝子野生型直腸癌
カルボプラチンアレルギー	薬物過敏症	ラテックスアレルギー
肺原発ホジキンリンパ腫	ホジキンリンパ腫	肺ＭＡＬＴリンパ腫
循環障害	末梢循環障害	急性循環不全
重度精神運動発達遅滞	混合性特異的発達障害	自閉性精神発達遅滞
筋緊張高く	筋強直	筋緊張性障害
母指潰瘍治癒遅延	皮膚潰瘍	手指難治性皮膚潰瘍
歩行時呼吸困難感	労作時呼吸困難	呼吸困難
痰症状	喀痰	喀痰検査異常
腸管血流障害	末梢循環障害	腸管運動障害
全身性単純ヘルペスウイルス感染症	ヘルペスウイルス感染症	先天性ヘルペスウイルス感染症
劇症型腸アメーバ症	腸アメーバ症	慢性腸アメーバ症
不適応行動	適応障害	異常行動
緑色痰	喀痰	膿性痰
ポンプポケット内血腫	血腫	モンロー孔海綿状血管腫
尿量低下	乏尿	低張尿
むつかぶれ	おむつ皮膚炎	しびれ感
水平亜脱臼	亜脱臼	水晶体亜脱臼
早期癌	癌	末期癌
吻合部出血	出血	抜歯後出血
子宮頸がん	子宮頚癌	子宮頚部びらん
腺扁平上皮癌	癌	卵巣扁平上皮癌
喉頭蓋サルコイドーシス	サルコイドーシス	鼻腔サルコイドーシス
声門部狭窄	喉頭狭窄症	処置後声門下狭窄
頭蓋底髄膜腫	髄膜腫	中頭蓋窩髄膜腫
膵全体癌	膵癌	膵体部癌
両側血気胸	血気胸	外傷性血気胸
穿刺部位出血	出血	点状出血
手掌黄色腫	黄色腫症	手掌部悪性黒色腫
皮膚湿疹	湿疹	頭部湿疹
非吻合部多発胆管狭窄	胆管狭窄症	術後胆管狭窄
軽度肥満歴	肥満症	症候性肥満
左腎嚢胞不変	腎のう胞	膿腎症
軽度発赤腫脹	発赤	顔面腫脹
左手関節変形	変形性手関節症	股関節変形
蛋白尿（３＋）	蛋白尿	食事性蛋白尿
左手首痛	手部痛	手関節痛
続発性赤芽球癆	赤芽球ろう	慢性後天性赤芽球ろう
インフルエンザ菌	インフルエンザ	インフルエンザ菌感染症
左舌区小細胞癌	小細胞肺癌	下口唇基底細胞癌
成人発症Ｓｔｉｌｌ病（ＡＯＳＤ）	成人スチル病	ＣＡＤＡＳＩＬ
大球性正色素性貧血	正色素性貧血	正球性正色素性貧血
限局型全身性強皮症	全身性強皮症	限局性強皮症
Ｓ状結腸高分化腺癌	Ｓ状結腸癌	Ｓ状結腸神経内分泌細胞癌
両下肢痛み	疼痛	下肢痛
ＳＭＡ浸潤	膵癌	ＡＶＭ
微小癌	癌	非浸潤性小葉癌
慢性疼痛性障害	慢性疼痛	身体型疼痛障害
高Ｃｌ血症	高クロール血症	高ＬＤＬ血症
乳頭状腺癌	癌	甲状腺乳頭癌
帯状疱疹ウイルス脊髄炎	ウイルス脊髄炎	帯状疱疹性脊髄炎
内臓播種性ＶＺＶ感染症	汎発性帯状疱疹	ＨＴＬＶ−１感染症
様皮疹	発疹	ＬＥ皮疹
左帯状疱疹	帯状疱疹	眼部帯状疱疹
骨形成不全症Ⅲ型	骨形成不全症	骨形成不全症２型
高度肥満症	病的肥満症	肥満症
右前頭葉脳内血腫	血腫	外傷性脳内血腫
四肢関節腫脹	関節炎	足関節腫脹
右腸骨静脈血栓症	腸骨静脈圧迫症候群	腸骨動脈血栓症
眼瞼結膜軽度貧血	貧血	眼瞼結膜出血
子宮頸癌Ⅲｂ期	子宮頚癌	子宮頚部微小浸潤癌
肝内腫瘤性病変	腫瘤	肝腫瘤
ＡＳＤ	心房中隔欠損症	ＡＩＤＳ
緑膿菌肺感染症	緑膿菌肺炎	緑膿菌感染症
ふらつきあり転倒リスク高い	めまい	全身こむらがえり病
食道癌術後リンパ節転移	リンパ節転移	食道癌骨転移
亜急性期小脳梗塞	小脳梗塞	多発性小脳梗塞
喘息コントロール	咳喘息	アトピー性喘息
中高分化型腺癌	癌	前立腺小細胞癌
軽度脳梗塞	脳梗塞	小脳梗塞
神経根性痛	疼痛	神経痛
白色壊死組織付着	壊死	中毒性表皮壊死症
夜間中途覚醒	睡眠障害	夜間狭心症
軽度肺動脈弁狭窄	肺動脈弁狭窄症	肺動脈弁下狭窄症
無涙症	涙液分泌不全	症候性流涙症
ｃｒｉｔｉｃａｌ　ｉｌｌｎｅｓｓ　ｐｏｌｙｎｅｕｒｏｐａｔｈｙ	多発ニューロパチー	ＣＡＤＡＳＩＬ
水疱瘡	水疱症	水疱性類天疱瘡
軽度高Ｋ血症	高カリウム血症	高ＨＤＬ血症
水様便流出	下痢症	便潜血
浮腫傾向	浮腫	特発性浮腫
骨Ｐａｇｅｔ病	骨パジェット病	若年性骨パジェット病
Ｅｎｔａｍｏｅｂａ　ｈｉｓｔｏｌｙｔｉｃａ	アメーバ赤痢	ＣＡＤＡＳＩＬ
大腿筋横紋筋肉腫	横紋筋肉腫	大腿横紋筋肉腫
腸炎性関節炎	関節炎	腸チフス性関節炎
ＰＭＳ	月経前症候群	ＨＤＬＳ
腓腹部圧痛	腹部圧痛	腓腹部痛
非チフス性Ｓａｌｍｏｎｅｌｌａ菌血症	菌血症	一過性菌血症
微小多発肝膿瘍	肝膿瘍	多発性肝膿瘍
胸部大動脈解離	急性大動脈解離	慢性大動脈解離
輪状披裂関節炎	関節炎	輪状披裂関節捻挫
咽頭残留	嚥下障害	咽頭腐蝕
大量水様下痢	下痢症	食事性下痢
処方右乳癌	乳癌	進行乳癌
弧発性古典的ＣＪＤ	孤発性クロイツフェルト・ヤコブ病	ＡＩＤＳ
右大腿リンパ節転移	リンパ節転移	頚部リンパ節転移
左第３趾潰瘍	趾皮膚潰瘍	陰唇潰瘍
膝関節水腫	膝関節水症	肘関節水腫
好酸球性胆嚢炎	胆のう炎	急性胆細管炎
左下腿骨幹部骨折	骨折	大腿骨骨幹部骨折
ふらつき有	めまい	こむら返り
閉塞性睡眠時無呼吸症侯群	睡眠時無呼吸症候群	閉塞性睡眠時無呼吸
結核性ブドウ膜炎	結核性ぶどう膜炎	結核性硬膜炎
痙直型四肢麻痺	四肢麻痺	痙性四肢麻痺
角化性紅斑散在	紅斑症	環状紅斑
左側頭葉皮質化出血	出血	皮質脳内出血
右足底腱膜炎	足底筋膜炎	膝部腱膜炎
高～中分化型管状腺癌	癌	前立腺小細胞癌
Ｌａｍｉｖｕｄｉｎｅ耐性Ｂ型肝硬変	Ｂ型肝硬変	Ｂ型非代償性肝硬変
湿疹化	湿疹	急性湿疹
下肢対麻痺	対麻痺	下肢麻痺
脈管奇形	奇形	脳静脈奇形
可動時痛	疼痛	一次性運動時頭痛
痰がからみ	喀痰	過剰喀痰
朝出血	出血	後出血
右鼠経ヘルニア修復術	鼡径ヘルニア	非還納性腹壁瘢痕ヘルニア
腎前性脱水	脱水症	萎縮性水腎症
頸部皮下膿瘍	皮膚膿瘍	頚部膿瘍
ウイルス性感冒	感冒	ウイルス感染症
腹部自発痛	腹痛症	側腹部痛
中分化型前立腺癌	前立腺癌	前立腺小細胞癌
褥瘡形成リスク高い	褥瘡	褥瘡・ステージＩ
手術高血圧	高血圧症	術中異常高血圧症
嚥下下困難	嚥下障害	嚥下困難
てんかん脳波	異常脳波	脳卒中後てんかん
巨大血腫	血腫	巨大産道血腫
腹水多量貯留	腹水症	胸水貯留
ＣＭＶ胃腸炎	サイトメガロウイルス腸炎	ＭＲＳＡ腸炎
瘢痕痙性	瘢痕	萎縮性瘢痕
両Ｔ字杖歩行	歩行障害	内転歩行
便性状変化	便異常	排便習慣の変化
右血栓閉塞	血栓塞栓症	冠状動脈血栓塞栓症
出血付着程度	出血	点状出血
右海綿静脈洞髄膜腫	髄膜腫	海綿静脈洞部海綿状血管腫
虚血性心疾患合併	虚血性心疾患	急性虚血性心疾患
壊死性筋炎	筋炎	壊死性筋膜炎
両下腿紅斑	紅斑症	手掌紅斑
低Ｃａ血症	低カルシウム血症	高ＩｇＤ血症
二次性副腎不全	副腎クリーゼ	慢性腎不全
一週間程度眠気	非器質性過眠症	過眠
子宮内腔癒着	子宮内膜症	子宮付属器癒着
右母指陳旧性尺側側副靱帯損傷	靱帯損傷	母指ＭＰ関節尺側側副靱帯損傷
皮膚型ＰＮ	結節性多発動脈炎	ＭＮＧＩＥ
副鼻腔軽度粘膜肥厚	副鼻腔炎	滑膜肥厚
