出現形	正解	予測
妊娠性糖尿病	妊娠糖尿病	先天性無ガンマグロブリン血症
小豆大紅斑	紅斑症	強皮症性ミオパチー
ＦＳＧＳ	巣状糸球体硬化症	血小板無力症
左寛骨臼骨折	寛骨臼骨折	Ｃ型肝炎合併妊娠
原発性両眼内悪性リンパ腫	眼窩悪性リンパ腫	癌
腹腔鏡補助下子宮筋腫核	子宮筋腫	心サルコイドーシス
両下肢静脈血栓	下肢静脈血栓症	手指骨骨肉腫
神経根障害	神経根炎	足部皮膚癌
クモ膜下出血	くも膜下出血	肛門第１度熱傷
後鼻汁症候群	後鼻漏	自閉症スペクトラム障害
糖尿病性腎症１期	腎性糖尿	神経過敏
左臀部慢性膿皮症	慢性膿皮症	高血圧性心不全
メサンギウム増殖性腎炎	メサンギウム増殖性糸球体腎炎	限局性虫垂炎
左前頭葉心原性脳梗塞	心原性脳塞栓症	糖尿病性腎不全
閉塞性尿路感染	尿路感染症	腸間膜神経叢損傷
顔面蝶形紅斑	ＬＥ蝶形皮疹	強皮症性ミオパチー
上行結腸癌肝転移	転移性肝癌	尿道膿瘍
仙骨部色素沈着	色素異常症	第５趾有棘細胞癌
肥満糖尿病	糖尿病	陰茎挫傷
左肩痛み	肩部筋痛	クリオグロブリン血症性血管炎
ＰＳＶＴ発作	発作性上室頻拍	血小板無力症
顎変形症術後顎変形症	顎変形症	腟痙
ＤＭＮ　２期	糖尿病	シャガス病脊髄炎
労作時胸部絞扼感	胸内苦悶	心因性消化不良症
右膝変形	変形性膝関節症	異所性胸腺
指趾潰瘍	趾皮膚潰瘍	非器質性遺尿症
２型食道癌	食道癌	副甲状腺過形成
骨性腫瘤	腫瘤	四肢痙攣
外傷性脊髄損傷	脊髄損傷	気管断裂
下肢結節性紅斑	結節性紅斑	胃切除後癒着
左動眼神経麻痺	動眼神経麻痺	サーファーズイヤー
家族性海綿状血管腫	海綿状血管腫	直腸膀胱瘻
術中直腸損傷	直腸損傷	肺胞微石症
下肢動脈瘤	下肢の動脈瘤	基底核部海綿状血管腫
精神病様症状	精神病	光線性花弁状色素斑
項頸部痛	頚部痛	細菌性膀胱炎
頸部白斑	白斑	糖尿病黄斑症
左大腿骨転子部粉砕骨折	転子下骨折	乳房癌検診
最近眠気	非器質性過眠症	起立性蛋白尿
ＶＨＤ	心臓弁膜症	血小板無力症
夜頻尿	夜間頻尿症	レジン前装金属冠不適合
回盲部炎	回盲部憩室炎	歯の形成異常
重症肺血栓塞栓症	肺塞栓症	老視
左歯痛	歯痛	顎堤異常吸収
腹膜播種切除	腹膜播種	肋軟骨離断
右乳突蜂巣	乳様突起炎	副腎皮質腫瘍
右肺尖部気胸	気胸	軸椎脊索腫
骨盤内子宮内膜症	子宮内膜症	狂信的パーソナリティ障害
左頬部痛	頬部痛	帝王切開創感染症
局麻薬アレルギー	薬物過敏症	口苦
肺クリプトコックス症	急性肺クリプトコッカス症	中枢性睡眠時無呼吸
右肩関節亜脱臼半横指	肩関節亜脱臼	類上皮肉腫
慢性蕁麻疹	慢性じんま疹	５ｑ−症候群
マラセチア毛嚢炎	マラセチア毛包炎	頭部神経痛
高分化型漿液性腺癌	癌	急性硬膜下血腫・頭蓋内に達する開放創合併なし
腫瘍床	腫瘍	小指中手骨遠位端骨折
左膀胱尿管逆流症	膀胱尿管逆流	動脈硬化性網膜症
外側疼痛	疼痛	足底多汗症
卵巣癌再発卵巣癌	卵巣癌	ヤング・シンプソン症候群
錐体路病変	錐体外路系疾患	不適合輸血反応
リンパ球性白血病	リンパ性白血病	ライ症候群
クラミジア感染	クラミジア感染症	手指伸筋腱断裂
奬液性嚢胞腺腫	膵漿液性のう胞腺腫	小児もやもや病
夜間倦怠感	倦怠感	殿部メルケル細胞癌
脳血栓塞栓症	脳血管閉塞性脳梗塞	食道悪性間葉系腫瘍
左リウマチ性肘関節症	関節リウマチ・膝関節	下顎下部腫瘤
右下腿潰瘍感染	下腿皮膚潰瘍	中毒
気分不快時	悪心	脳表ヘモジデリン沈着症
問題なし前立腺肥大	前立腺肥大症	舌骨骨折
急性パルボウイルスＢ１９感染症	パルボウイルス感染症	詐聴
脂肪性腫瘤	脂肪腫	結腸消化管間質腫瘍
ウィルス性肺炎	肺炎	乳頭表皮剥脱
類円形紅斑	紅斑症	強皮症性ミオパチー
書字不能	書痙	構語障害
肺動脈狭窄	肺動脈狭窄症	自傷
夜間不眠状態	不眠症	人工弁感染
熱型	発熱	膵臓癌骨転移
骨盤内充実性腫瘍	骨盤腫瘍	第１４番染色体父親性ダイソミー症候群
夢遊病	夢遊症	会陰部血腫
脊髄小脳変性症６型	脊髄小脳変性症	腰仙部神経根炎
左内頚動脈閉塞	内頚動脈閉塞症	頭部悪性黒色腫
両側角乾燥性結膜炎	結膜炎	マレー糸状虫症
脳虚血症状	脳虚血症	心因性難聴
微熱持続	微熱	眼の上皮内癌
夕方浮腫	浮腫	結腸脂肪肉腫
眼性疲労	眼精疲労	発音補整装置不適合
直腸肛門奇形	鎖肛	新生児口蓋のう胞
右大腿部腫瘍	大腿悪性軟部腫瘍	脳神経悪性腫瘍
頚椎症神経根症	頚椎症性神経根症	亜急性細菌性心膜炎
壊死性遊走性紅斑	遊走性紅斑	エルゴステロール欠乏症
睡眠障害招くリスク	睡眠障害	シリコーンオイル注入眼
上大静脈血栓	静脈血栓症	更年期出血
骨盤内ＬＮ転移	骨盤内リンパ節転移	側頭部扁平母斑
ＰＫＤ	多発性のう胞腎	血小板無力症
分水嶺脳梗塞	脳梗塞	意義不明の単クローン性免疫グロブリン血症
上皮性腫瘍	腫瘤	グルタル酸血症２型
大球性正色素貧血	大球性貧血	直腸切断術後後遺症
挙上空腸穿孔	腸穿孔	ビタミンＫ欠乏症
腸管アメーバ感染症	腸アメーバ症	骨軟骨腫
放射線性皮膚炎	放射線皮膚炎	背部熱傷
肛門周囲びらん	外痔びらん	新生児歯
髄膜炎徴候	髄膜炎	緊張性内斜視
胸部不快	胸内苦悶	閉鎖性胆のう損傷
下葉肺炎	肺炎	馬尾神経腫瘍
右足根部粉砕骨折	粉砕骨折	乳歯歯根吸収不全
蛋白漏出胃腸症	蛋白漏出性胃腸症	イタイイタイ病
左大脳陳旧性ラクナ梗塞	陳旧性ラクナ梗塞	亜急性涙のう炎
出血多量	急性大量出血	口腔上顎洞瘻
腹水多量	腹水症	転移性肺腫瘍
腸間膜リンパ管腫	リンパ管腫	１型糖尿病性腎症第５期
右卵巣悪性腫瘍	卵巣悪性腫瘍	結膜メラノーシス
糖尿病（２型）	２型糖尿病	項部打撲傷
化膿性胸鎖関節炎	化膿性関節炎・胸鎖関節	いびき
右乳腺線維腫症	線維腫	直腸クローン病
肺野鬱血像	肺野異常陰影	関節強直
児嘔気	嘔気	急性細菌性心膜炎
尿閉歴	尿閉	結膜瘢痕
陰嚢びらん	陰のうびらん	腓骨頭骨折
精神的ショック	ショック	肝外傷
右上腕骨外側上顆炎	外側上顆炎	上腕骨近位骨端線離開
子宮頚上皮内癌	子宮頚部上皮内癌	脊椎炎
難治性非定型性抗酸菌症	非結核性抗酸菌症	突出痛
軽度腹水	腹水症	転移性肺腫瘍
湿疹様	湿疹	珪肺結核
大後頭孔狭窄	軟骨形成不全症	転移性腟腫瘍
熱型変化	発熱	ウイルス関連血球貪食症候群
右無機能腎	無機能腎	腰椎損傷
月経痛コントロール不十分	月経痛	頭部多発打撲傷
左鎖骨下動脈閉塞	鎖骨下動脈閉塞症	興奮型痴愚
右ＤＶＴ	深部静脈血栓症	血小板無力症
非特異的胸痛	胸痛	単純ヘルペス
Ａｅｒｏｍｏｎａｓ　ｈｙｄｒｏｐｈｉｌａ敗血症	敗血症	サイトメガロウイルス性肝炎
重症細菌性敗血症	敗血症	難治性皮膚潰瘍
逆行性健忘	逆向性健忘	仙骨開放骨折
腹直筋膜下血腫	筋肉内血腫	脛骨腓骨骨幹部開放性粉砕骨折
関連腎臓病	腎疾患	永久歯萌出不全に起因した咬合異常
認知症様症状	認知症	新生児脳出血
顎骨骨折	下顎骨骨折	ＤＩＰ関節部ガングリオン
高度大動脈弁狭窄	大動脈弁狭窄症	副腎髄質の悪性腫瘍
右顔面骨骨折	顔面骨骨折	膝部異物
炎症性粉瘤	粉瘤	回腸膀胱瘻
左腰部疼痛	腰痛症	原発性肺ペスト
ＨＣＶ重複感染症	Ｃ型肝炎ウイルス感染	頬腔異物
脂質異常症（＋）	脂質異常症	一次性頭痛
上腹部圧痛	腹部圧痛	皮膚原発性未分化大細胞リンパ腫
両側椎骨動脈瘤	椎骨動脈瘤	職業性難聴
非ケトン性高血糖	高血糖高浸透圧症候群	全足位
Ｙｅｒｓｉｎｉａ腸炎	エルシニア腸炎	副眼瞼
声帯浮腫	声帯炎	口蓋垂炎
誤嚥性肺炎併発	誤嚥性肺炎	肩甲骨開放骨折
咳嗽持続	咳	母指有棘細胞癌
左側下顎骨嚢胞	顎骨のう胞	ひょう疽
右末梢前庭障害	末梢前庭障害	直腸狭窄
胆管閉鎖症	胆管閉塞症	顎下腺唾石症
閉塞性動脈硬化症　症状	閉塞性動脈硬化症	連鎖球菌感染症
洞不全	洞不全症候群	続発性血小板減少性紫斑病
特発性リンパ浮腫	リンパ浮腫	梅毒性痙性脊髄麻痺
シャント吻合部狭窄	透析シャント狭窄	しらみ媒介性回帰熱
無気力	無力症	裂溝性鼻
胸骨炎	胸骨周囲炎	無髄歯
ナッツアレルギー	ピーナッツアレルギー	大腿部第３度熱傷
甲状腺乳頭癌術後再発	甲状腺乳頭癌	口唇外傷性腫脹
上肢疼痛	疼痛	切歯破折
Ｔｕｒｎｅｒ症候群	ターナー症候群	精索欠損
肝臓機能障害用	肝機能障害	卵巣癌全身転移
左心不全徴候	心不全	閉鎖性矢状洞部硬膜外血腫
ＩＰＭＮ癌化	膵管内乳頭粘液性腺癌	縦隔膿瘍
後発頚部転移	頚部転移性腫瘍	小耳症
下痢治	下痢症	殿部胞巣状軟部肉腫
朝方疼痛	疼痛	閉経期障害
蜂窩肺形成	蜂窩織炎	耳下腺炎
右ＩＣＡ高度狭窄	内頚動脈狭窄症	胸骨傍ヘルニア
膵体部嚢胞	膵のう胞	ゴールドブラット腎
右気管支狭窄	気管支狭窄症	急性咽頭喉頭炎
非ヘルペス性辺縁系脳炎	辺縁系脳炎	手関節症
無症候性ＶＴ	心室頻拍	新生児ビタミンＫ欠乏症
好酸球増多	好酸球増加症	関節脱臼後遺症
口腔清掃	個人衛生の著しいレベル低下	胸椎横断麻痺
両下腿皮膚潰瘍	下腿皮膚潰瘍	サットン母斑
無石性胆嚢炎	胆のう炎	上下肢リンパ浮腫
ｓ型ポリープ	ポリープ	趾挫傷
時折頭痛	頭痛	炭坑夫塵肺症
関節リウマチ発症	関節リウマチ	先天性がま腫
残像腫瘍	腫瘍	トリソミー症候群
両顎下腺腫大	顎下腺肥大	腸骨悪性腫瘍
夜間中途覚醒時	睡眠障害	踵骨滑液包炎
今朝頭痛	頭痛	炭坑夫塵肺症
眼球偏移	眼球偏位	イズラン病
腹腔内癒着高度	腹膜癒着	頭頂部挫創
右母指多指症	多指症	断端神経痛
薬剤性骨髄抑制	骨髄機能低下	早期血栓閉鎖型大動脈解離
肥満	肥満症	放射線性顎骨壊死
網膜中心動脈閉塞	網膜中心動脈閉塞症	希発月経
中枢神経悪性リンパ腫再発	悪性リンパ腫	閉鎖性胸管損傷
旅行者下痢症	下痢症	雀卵斑
右声帯ポリープ	声帯ポリープ	低出産体重児
非Ｂ非Ｃ型肝硬変	肝硬変症	十二指腸乳頭癌
頭部皮下結節	皮下結節	被包型胸腺腫
足がむくみ	下肢浮腫	ハンチントン病
下肢潰瘍	下肢皮膚潰瘍	口腔粘膜結核
難治性胸腹水	難治性腹水	膵管拡張
幻覚症状	幻覚	咽頭内異物による窒息
異常腫瘤	腫瘤	鼻部皮膚良性腫瘍
未破裂脳動脈瘤コイル塞栓	未破裂脳動脈瘤	顎骨インプラント不適合
左下顎骨慢性骨髄炎	慢性顎骨骨髄炎	頚部肉芽腫
左側頭葉膠芽腫	側頭葉膠芽腫	亜急性皮膚エリテマトーデス
脳血管障害性パーキンソニズム	脳血管障害性パーキンソン症候群	アタッチメント脱離
右後角脳室内出血	脳室内出血	若年性特発性関節炎・膝関節
難治性浮腫	高度浮腫	壊疽性臍ヘルニア
Ｇｒａｎｕｌｏｍａｔｏｓｉｓ　ｗｉｔｈ　ｐｏｌｙａｎｇｉｉｔｉｓ	多発血管炎性肉芽腫症	サルモネラ敗血症
再発脊索腫	脊索腫	甲状腺機能低下症
Ｃ型肝硬変症	Ｃ型肝硬変	クレアチニンクリアランス低下
左踵部悪性黒色腫	踵部悪性黒色腫	胸水真菌陽性
未分化癌	癌	内視鏡検査中腸穿孔
両側副腎悪性リンパ腫	悪性リンパ腫	妄想性障害
帯状疱疹無	帯状疱疹	神経母斑症
左膝痛み	膝関節痛	産褥敗血症
右下腿痛	下腿痛	白内障術後結膜炎
気管支喘息症状	気管支喘息	足挫創
大腿骨内顆骨壊死	特発性大腿骨内顆骨壊死	巨細胞動脈炎
炎症性貧血	貧血	頚部ボーエン病
両下肢掻痒感	皮膚そう痒症	陳旧性手指捻挫
右後頭葉脳挫傷	脳挫傷	マグネシウム欠乏性テタニー
女性化乳房	女性化乳房症	低レニン血症
ｍａｓｓ　ｌｅｓｉｏｎ	腫瘤	サルモネラ敗血症
右大脳半球多発脳梗塞	多発性脳梗塞	神経因性膀胱
大動脈弁膜症	大動脈弁弁膜症	インフルエンザＢ型
鎮静困難	興奮状態	副腎髄質過形成
再発腫瘤近傍	腫瘤	前腕皮膚良性腫瘍
右下腿麻痺	下肢麻痺	先天性肺動脈異常
切除不能多発性肝転移	転移性肝腫瘍	副腎腫瘍
腹腔内膿瘍形成	膿瘍	細胞性免疫不全症
発作性上室性頻拍	発作性上室頻拍	自然頭位分娩
筋肉痛生	筋肉痛	アルポート症候群
腰椎滑り症	腰椎すべり症	軟口蓋多形腺腫
淡血性胸水	血性胸水	条虫症
腎被膜下出血	外傷性腎被膜下血腫	過敏性乳児
仙骨部褥瘡痕	仙骨部褥瘡	有糸分裂性不分離トリソミー１８
左肝腫瘍	肝腫瘍	胎向異常胎児
非Ｃｌｏｓｔｒｉｄｉｕｍ性ガス壊疽	ガス壊疽	職業喘息
リンパ腺腫脹	リンパ節腫大	趾化膿創
心室二段脈	心室性二段脈	若年性慢性硬膜下血腫
鼻腔腫瘍摘出	鼻腔腫瘍	陰のう結核
疼痛時頓用	疼痛	悪性腫瘍に伴う貧血
多房性膿瘍	膿瘍	足根骨萎縮
右耳介後部痛	耳痛症	非特異骨髄炎
左胸壁腫瘍切除	胸壁腫瘍	パリノー結膜炎
無呼吸症候群	無呼吸発作	Ｂ型肝炎
右尿管癌	尿管癌	母指球部痛
出血過多	出血	口腔上顎洞瘻
甲状腺嚢腫	甲状腺のう胞	鼻部外傷性腫脹
両側浸出性中耳炎	滲出性中耳炎	流産後乏尿
覚醒度	麻酔覚醒遅延	コルチ器異常
高血糖	高血糖症	胸椎部打撲挫傷
有意弁膜症	弁膜炎	眼瞼皮膚炎
胸痛無	胸痛	猫ひっかき病
右下肺野無気肺	無気肺	会陰血腫
小脳性失調	小脳性運動失調症	前腕血管脂肪腫
好酸球増多症	好酸球増加症	関節脱臼後遺症
右腎明細胞肉腫	腎明細胞肉腫	群発頭痛
甲状腺左葉濾胞腺腫	濾胞性甲状腺腺腫	原発性アメーバ性髄膜脳炎
下位運動ニューロン徴候	運動ニューロン疾患	前頭頂骨進入
主幹動脈狭窄	脳動脈狭窄症	環指末節骨亀裂骨折
創部皮下血腫	外傷性皮下血腫	軽度遠視
掻痒感軽減	そう痒	乾癬性関節炎・足関節
両肺小結節影	肺野異常陰影	関節強直
造影剤アレルギー歴	薬物過敏症	副腎髄質機能亢進症
左眼鼻涙管閉塞症	鼻涙管閉鎖症	胃底腺ポリープ
慢性的な抑うつ気分	うつ状態	仮性膵のう胞
鼻部異物肉芽腫	皮膚異物肉芽腫	眼角部眼瞼炎
遠隔ＬＮ転移	リンパ節転移	血小板無力症
子宮がん	子宮癌	反復性角膜潰瘍
Ｂｉｃｋｅｒｓｔａｆｆ型脳幹脳炎	ビッカースタッフ脳幹脳炎	網膜下出血
睾丸腫脹	精巣腫脹	手舟状骨骨折
右中皮腫	中皮腫	葉酸欠乏性貧血
ジベル薔薇色粃糠疹	ジベルばら色粃糠疹	水頭症性無脳症
脳実質外腫瘍	腫瘍	アカントアメーバ角膜炎
抑鬱感	気うつ	殿部メルケル細胞癌
扁桃腺腫大	扁桃肥大	網電図異常
口内出血	口腔出血	外耳道閉塞性角化症
右上方視野欠損	視野欠損	頚椎良性腫瘍
両側臼蓋形成不全症	臼蓋形成不全	両側下肢多発骨折
進行肝癌	肝癌	胸鎖関節痛
噴門部狭窄	胃狭窄	外傷性腎血腫・骨盤腔に達する開放創合併あり
突発性腎出血	腎出血	膝蓋骨軟骨肉腫
前股関節症	股関節症	肝周囲膿瘍
多発肝嚢胞	多発性肝のう胞	肝門部腫瘍
過換気状態	過換気症	卵巣胚細胞腫瘍
傍大動脈ＬＮ	大動脈周囲リンパ節転移	蚊媒介出血熱
左椎骨動脈低形成	骨髄低形成	慢性漿液性中耳炎
左房拡張	心拡大	ペリー症候群
サルモネラ菌感染症	サルモネラ感染症	ナジェ症候群
両側性多発性嚢胞腎	多発性のう胞腎	乳房異物
化学物質アレルギー	アレルギー	口苦
右手指腫脹	手指腫脹	肥大性扁桃炎
右足背発赤	発赤	少関節型若年性関節炎・手関節
脊柱管高度狭窄	脊柱管狭窄症	鉄沈着性白内障
右急性網膜壊死	急性網膜壊死	腫瘍崩壊症候群
皮膚硬化がまだかなり	新生児皮膚硬化症	うっ血性巨脾
口腔内乾燥軽度	口腔乾燥症	喘鳴
下肢筋痛	下肢筋肉痛	背部軟部腫瘍
蠕動不良	異常腸音	腹壁ヘルニア
四肢腱反射亢進	反射亢進	爪甲形成不全
黒色丘疹	丘疹	タングクリブ破損
胸部陰影	胸部異常陰影	陰のう炎
クモ膜下嚢胞	くも膜のう胞	胆道回虫症
２次性糖尿病	二次性糖尿病	溶剤刺激性接触皮膚炎
Ｈａｅｍｏｐｈｉｌｕｓ　ｉｎｆｌｕｅｎｚａｅ敗血症	敗血症	サイトメガロウイルス性肝炎
慢性期疼痛	慢性疼痛	悪性腫瘍に伴う貧血
右上葉原発肺小細胞癌	小細胞肺癌	頚部蜂巣炎
出血源不詳	出血	精神障害
一般細菌感染	細菌感染症	アルカプトン尿性関節症
急性小脳失調症	急性小脳性失調症	前腕血管脂肪腫
浸潤癌化所見	癌	縦隔膿瘍
痔核脱出	痔核	住血吸虫性皮膚炎
重症膵炎	膵炎	尿道瘻開口部に対する手当て
痛みアリ	疼痛	円蓋部髄膜腫
左心室内血栓症	心室内血栓症	口角口唇炎
右足疼痛	疼痛	角膜上皮剥離
増殖前網膜症	網膜症	正中頚部瘻
傍神経節腫瘍	傍神経節腫	大腿骨近位端骨肉腫
小腸膀胱瘻	膀胱皮膚瘻	慢性胸膜炎
左小細胞肺癌	小細胞肺癌	後鼻孔閉鎖症
少量左胸水	胸水貯留	条虫症
多発ＨＣＣ再発	肝細胞癌	焦点性知覚性発作
結核性嚢腫	結核	ＩｇＧサブクラス欠損症
右大腿骨外顆骨折	大腿骨外顆骨折	卵巣機能障害
巨大膵仮性嚢胞	仮性膵のう胞	下肢切断
大腿腫脹	下腿腫脹	高血圧性脳症
全身性ＣＭＶ感染症	サイトメガロウイルス感染症	金属歯冠修復不適合
多発肝内転移	転移性肝腫瘍	尿道膿瘍
右外耳道炎	外耳炎	高コレステロール血症性黄色腫
両下肢圧痕性浮腫	クインケ浮腫	腹圧性尿失禁
下部腸間膜動脈出血	動脈性出血	左脚ブロック
ＩｇＭ型Ｍ蛋白	単クローン性免疫グロブリン血症	非リウマチ性三尖弁狭窄症
喘息発作様症状	気管支喘息発作	穿通性十二指腸潰瘍
分食道癌	食道癌	副甲状腺過形成
多少便秘気味	便秘症	排尿障害
ポリープ状病変	ポリープ	趾挫傷
既往高血圧	高血圧症	侵襲性髄膜炎菌感染症
右リウマチ性膝関節症	関節リウマチ・膝関節	血中鉄異常
急性骨髄性白血病（ＡＭＬ）	急性骨髄性白血病	膀胱憩室結石
腹水大量	腹水症	転移性肺腫瘍
全身皮膚発赤	発赤	口蹄疫
多発肺嚢胞	肺のう胞	先天性中心性白内障
右小脳橋角部腫瘍	小脳橋角部腫瘍	特発性基底核石灰化症
右眼網膜静脈分枝閉塞症	網膜静脈分枝閉塞症	腸脛靱帯症候群
右脛骨腓骨開放骨折	脛骨腓骨開放骨折	神経節芽細胞腫
左側卵巣腫瘍	卵巣腫瘍	血管迷走神経性失神
口腔内びらん	口唇びらん	冠状動脈血栓塞栓症
紅斑熱群リケッチア症	リケッチア感染症	歯内歯
ＩＴＰ	特発性血小板減少性紫斑病	サルモネラ敗血症
気管支喘息小発作	気管支喘息発作	胸椎症性脊髄症
解離性動脈瘤破裂	解離性動脈瘤	股関節中心性脱臼骨折
左眼窩内腫瘍	眼窩腫瘍	慢性特発性血小板減少性紫斑病
肺外小細胞癌	小細胞肺癌	成人型大動脈縮窄症
高度大動脈弁狭窄症	大動脈弁狭窄症	胸部気管損傷・胸腔に達する開放創合併なし
ｂｒｅａｋｔｈｒｏｕｇｈ　ｈｅｐａｔｉｔｉｓ	肝炎	ペルオキシソーム病
左室圧排	右室肥大	血液ガス値異常
両側声帯外転障害	声帯外転筋麻痺	舌下腺萎縮
一部水疱形成	水疱症	上腕扁平母斑
糖尿病潰瘍	糖尿病性潰瘍	子宮頚延長
飲みこみにくさ	嚥下障害	腋窩アポクリン腺癌
左腎低形成	低形成腎	視床症候群
左母趾疼痛	母趾痛	胃神経内分泌腫瘍
副腎ヒストプラズマ感染症	真菌症	心臓転位症
右眼糖尿病網膜症	糖尿病網膜症	非還納性腹壁瘢痕ヘルニア
下肢浮腫左	下肢浮腫	眼部咬創
両松葉杖歩行	歩行障害	フェルティー症候群
冠動脈狭窄３枝病変	狭心症３枝病変	腰椎骨髄炎
遺伝性低尿酸血症	低尿酸血症	過長月経
低アルドステロン血症	低アルドステロン症	マンディブラリトラクター破損
小腸皮膚瘻	皮膚瘻	皮膚良性腫瘍
重度僧帽弁狭窄症	僧帽弁狭窄症	尿管損傷・骨盤腔に達する開放創合併なし
非細菌性血栓性疣贅	疣贅	多形紅斑
特発性腸間膜血腫	血腫	先天性肺動脈狭窄合併妊娠
脳原発性悪性リンパ腫	脳悪性リンパ腫	線虫症
抜管後両側反回神経麻痺	両側性反回神経麻痺	三叉神経痛第１枝領域
肝骨転移	骨転移癌	頭部筋肉痛
乳腺線維腫症	線維腫	直腸クローン病
